Elongation [mm],Equivalent plastic strain
0.0,0.0
0.031,0.006683724
0.061999998,0.02344526
0.093000002,0.040237784
0.123999998,0.057211671
0.155000002,0.075140327
0.186000004,0.094889842
0.216999992,0.117259413
0.247999996,0.143496722
0.279000014,0.175361559
0.310000002,0.215162575
0.279000014,0.215162575
0.247999996,0.217516154
0.216999992,0.224546269
0.186000004,0.23778522
0.155000002,0.254055321
0.123999998,0.269989908
0.093000002,0.285636306
0.061999998,0.301210493
0.031,0.317006052
0.0,0.333200812
0.031,0.333200812
0.061999998,0.334537923
0.093000002,0.339389533
0.123999998,0.351661354
0.155000002,0.371991813
0.186000004,0.393727779
0.216999992,0.41637513
0.247999996,0.441149205
0.279000014,0.469476432
0.310000002,0.503239453
0.279000014,0.503239453
0.247999996,0.506478906
0.216999992,0.516370237
0.186000004,0.534942508
0.155000002,0.555475354
0.123999998,0.575135767
0.093000002,0.594215512
0.061999998,0.613105297
0.031,0.632220924
0.0,0.651637256
0.031,0.651637256
0.061999998,0.653399587
0.093000002,0.659481108
0.123999998,0.674301744
0.155000002,0.695749223
0.186000004,0.717891693
0.216999992,0.740953743
0.247999996,0.766089499
0.279000014,0.794713855
0.310000002,0.828810096
0.279000014,0.828810096
0.247999996,0.832676589
0.216999992,0.844893396
0.186000004,0.865595758
0.155000002,0.887164474
0.123999998,0.90779382
0.093000002,0.927942574
0.061999998,0.94802928
0.031,0.968395174
0.0,0.989185154
0.031,0.989185154
0.061999998,0.991214454
0.093000002,0.99823451
0.123999998,1.014386415
0.155000002,1.036184549
0.186000004,1.058505058
0.216999992,1.081766009
0.247999996,1.107132673
0.279000014,1.136021733
0.310000002,1.170469522
0.279000014,1.170469522
0.247999996,1.174614072
0.216999992,1.188228607
0.186000004,1.209814548
0.155000002,1.231630802
0.123999998,1.252527237
0.093000002,1.272947669
0.061999998,1.293365479
0.031,1.314020157
0.0,1.335134625
0.031,1.335134625
0.061999998,1.337298632
0.093000002,1.344947934
0.123999998,1.361750484
0.155000002,1.38361609
0.186000004,1.405904651
0.216999992,1.429139853
0.247999996,1.454469204
0.279000014,1.483306289
0.310000002,1.517688751
0.279000014,1.517688751
0.247999996,1.521938562
0.216999992,1.536215186
0.186000004,1.558377385
0.155000002,1.580284119
0.123999998,1.601153851
0.093000002,1.621558428
0.061999998,1.641909361
0.031,1.662448168
0.0,1.683441997
0.031,1.683441997
0.061999998,1.685660958
0.093000002,1.693752646
0.123999998,1.710896611
0.155000002,1.732693911
0.186000004,1.754841089
0.216999992,1.777912498
0.247999996,1.803033113
0.279000014,1.831613541
0.310000002,1.865669608
0.279000014,1.865669608
0.247999996,1.869963288
0.216999992,1.884502292
0.186000004,1.906965017
0.155000002,1.928933859
0.123999998,1.949677706
0.093000002,1.969881296
0.061999998,1.98996079
0.031,2.010163546
0.0,2.030783176
0.100000002,2.04447937
0.200000002,2.112161636
0.300000012,2.197255373
0.400000006,2.37522459
0.5,2.720154047
0.600000024,2.978965759
0.699999988,3.162875175
0.800000012,3.300793171
0.899999976,3.410396099
1.0,3.50245595
