Elongation [mm],Equivalent plastic strain
0.0,0.0
0.031,0.003696208
0.061999998,0.017358433
0.093000002,0.031077534
0.123999998,0.045337334
0.155000002,0.060498819
0.186000004,0.077314116
0.216999992,0.096584246
0.247999996,0.119458191
0.279000014,0.147359312
0.310000002,0.182307974
0.279000014,0.182307974
0.247999996,0.183476537
0.216999992,0.187071025
0.186000004,0.194082797
0.155000002,0.205588892
0.123999998,0.218683347
0.093000002,0.231469303
0.061999998,0.243817404
0.031,0.25598684
0.0,0.268154711
0.031,0.268154711
0.061999998,0.26884076
0.093000002,0.271096051
0.123999998,0.276263237
0.155000002,0.288696527
0.186000004,0.307868928
0.216999992,0.328988194
0.247999996,0.352077156
0.279000014,0.378435045
0.310000002,0.409807265
0.279000014,0.409807265
0.247999996,0.411605477
0.216999992,0.417231858
0.186000004,0.429187536
0.155000002,0.44632104
0.123999998,0.463358581
0.093000002,0.47960344
0.061999998,0.495300919
0.031,0.510830402
0.0,0.526241064
0.031,0.526241064
0.061999998,0.527196109
0.093000002,0.530294299
0.123999998,0.537638605
0.155000002,0.553470492
0.186000004,0.573769331
0.216999992,0.595324039
0.247999996,0.61877203
0.279000014,0.645449162
0.310000002,0.677164018
0.279000014,0.677164018
0.247999996,0.67940259
0.216999992,0.687134743
0.186000004,0.702762187
0.155000002,0.722017825
0.123999998,0.740603209
0.093000002,0.758374333
0.061999998,0.775806785
0.031,0.793149114
0.0,0.81047523
0.031,0.81047523
0.061999998,0.811579943
0.093000002,0.815352857
0.123999998,0.824241877
0.155000002,0.841690421
0.186000004,0.862435579
0.216999992,0.884262264
0.247999996,0.908041
0.279000014,0.935137272
0.310000002,0.967435658
0.279000014,0.967435658
0.247999996,0.969890952
0.216999992,0.978923023
0.186000004,0.996578097
0.155000002,1.016677856
0.123999998,1.035823345
0.093000002,1.054292202
0.061999998,1.072493792
0.031,1.090640187
0.0,1.108887196
0.031,1.108887196
0.061999998,1.11006403
0.093000002,1.114323139
0.123999998,1.124224067
0.155000002,1.142465472
0.186000004,1.163354397
0.216999992,1.185290933
0.247999996,1.209220648
0.279000014,1.23652339
0.310000002,1.269134521
0.279000014,1.269134521
0.247999996,1.271696687
0.216999992,1.281499028
0.186000004,1.30029273
0.155000002,1.320949316
0.123999998,1.340348482
0.093000002,1.359097004
0.061999998,1.377601027
0.031,1.396088481
0.0,1.414756298
0.031,1.414756298
0.061999998,1.415970564
0.093000002,1.420577288
0.123999998,1.431190133
0.155000002,1.449842453
0.186000004,1.47074604
0.216999992,1.492675424
0.247999996,1.516609192
0.279000014,1.543931484
0.310000002,1.576594114
0.279000014,1.576594114
0.247999996,1.579216242
0.216999992,1.589444995
0.186000004,1.608827353
0.155000002,1.629905701
0.123999998,1.649464846
0.093000002,1.668250561
0.061999998,1.686791539
0.031,1.705330849
0.0,1.724090934
0.100000002,1.731840014
0.200000002,1.790073752
0.300000012,1.87234509
0.400000006,2.033693314
0.5,2.377739191
0.600000024,2.660169601
0.699999988,2.858454227
0.800000012,3.005925179
0.899999976,3.120720387
1.0,3.216361761
