Elongation [mm],Load [kN]
0.0,0.000710607
1.425e-05,0.003161068
7.417e-05,0.022182958
0.000223645,0.063506469
0.000429931,0.115815476
0.000668093,0.17412892
0.000921272,0.237437472
0.001178958,0.297634661
0.0014236359999999998,0.35605967
0.001674853,0.414453626
0.0019185460000000001,0.467500776
0.002162587,0.528435528
0.002397047,0.584220707
0.002654536,0.642878592
0.002903738,0.70254606
0.003174883,0.76136297
0.00341398,0.818351865
0.003660184,0.880726814
0.0039157390000000005,0.942305505
0.004170934,1.001855373
0.004434937,1.059703588
0.004672718,1.117856503
0.004924169,1.175086856
0.005162102,1.232406139
0.005401541,1.292267084
0.005657813,1.350363851
0.005894737000000001,1.406575799
0.006153512000000001,1.464565396
0.006388689,1.522652388
0.0066431730000000005,1.582330227
0.0068928670000000004,1.638893008
0.00713087,1.697992206
0.00737655,1.753531694
0.007629068,1.81534636
0.007854293,1.8733778
0.008129668999999999,1.933826685
0.008384741,1.991062999
0.008630259999999999,2.053666592
0.008878611,2.11397028
0.009132069,2.169850111
0.009389451,2.229231358
0.009635659,2.28915
0.009888771,2.344983339
0.010127431999999999,2.407329798
0.010379325,2.465976
0.010630078,2.522850037
0.010880948,2.582322359
0.011146079,2.639456987
0.011386328,2.701076269
0.011644778,2.760594606
0.011890752999999999,2.819134474
0.012147752999999999,2.878321648
0.01239672,2.940210581
0.012644536999999999,2.994331837
0.012897684999999999,3.059919119
0.01316373,3.118006229
0.013419302999999999,3.17829895
0.013671204,3.235411882
0.013897932,3.294327974
0.01416289,3.354234934
0.014415532,3.413063526
0.014677952,3.46794939
0.014907868,3.528578758
0.015160248,3.586381674
0.015409270999999999,3.646102667
0.015676519,3.704036474
0.015920689000000002,3.763370514
0.016166072,3.823910952
0.016428957,3.87825799
0.016658828,3.93842864
0.016921216000000003,3.999325752
0.017182382,4.059970379
0.017417207,4.114276409
0.017686605,4.171207905
0.017936615,4.231898308
0.018221896,4.287883759
0.018472701,4.34435606
0.018728522,4.396895409
0.018971927,4.451692104
0.019227112,4.506572247
0.019486913,4.556027412
0.019792806,4.606099129
0.020065760000000002,4.655284405
0.020319844,4.701298714
0.020586472,4.750352383
0.020853035000000002,4.792170048
0.021103220000000002,4.837986946
0.021359995,4.880497456
0.021638857,4.922313213
0.021923112,4.96307373
0.022191793,5.001729488
0.022468466000000003,5.040225983
0.022735767,5.072668552
0.022990966,5.103113174
0.023258129000000002,5.133401871
0.023529939,5.168588638
0.023825578,5.198141575
0.02408544,5.224259853
0.02434627,5.25347805
0.024639843,5.275211811
0.02495609,5.290879726
0.025251973,5.308135509
0.025509907000000002,5.31958437
