Elongation [mm],Load [kN]
0.0,0.005340413
-9.5e-06,0.00421023
1.0999999999999996e-06,0.003493793
-1.0800000000000002e-05,0.003643613
1.98e-05,0.010521229
4.85e-05,0.020456882
0.00010243,0.030973865
0.00015676200000000001,0.045094363
0.00021481700000000001,0.059884071
0.000264062,0.072572604
0.00031523900000000004,0.086706527
0.000369308,0.101826556
0.00042324,0.113320746
0.000470693,0.124764942
0.000528763,0.139741734
0.000572389,0.152685553
0.000618626,0.168735459
0.000683787,0.183186606
0.000738539,0.195386127
0.000780647,0.209123358
0.000824641,0.219306454
0.0008929470000000001,0.233458892
0.0009335880000000001,0.249901876
0.0009862410000000001,0.260974705
0.001057262,0.278974414
0.001096161,0.291297764
0.001149516,0.302710176
0.001198382,0.314943999
0.001233876,0.325485259
0.001302681,0.340196699
0.001344327,0.354054153
0.001389876,0.366287827
0.001460818,0.380987674
0.001522968,0.391884655
0.001547686,0.404198289
0.001587221,0.41464445
0.001650012,0.428339511
0.001687824,0.440980822
0.001742095,0.454937309
0.001803711,0.46751526
0.001845094,0.481362998
0.001907389,0.492436051
0.0019409440000000002,0.504434824
0.0020019729999999998,0.517086148
0.0020599919999999996,0.532523036
0.0021018309999999998,0.54300034
0.002154006,0.554374158
0.0022125559999999996,0.568426669
0.002245642,0.579901397
0.0022925489999999996,0.592613637
0.0023362229999999997,0.603961468
0.0023904919999999997,0.617909789
0.0024425489999999996,0.632486284
0.0024992689999999997,0.645953357
0.0025379939999999996,0.655585825
0.0025915749999999996,0.670118749
0.0026484039999999996,0.682394564
0.002696942,0.692246735
0.0027452239999999997,0.705832958
0.002792283,0.719528913
0.0028449079999999997,0.73224169
0.002884804,0.744314432
0.0029439789999999998,0.754934251
0.0029826989999999997,0.769244492
0.0030230839999999997,0.781336248
0.0030795889999999998,0.796516955
0.003140356,0.809891403
0.003189479,0.821353376
0.003241319,0.832050204
0.003293603,0.845624506
0.003357664,0.860377431
0.0033898929999999997,0.870421767
0.0034520379999999997,0.885794342
0.0034928959999999997,0.900444448
0.0035462989999999997,0.909703434
0.003601015,0.922138989
0.003638152,0.935824275
0.003691416,0.947579086
0.003747824,0.959007919
0.003795775,0.975347877
0.003851494,0.986387789
0.003902914,0.995573342
0.0039141060000000005,1.005249023
0.0039883390000000005,1.019484401
0.0040286820000000004,1.030830622
0.004086061,1.045035124
0.00414491,1.0611099
0.0041917230000000005,1.074449897
0.00423511,1.086862683
0.004279924,1.097334862
0.0043114930000000004,1.111324906
0.004387187,1.124215841
0.004445183,1.13917625
0.004493221,1.151627421
0.00454267,1.163288593
0.004597204000000001,1.177007794
0.004652828,1.188243389
0.004693343,1.200950742
0.0047429790000000005,1.213511348
0.004791812,1.227461338
0.004830118,1.241199851
0.004888927,1.254587173
0.0049482020000000005,1.262785673
0.004997785,1.277658105
0.005033818,1.288088083
0.00509147,1.301394105
0.005135162,1.316771865
0.0052080170000000005,1.330612659
0.005255572,1.344168663
0.005284214000000001,1.353224993
0.005349449,1.368723631
0.00540221,1.380444646
0.005446534,1.394157887
0.005504485,1.4058007
0.005548558,1.4196347
0.005599762,1.432024837
0.005648987,1.44101727
0.005705348,1.458690763
0.005744809,1.470906734
0.005806595,1.483709097
0.005861418,1.496590614
0.00590277,1.507129192
0.005937711,1.522431374
0.006003329,1.533477545
0.006042425000000001,1.54712069
0.00610455,1.559488177
0.006156145,1.57417047
0.00620897,1.583754182
0.0062620620000000005,1.594931364
0.006299733,1.607781172
0.006362143000000001,1.62232697
0.006401782,1.63346374
0.006470846000000001,1.648425698
0.0065152330000000005,1.658525586
0.0065320460000000006,1.67196393
0.0066016270000000005,1.682183385
0.00665756,1.698698044
0.006699461,1.70909822
0.0067618470000000005,1.725304604
0.0068143990000000005,1.73402369
0.006855615,1.746156454
0.006906602,1.758505106
0.006957733,1.771288276
0.0070208200000000005,1.782583475
0.007048152,1.79570663
0.007115814,1.807664514
0.007154295000000001,1.822414398
0.007212161,1.832866788
0.007254643,1.84702158
0.0073175110000000005,1.857471108
0.0073445260000000005,1.872949481
0.007405447,1.885130048
0.007462877000000001,1.896891117
0.007501931,1.911252618
0.007554364,1.922676921
0.007597779,1.929412842
0.0076615400000000005,1.944903493
0.007699228,1.955860496
0.00777164,1.970375299
0.007814283,1.984029531
0.007850817999999999,1.996724606
0.007909626,2.007031918
0.007938599999999999,2.020865202
0.007999358,2.033999443
0.008058717,2.046009064
0.00812072,2.063732624
0.008159208999999999,2.076112032
0.008227138,2.083690643
0.008259688999999999,2.09855032
0.00831903,2.110971689
0.008357963,2.122130632
0.008405834,2.134912729
