Elongation [mm],Load [kN]
0.0,0.000443994
1.6490000000000003e-05,0.00692459
2.1220000000000004e-05,0.005598009
4.92e-05,0.010219502
6.38e-05,0.016497696
0.0001006,0.021652885
0.000138534,0.034972262
0.000192669,0.048430253
0.00023918099999999999,0.063494049
0.000318037,0.079021871
0.000358361,0.090881117
0.000401845,0.104338661
0.000464642,0.120767914
0.000534141,0.137339443
0.000579848,0.148540348
0.0006319860000000001,0.161635816
0.0006812610000000001,0.173197165
0.000728866,0.185766265
0.000774702,0.198762789
0.000832681,0.212926656
0.000893157,0.22529313
0.000945794,0.238909975
0.00098135,0.246799752
0.001028999,0.262756735
0.001071476,0.274478853
0.0011247730000000001,0.291409165
0.001171478,0.300009072
0.001240538,0.314753503
0.0012995,0.328893661
0.001343987,0.343041748
0.001399825,0.351794362
0.001435743,0.365175724
0.001496966,0.379249901
0.001533049,0.393934458
0.001586716,0.404180437
0.001636301,0.415816188
0.001693787,0.42798233
0.0017289760000000001,0.444545001
0.0017718760000000001,0.45521456
0.00183591,0.470305681
0.001885614,0.481750339
0.0019392090000000001,0.49504593
0.001987732,0.508444071
0.002027967,0.518659651
0.002094873,0.532186627
0.002134458,0.548403203
0.002198122,0.55738622
0.002238375,0.573262632
0.002288544,0.586487949
0.002349139,0.600083292
0.002387313,0.610017478
0.002437313,0.624156356
0.0024754440000000003,0.637556791
0.002544352,0.65059948
0.002587297,0.665356636
0.002637259,0.679951906
0.002693161,0.688921571
0.002738425,0.703723907
0.002797011,0.716322601
0.002849057,0.730657041
0.002887676,0.740728021
0.002943745,0.75495559
0.0029906110000000002,0.765641391
0.003051306,0.780434787
0.00309989,0.791602731
0.003146805,0.805907547
0.003194465,0.819019616
0.0032574130000000002,0.831692696
0.003309584,0.846382737
0.0033587540000000003,0.858343899
0.003394198,0.868529737
0.00344278,0.884411097
0.003498583,0.896631122
0.00355111,0.907876968
0.0036180220000000003,0.923560441
0.003654987,0.935984492
0.003698318,0.946259141
0.003762529,0.958052397
0.003804765,0.971232355
0.00386056,0.985665262
0.003903568,0.995432973
0.0039457,1.012354136
0.004012862999999999,1.021704197
0.004054846,1.035958648
0.004098066,1.047208309
0.004152472999999999,1.06158936
0.004200708,1.071827888
0.004254229,1.090075731
0.004297975,1.101248622
0.004355250999999999,1.116393805
0.004401431999999999,1.128017902
0.004457697,1.13871932
0.004509297999999999,1.153572917
0.004572965,1.169187188
0.004600824999999999,1.177608371
0.004666671,1.194791794
0.004713818,1.204074502
0.004764968,1.220275521
0.004814176,1.228885293
0.0048534699999999995,1.239919066
0.0048970689999999996,1.254162073
0.004948139,1.267679095
0.004998855,1.279954433
0.005042466999999999,1.293671966
0.005097722999999999,1.305712104
0.005150763,1.317293286
0.005198744999999999,1.331608176
0.005245451,1.342549443
0.005306508999999999,1.356135845
0.0053656879999999995,1.369619846
0.005390325,1.381041169
0.005461825,1.395450592
0.005497282,1.406918764
0.005556744,1.42003727
0.005589836999999999,1.433822989
0.0056572309999999995,1.448839545
0.005697982999999999,1.460036397
0.005749448999999999,1.474543929
0.005798131999999999,1.482343674
0.005851388,1.495884895
0.005900722999999999,1.509732008
0.005939252999999999,1.521668196
0.006007108,1.536246538
0.006049939999999999,1.548948169
0.006103435999999999,1.558767557
0.0061460659999999995,1.573594213
0.006198326,1.586987615
0.006237495,1.602563739
0.006299913999999999,1.612391114
0.006346101,1.627564192
0.0063962509999999995,1.639917135
0.006451246999999999,1.653092027
0.006501221,1.664559603
0.006560539,1.677832007
0.006603248999999999,1.68924129
0.006655627999999999,1.704992771
0.006698859999999999,1.714621305
0.0067613479999999995,1.729249835
0.006792243999999999,1.736154437
0.006846802,1.752708197
0.006894882999999999,1.764324903
0.006946114,1.778248072
0.006998671999999999,1.79332149
0.0070368769999999995,1.807721257
0.007102496,1.816589475
0.007141883999999999,1.833788514
0.007201926,1.845635056
0.007258794999999999,1.860524654
0.007303611999999999,1.869369507
0.007371284,1.883296013
0.0074003689999999995,1.894766092
0.007445108999999999,1.907699585
0.007509032,1.919545889
0.007550103999999999,1.931722403
0.00760689,1.946814179
0.007641615,1.959355474
0.007700055,1.97363472
0.007744844999999999,1.986256003
0.007797528999999999,1.994888544
0.007848883000000001,2.011586666
0.007902574,2.023289919
0.00794326,2.035192251
0.008008496,2.051818609
0.008049518,2.064685345
0.008095828000000001,2.077907324
0.008157503,2.090677023
0.008200861,2.100412607
0.008260739000000001,2.117824554
0.008301885,2.128136635
0.008368536000000001,2.140955448
0.00839406,2.152630329
0.008446712,2.166662931
0.008496028000000001,2.180339336
0.008559803000000001,2.195266724
0.008607789000000001,2.208499193
0.008661276,2.221411467
0.00872138,2.227420568
0.008746058000000001,2.243513346
0.008810625,2.254796028
0.008852752,2.271513224
0.008922711,2.283867598
