Elongation [mm],Load [kN]
0.0,0.013938354
-1.2e-06,0.005078703
-1.3899999999999999e-05,0.004968115
-3.718e-05,-0.000268452
-3.778e-05,-0.002863374
-3.098e-05,-0.004198263
-3.918e-05,-0.003130329
-2.1680000000000002e-05,-0.002439768
3.322e-05,0.045071892
0.000269158,0.156291515
0.000555205,0.273128301
0.0008395350000000001,0.39113754
0.0011413999999999999,0.509191632
0.001423981,0.624955654
0.0016901709999999999,0.736622095
0.001947128,0.845035672
0.00221056,0.947819352
0.002448761,1.050958514
0.002684195,1.147602439
0.002925199,1.247101188
0.003172136,1.349300146
0.0034215689999999997,1.449653149
0.00364492,1.548907995
0.003891627,1.651023149
0.004124945,1.752801776
0.004375038,1.852112293
0.004619325,1.952996016
0.0048678919999999995,2.058307409
0.005120032,2.158968925
0.0053416209999999995,2.266494274
0.0056235239999999995,2.373387814
0.005852399,2.474023342
0.006112869,2.580308437
0.0063673869999999995,2.685940981
0.006624822,2.786699772
0.006867128,2.888571978
0.007112818,2.993413925
0.007364463,3.094761848
0.007604538,3.195202351
0.007849451,3.299341679
0.008097855,3.399740458
0.008353512,3.501469851
0.008599098,3.599791288
0.008841505,3.706841946
0.009106817,3.807012081
0.009344605,3.910192728
0.009598638999999999,4.012013912
0.009862911,4.119532585
0.010106968,4.219574451
0.010367573,4.323622704
0.010601055,4.429326534
0.010863193,4.53420496
0.011117748,4.636418819
0.01137589,4.740725517
0.011657945,4.847934723
0.011891989,4.952699184
0.012160456,5.054650784
0.012404613,5.159132481
0.01267726,5.257454872
0.012915133,5.362061024
0.013191051,5.468831062
0.01344309,5.566359043
0.013698359,5.667016506
0.013953621,5.765070438
0.014193881,5.861503124
0.01444408,5.961915016
0.014710219,6.063221931
0.014977818,6.158644199
0.015222404,6.253284454
0.01548621,6.345891476
0.015751026,6.439304829
0.016012129,6.531387329
0.016266774,6.62539053
0.016536175,6.714309692
0.016784397,6.804500103
0.017036221,6.890625954
0.017292352,6.979829311
0.01754694,7.064640045
0.01779654,7.152837753
0.018029104,7.238765717
0.018315449,7.324172497
0.018565276,7.412076473
0.018819102,7.493371487
0.019074877,7.577047348
0.019318321,7.662350655
0.019589714,7.746994019
0.019847031,7.825566769
0.020098238,7.906396866
0.020374936,7.982331753
0.020620854,8.061015129
0.020878204,8.142828941
0.021136998,8.223244667
0.02137963,8.299671173
0.021641414,8.377516747
0.021894998,8.455434799
0.02215924,8.532646179
0.022439405,8.601782799
0.022702291,8.673506737
0.02294021,8.743915558
0.023213466,8.813257217
0.023447297,8.879556656
0.023716423,8.948431969
0.023957349,9.011026382
0.024218601,9.080212593
0.024474488,9.14481163
0.024749038,9.208773613
0.025007534,9.268269539
0.025255407,9.333320618
0.025543354,9.390551567
0.025839464,9.447176933
0.026147387,9.495697021
0.02645345,9.542917252
0.026732282,9.582174301
0.027005849,9.618652344
0.02726508,9.653599739
0.027543319,9.685267448
0.027814242,9.715895653
0.028089174,9.746095657
0.028342457,9.772533417
0.028592968,9.795661926
0.028871506,9.822588921
0.029128575,9.843289375
0.029415664,9.862148285
0.029684899,9.878336906
0.029950983,9.894680977
0.030211779,9.908133507
0.030469136,9.924279213
0.030708541,9.93881321
0.030968941,9.955349922
0.031217841,9.969603539
0.031461178000000006,9.986247063
0.031696192000000005,10.00239468
0.03194359200000001,10.01916218
0.032207838,10.03898335
0.032442584000000003,10.05639553
0.032692525,10.07210445
0.032955299,10.09099007
0.033200196,10.10753727
0.033461361,10.12678242
0.033723182000000004,10.13908291
0.033986165000000006,10.15245056
0.034261364,10.16592312
0.034506138000000006,10.17445183
0.034782156,10.18521976
0.035053841,10.19352627
0.035300664,10.20129108
0.035546701,10.20877552
0.035782169,10.2164669
0.036010052,10.22736645
0.036244835,10.23799515
0.036500401,10.25457573
0.036742165,10.26638794
0.036993205,10.27726841
0.037250723000000006,10.29115963
0.037519130000000005,10.30525017
0.037758141,10.31753063
0.038018397,10.32893181
0.038274705000000006,10.34059811
0.038531265,10.34994698
0.038757808000000005,10.36211205
0.03900589300000001,10.3708744
0.039247736000000005,10.38132668
0.039508238,10.39404583
0.039755750000000006,10.40668583
0.040027271,10.41792297
0.040281712000000004,10.42545128
0.040558911,10.43177891
0.040816627,10.43787861
0.041071675,10.44313717
0.041328295,10.44899654
0.041588537,10.45492649
0.041819855,10.45775318
0.042062475,10.46453094
0.042277011,10.47585011
0.04253341200000001,10.48590469
0.042772754,10.4949789
0.043015941,10.50415421
0.043252777000000006,10.51892662
0.043512679000000005,10.53004265
0.043761282000000006,10.53977489
0.044024482000000004,10.55072594
0.044276207000000005,10.56370449
0.044528558,10.57247543
0.044775534000000006,10.58173561
0.045012395000000004,10.59058285
0.045265428,10.60479927
0.045518181000000005,10.61477566
0.045767653000000005,10.62527275
0.046015072000000004,10.63564968
0.046247154000000006,10.64821339
0.046515877000000004,10.66316891
0.046752504,10.67693615
0.047006837,10.68492985
0.047277129,10.69686985
0.047516047000000006,10.70877743
0.047774977,10.71934605
0.048008054,10.72861195
0.048257399000000006,10.742486
0.048507634,10.75503159
0.048764921,10.76681328
0.049014676,10.77762508
0.049262053,10.7880764
0.049520853000000004,10.7967329
0.049780476000000004,10.80846691
0.050028286000000005,10.81816673
0.050280172000000005,10.8284626
0.050535518,10.83658218
0.050771437,10.85056114
0.051014654000000006,10.85993862
0.05125185,10.86905384
0.051500226,10.88271046
0.051749922000000004,10.89920139
0.051999460000000004,10.90766239
0.052262119,10.91418076
0.052505951,10.9303875
0.05277168300000001,10.94450665
0.053031444000000004,10.9534626
0.053282834,10.96124935
0.053530972,10.97029591
0.05379847,10.98405075
0.054048500000000006,10.99512768
0.054301738,11.00003147
0.054548855,11.00919247
0.054778560000000004,11.01979065
0.055025830000000005,11.03228855
0.05529005,11.04120064
0.05553468600000001,11.05396271
0.055788438,11.05897331
0.056053664,11.07095051
0.056303705,11.07905388
0.056547820000000006,11.08911991
0.05679428500000001,11.10063362
