Elongation [mm],Load [kN]
0.0,0.003924222
1.962e-05,-0.00044041
2.582e-05,-0.000900048
1.452e-05,-0.000207993
7.2100000000000004e-06,0.000322891
5.07e-06,-0.000750296
-3.2599999999999997e-06,-0.00122593
3.3589e-06,0.001399743
-8.000000000000008e-08,-0.001002415
1.402e-05,0.000136678
2.032e-05,-0.000132195
2.634e-06,-0.001204218
6.2e-07,0.001245574
1.392e-05,0.001158031
-5.729999999999999e-06,-0.000273103
7e-06,-0.001752261
1.006e-05,0.003521241
7.012e-05,0.033713531
0.000227441,0.086258546
0.00034611200000000004,0.126514569
0.00045988,0.158352911
0.000530471,0.188758388
0.0006348640000000001,0.21953851
0.000722266,0.253044337
0.000830004,0.282280773
0.000902909,0.315960377
0.000989387,0.345157981
0.001074278,0.368608624
0.001127115,0.392642766
0.001204865,0.415405363
0.001286089,0.436181158
0.001321377,0.456031084
0.001376101,0.471235067
0.001438852,0.492817432
0.001487196,0.511827707
0.001549178,0.532170773
0.001603756,0.548511744
0.0016509930000000001,0.567227423
0.001690221,0.581448138
0.001753224,0.602006733
0.001797321,0.619818032
0.00184692,0.637441218
0.001905154,0.655936658
0.0019598679999999996,0.675424576
0.002008308,0.688972712
0.0020546519999999997,0.710509777
0.002103725,0.726640224
0.0021571119999999997,0.746180117
0.002219127,0.762992442
0.0022605409999999996,0.782893419
0.002313085,0.80057925
0.002365084,0.818254769
0.002416285,0.831005931
0.0024504749999999997,0.851024747
0.0025091329999999998,0.866862357
0.002566172,0.885433376
0.0025996189999999996,0.90355736
0.0026645989999999997,0.919148803
0.0026992189999999997,0.936478615
0.0027530389999999997,0.955813587
0.0027910219999999998,0.970960796
0.002845425,0.987650752
0.002911179,1.006450534
0.0029397599999999996,1.027259469
0.00300535,1.044269323
0.00305624,1.06214571
0.0031045779999999998,1.075843096
0.0031408279999999996,1.095630288
0.003202638,1.112785816
0.0032663949999999996,1.131036758
0.003298818,1.14674902
0.0033544509999999996,1.165635228
0.0033958929999999997,1.180960417
0.003453837,1.20028317
0.0035082209999999997,1.219314814
0.0035490179999999997,1.237214804
0.003600823,1.256847978
0.0036566489999999997,1.271722674
0.0037060379999999996,1.288935781
0.003751754,1.304681778
0.00379733,1.323474526
0.0038600979999999997,1.340457916
0.0039042869999999998,1.357496619
0.003960135,1.373838544
0.004004911,1.38694036
0.004044122,1.406370401
0.004099405,1.4225142
0.004144679,1.440267324
0.004178313,1.458327651
0.004241878,1.477432013
0.004300372,1.490188837
0.004341403000000001,1.510117054
0.004394832,1.526187658
0.004446296000000001,1.545061588
0.004504824,1.561875463
0.004543746,1.577968836
0.004586299,1.596082568
0.004643846,1.61391747
0.004700819,1.629530907
0.004738296,1.648415446
0.004791676,1.670627236
0.0048428,1.689353466
0.0048967410000000005,1.708912492
0.004951603000000001,1.724198103
0.004998945,1.74138391
0.0050423230000000005,1.764304876
0.005102695,1.78039515
0.005162180000000001,1.799920917
0.00521339,1.814460039
0.0052500870000000005,1.833613753
0.0053007850000000006,1.849097252
0.005343343,1.870778084
0.00541057,1.884807825
0.00546179,1.905498147
0.005502835,1.923221231
0.00555197,1.94092977
0.005600937,1.958143473
0.0056536500000000005,1.979046702
0.005710936000000001,1.994553447
0.005766908,2.015443325
0.005800075,2.02926302
0.00585702,2.048675776
0.005908865,2.065820217
0.005957789000000001,2.085043907
0.006008019,2.100811005
0.006060737,2.120277882
0.00611044,2.135656595
0.006170298,2.155600548
0.00620515,2.170037508
0.006268532,2.187902451
0.006310873,2.203810692
0.006354486,2.222450972
0.006408846,2.238934755
0.006454226,2.260080099
0.0065023120000000005,2.27710104
0.006551297,2.293587208
0.0066021890000000005,2.312432289
0.006654439,2.333345175
0.006713155,2.34828496
0.006765157,2.367291212
0.006809809,2.383012772
0.00686019,2.402429819
0.006903145,2.420260191
0.006963207,2.440698862
0.007018058000000001,2.459215641
0.007056912,2.473023415
0.007101736,2.491636992
0.007150585,2.50932169
0.0072095020000000004,2.527695417
0.007257765,2.550457478
0.007326891,2.562920094
0.0073590470000000005,2.5838902
0.007419491,2.595600128
0.007466394,2.618457317
