Elongation [mm],Load [kN]
0.0,0.001981745
1.4130000000000003e-06,-0.00261365
1.7629999999999999e-06,-0.002528756
3.8429999999999995e-06,-0.001945591
3.3530000000000003e-06,-0.00111737
2.223e-06,-0.003040788
1.983e-06,-0.002469454
8.913000000000001e-06,-0.002696236
1.9900000000000002e-07,-0.002150237
0.00012528799999999998,0.095645778
0.000485502,0.251850575
0.000936034,0.4478091
0.001412202,0.649149299
0.001872314,0.830122054
0.002266952,0.988674581
0.002616731,1.131673574
0.002943483,1.269226789
0.003242203,1.397591472
0.003552238,1.518044472
0.003814621,1.630971193
0.004091727999999999,1.745500207
0.004347642,1.85274291
0.0045961249999999995,1.961152434
0.004868879,2.06862092
0.005131752,2.176315069
0.005380197,2.280055761
0.005633641,2.386699677
0.005879990999999999,2.48717308
0.0061212689999999995,2.590574026
0.006369026999999999,2.692118168
0.006614215,2.796895981
0.006861152,2.901011705
0.0070892229999999995,3.000211716
0.007333167999999999,3.106650829
0.007611918,3.215895414
0.007843099,3.31963253
0.008093655,3.423089027
0.008364128,3.526346445
0.008607142,3.634472132
0.008859747,3.74164319
0.009130802,3.849537849
0.009375663999999999,3.955684185
0.009634491,4.066641808
0.00989549,4.17357111
0.010154589,4.280796051
0.010423957999999999,4.38491869
0.01067186,4.487749577
0.010925202,4.594798565
0.011178490999999999,4.694002151
0.011419812,4.794310093
0.011673023999999999,4.902435303
0.011938479,5.008002281
0.012206356,5.112965107
0.012466640999999999,5.215638638
0.012710375,5.316851616
0.012978212999999999,5.417527676
0.01323535,5.511312008
0.013476367999999999,5.611800671
0.013738552999999999,5.709581852
0.013987903999999999,5.807568073
0.014243839,5.907981396
0.014507385,6.003839493
0.014768401,6.096251488
0.015008816,6.190738678
0.015275565999999999,6.288378716
0.015543656,6.379971504
0.015788642,6.470678329
0.016059829,6.560472488
0.01630125,6.647830963
0.016573576,6.737991333
0.016808286,6.828972816
0.017072832,6.915049076
0.017344562,7.000077248
0.017596548,7.081420422
0.017824898999999998,7.168273926
0.018103918,7.252037525
0.018348595,7.336521149
0.018615052,7.420315266
0.018873481,7.503353596
0.019121304,7.585060596
0.019402746,7.665923119
0.019658237,7.744804382
0.019906912,7.82688427
