Elongation [mm],Load [kN]
0.0,0.119788408
1.9854999999999992e-05,0.158635929
6.528999999999999e-05,0.203716293
0.000120925,0.256495804
0.000130975,0.312366843
0.000193907,0.373167813
0.00021240799999999998,0.435626745
0.000257871,0.507346749
0.00029296,0.575587571
0.00035402999999999997,0.653988004
0.00041427399999999996,0.731276929
0.000472352,0.808743536
0.000516968,0.884763896
0.000575141,0.969637215
0.000630118,1.056078792
0.000674021,1.143158913
0.000727724,1.241117835
0.000804571,1.340391517
0.000862761,1.434120893
0.0009203989999999999,1.529652953
0.000978471,1.621137381
0.001030876,1.712695956
0.001107977,1.804116249
0.001164676,1.891964912
0.001210924,1.974128366
0.00127824,2.06204772
0.001338043,2.150538921
0.001378285,2.229773045
0.001441444,2.308558941
0.001493455,2.390771389
0.00153903,2.475763559
0.001592958,2.561077833
0.001663864,2.6424613
0.001726451,2.725384235
0.001763044,2.798164606
0.001809061,2.87879324
0.001870283,2.959139824
0.0019260050000000002,3.037419081
0.001968612,3.119701385
0.002027252,3.208065748
0.002102466,3.28449297
0.002139681,3.361954451
0.00218344,3.435781002
0.002252631,3.516187191
0.0022692,3.594033957
0.00231111,3.673677921
0.002377831,3.758189201
0.002438199,3.834918737
0.002452294,3.918628454
0.002552951,4.006490707
0.002615938,4.078663826
0.002667711,4.157427311
0.002697369,4.235280991
0.002755451,4.310328484
0.002826869,4.383309364
0.002852667,4.467885494
0.002919618,4.54397583
0.002966916,4.614733696
0.003011331,4.687714577
0.003050649,4.766337395
0.0031342,4.849933624
0.003166817,4.930205345
0.003203575,5.007557869
0.003261659,5.08561945
0.003331423,5.158690453
0.003376526,5.232318401
0.003418249,5.304951668
0.003479831,5.385062695
0.003525705,5.461919308
0.003585709,5.541069031
0.00360857,5.612537384
0.003663425,5.689160824
0.003735906,5.767816067
0.0037725,5.842020988
0.0038281039999999997,5.91684866
0.0038683759999999998,5.997340202
0.003922372,6.077039242
0.003972155,6.154545784
0.004045132,6.232117176
0.004078953,6.299278259
0.004135163,6.369077682
0.004194125,6.441212654
0.004240991,6.511004448
0.004279946,6.582768917
0.004311674,6.655886173
0.004355333,6.741550922
0.004434361,6.819952965
0.004490422,6.896626472
0.004497631,6.965312481
0.004580133,7.045655251
0.004615512,7.119922161
0.004677837,7.199194431
0.004744929,7.272996426
0.004798144,7.347908974
0.004809441,7.421080589
0.004889569,7.500148773
0.004913835,7.574729443
0.004986846,7.651689529
0.005048493,7.726837158
0.00508194,7.805141926
0.005143966,7.881863117
0.005199178,7.956090927
0.005229997,8.026631355
0.00529859,8.102713585
0.00532138,8.175960541
0.005396449,8.255989075
0.005435181,8.326770782
0.005506432,8.399617195
0.005560839,8.473086357
0.005564274,8.549129486
0.005622972,8.623178482
0.005662841,8.697591782
0.005758475,8.774534225
0.005774823,8.845762253
0.005830357,8.921800613
0.005883972,8.997810364
0.005927561,9.065486908
0.005981298,9.142104149
0.006062108,9.21523571
0.006077742,9.28868866
0.006138836,9.363050461
0.00617326,9.439869881
0.006268815,9.51766777
0.006280058,9.58612442
0.006339433,9.65780735
0.006388396,9.731984138
0.006429624,9.811184883
0.006479214,9.886408806
0.006526668,9.958724976
0.006613392,10.0328474
