Elongation [mm],Load [kN]
0.0,0.0
0.01344,3.28746756
0.02688,5.912091070000001
0.04032,7.08287773
0.05376,7.76960955
0.0672,8.15671885
0.08064,8.44838388
0.09408,8.684689070000001
0.10752,8.881159089999999
0.12096,9.047047280000001
0.1344,9.187436250000001
0.14784,9.30700282
0.16128,9.41075677
0.17472,9.50209974
0.18816,9.58322084
0.2016,9.65549583
0.21504,9.71985357
0.22848,9.77706874
0.24192,9.82777324
0.25536,9.87248969
0.2688,9.911646450000001
0.28224,9.9455948
0.29568,9.974618529999999
0.30912,9.99894532
0.32256,10.01875636
0.336,10.03419577
0.34944,10.04537336
0.36288,10.05237286
0.37632,10.05525713
0.38976,10.05402658
0.4032,10.04891043
0.41664,10.039781499999998
0.43008,10.02672738
0.44352,10.00976561
0.45696,9.98890286
0.4704,9.9641363
0.47616,9.08291763
0.46272,6.06648794
0.44928,3.0558389000000004
0.43584,0.20507828
0.4224,-1.97308818
0.40896,-3.41766999
0.39552,-4.5130626199999995
0.38208,-5.3714708
0.36864,-5.99702844
0.3552,-6.46376122
0.34176,-6.83520449
0.32832,-7.14749877
0.31488,-7.42122567
0.30144,-7.6654141
0.288,-7.88625365
0.27456,-8.08810865
0.26112,-8.27282653
0.24768,-8.442808650000002
0.23424,-8.600787389999999
0.2208,-8.74914454
0.20736,-8.8899132
0.19392,-9.02438714
0.18048,-9.15358855
0.16704,-9.278319750000001
0.1536,-9.39899719
0.14016,-9.51596699
0.12672,-9.62951477
0.11328,-9.73988025
0.09984,-9.84726887
0.0864,-9.95187062
0.07296,-10.05384505
0.05952,-10.15333026
0.04608,-10.25043692
0.03264,-10.34528729
0.0192,-10.43799766
0.00576,-10.52866626
0.00768,-8.93614097
0.02112,-5.690390099999999
0.03456,-2.4705414099999996
0.048,0.60343122
0.06144,3.15482073
0.07488,4.79685041
0.08832,5.99688885
0.10176,6.8729900100000005
0.1152,7.45281845
0.12864,7.88243057
0.14208,8.20645658
0.15552,8.46557293
0.16896,8.6861312
0.1824,8.87722632
0.19584,9.04510785
0.20928,9.19216082
0.22272,9.320192279999999
0.23616,9.43085897
0.2496,9.52571962
0.26304,9.60623055
0.27648,9.67373386
0.28992,9.729458319999999
0.30336,9.77450321
0.3168,9.80983405
0.33024,9.836292100000001
0.34368,9.85460058
0.35712,9.86536707
0.37056,9.86909663
0.384,9.86611422
0.39744,9.85717696
0.41088,9.84224454
0.42432,9.82168979
0.43776,9.795711279999999
0.4512,9.76446453
0.46464,9.72807126
0.47808,9.68662922
0.46848,7.56230465
0.45504,4.584934489999999
0.4416,1.66687458
0.42816,-0.9834039699999999
0.41472,-2.9019129400000003
0.40128,-4.23352803
0.38784,-5.24654241
0.3744,-6.032178259999999
0.36096,-6.638187230000001
0.34752,-7.078898000000001
0.33408,-7.41781577
0.32064,-7.696233019999999
0.3072,-7.94103234
0.29376,-8.161330229999999
0.28032,-8.362637119999999
0.26688,-8.548768860000001
0.25344,-8.72202985
0.24,-8.88299086
0.22656,-9.033200189999999
0.21312,-9.1741266
0.19968,-9.307098609999999
0.18624,-9.43399189
0.1728,-9.55603026
0.15936,-9.67401874
0.14592,-9.7884194
0.13248,-9.89949017
0.11904,-10.00746482
0.1056,-10.11253269
0.09216,-10.2148572
0.07872,-10.3145978
0.06528,-10.41189082
0.05184,-10.506853880000001
0.0384,-10.59959764
0.02496,-10.69011595
0.01152,-10.77861496
0.00192,-10.50406824
0.01536,-7.27873087
0.0288,-4.06420639
0.04224,-0.9484477299999999
0.05568,1.94565067
0.06912,3.95718417
0.08256,5.370779069999999
0.096,6.42345151
0.10944,7.20070753
0.12288,7.717589439999999
0.13632,8.09324532
0.14976,8.372080330000001
0.1632,8.59389477
0.17664,8.78096063
0.19008,8.94218592
0.20352,9.081468899999999
0.21696,9.20082841
0.2304,9.30212577
0.24384,9.38710258
0.25728,9.457372509999999
0.27072,9.5143948
0.28416,9.55946451
0.2976,9.59371614
0.31104,9.61813248
0.32448,9.63354165
0.33792,9.64063178
0.35136,9.6399878
0.3648,9.63213859
0.37824,9.61752596
0.39168,9.59650227
0.40512,9.56934747
0.41856,9.53628645
0.432,9.49750295
0.44544,9.453151550000001
0.45888,9.40336595
0.47232,9.34827317
0.47424,8.48765577
0.4608,5.56099395
0.44736,2.6507178600000003
0.43392,-0.05363723
0.42048,-2.22694916
0.40704,-3.70668483
0.3936,-4.80365625
0.38016,-5.64369534
0.36672,-6.29328394
0.35328,-6.80177495
0.33984,-7.19879096
0.3264,-7.50584365
0.31296,-7.75978386
0.29952,-7.98718474
0.28608,-8.19588249
0.27264,-8.39003999
0.2592,-8.57239668
0.24576,-8.74484703
0.23232,-8.908724410000001
0.21888,-9.065013409999999
0.20544,-9.21441269
0.192,-9.35679485
0.17856,-9.49211043
0.16512,-9.620793229999999
0.15168,-9.74332062
0.13824,-9.8601178
0.1248,-9.97195249
0.11136,-10.07977063
0.09792,-10.184662
0.08448,-10.2868926
0.07104,-10.38659889
0.0576,-10.48391549
0.04416,-10.57894687
0.03072,-10.67179793
0.01728,-10.76257346
0.00384,-10.851354429999999
0.0096,-8.81220214
0.02304,-5.61500396
0.03648,-2.46470239
0.04992,0.51029578
0.06336,2.95095881
0.0768,4.595678230000001
0.09024,5.8079005
0.10368,6.72190917
0.11712,7.40287486
0.13056,7.8639081299999996
0.144,8.19639695
0.15744,8.44236213
0.17088,8.63116346
0.18432,8.784758680000001
0.19776,8.91296981
0.2112,9.02036936
0.22464,9.1095951
0.23808,9.18264694
0.25152,9.24126037
0.26496,9.28694638
0.2784,9.321006590000001
0.29184,9.34454638
0.30528,9.35848115
0.31872,9.36356265
0.33216,9.36045012
0.3456,9.34967488
0.35904,9.33174795
0.37248,9.30703024
0.38592,9.275826290000001
0.39936,9.2383885
0.4128,9.19493316
0.42624,9.14565271
0.43968,9.09072991
0.45312,9.03034864
0.46656,8.96470635
0.48,8.89402288
0.46656,6.02224691
0.45312,3.15258941
0.43968,0.45532177
0.42624,-1.7822582
0.4128,-3.31497157
0.39936,-4.4315709299999995
0.38592,-5.27725852
0.37248,-5.92412441
0.35904,-6.42804598
0.3456,-6.8320723
0.33216,-7.166325120000001
0.31872,-7.44499114
0.30528,-7.681010629999999
0.29184,-7.89595388
0.2784,-8.097212110000001
0.26496,-8.28731744
0.25152,-8.46801898
0.23808,-8.64051783
0.22464,-8.80569145
0.2112,-8.96421192
0.19776,-9.11660558
0.18432,-9.263328869999999
0.17088,-9.404715759999998
0.15744,-9.54114545
0.144,-9.672891569999999
0.13056,-9.79991266
0.11712,-9.92186344
0.10368,-10.03884852
0.09024,-10.151024880000001
0.0768,-10.25859602
0.06336,-10.36182373
0.04992,-10.461085240000001
0.03648,-10.557037959999999
0.02304,-10.650347100000001
0.0096,-10.741459059999999
0.00384,-9.89818947
0.01728,-6.72579434
0.03072,-3.57464128
0.04416,-0.5680543699999999
0.0576,2.09614739
0.07104,3.91916841
0.08448,5.24907845
0.09792,6.24911691
0.11136,7.005444290000001
0.1248,7.56623726
0.13824,7.95022547
0.15168,8.22381437
0.16512,8.42453134
0.17856,8.57972775
0.192,8.70371808
0.20544,8.80314444
0.21888,8.88252685
0.23232,8.945093570000001
0.24576,8.99320497
0.2592,9.02864184
0.27264,9.05278165
0.28608,9.06670087
0.29952,9.07125073
0.31296,9.067147199999999
0.3264,9.05501116
0.33984,9.03534683
0.35328,9.00856282
0.36672,8.97499708
0.38016,8.934937679999999
0.3936,8.888641439999999
0.40704,8.83634636
0.42048,8.77828889
0.43392,8.71481079
0.44736,8.6458897
0.4608,8.57211585
0.47424,8.49372932
0.47232,6.900639780000001
0.45888,4.08016039
0.44544,1.34454654
0.432,-1.0332635600000002
0.41856,-2.72611399
0.40512,-3.9127286100000003
0.39168,-4.79934438
0.37824,-5.46835848
0.3648,-5.98236419
0.35136,-6.39082247
0.33792,-6.72958751
0.32448,-7.02244228
0.31104,-7.28347506
0.2976,-7.517309419999999
0.28416,-7.72792396
0.27072,-7.92634316
0.25728,-8.11538284
0.24384,-8.29627511
0.2304,-8.46996205
0.21696,-8.63707819
0.20352,-8.798043309999999
0.19008,-8.953279870000001
0.17664,-9.103256779999999
0.1632,-9.24817256
0.14976,-9.38834088
0.13632,-9.52399921
0.12288,-9.65534261
0.10944,-9.782634179999999
0.096,-9.906054710000001
0.08256,-10.025705949999999
0.06912,-10.14173404
0.05568,-10.25394022
0.04224,-10.362252
0.0288,-10.46669034
0.01536,-10.56723408
0.00192,-10.66401079
0.01152,-8.418593699999999
0.02496,-5.2809883200000005
0.0384,-2.21363828
0.05184,0.6552485
0.06528,2.86811968
0.07872,4.41049495
0.09216,5.5576615799999995
0.1056,6.42550199
0.11904,7.07956599
0.13248,7.56513468
0.14592,7.90284303
0.15936,8.13652781
0.1728,8.30319168
0.18624,8.43186636
0.19968,8.53270154
0.21312,8.61102087
0.22656,8.67073646
0.24,8.71485058
0.25344,8.745607540000002
0.26688,8.764669589999999
0.28032,8.773290189999999
0.29376,8.772429690000001
0.3072,8.76284945
0.32064,8.74516213
0.33408,8.7198633
0.34752,8.68736448
0.36096,8.64801733
0.3744,8.602136759999999
0.38784,8.550018609999999
0.40128,8.491951940000002
0.41472,8.4282393
0.42816,8.35920651
0.4416,8.28520714
0.45504,8.20663684
0.46848,8.12392806
0.47808,8.06249683
0.46464,5.29302531
0.4512,2.53535448
0.43776,0.015
0.42432,-1.96022001
0.41088,-3.29207326
0.39744,-4.26211734
0.384,-4.98450394
0.37056,-5.52953089
0.35712,-5.95428478
0.34368,-6.30152739
0.33024,-6.59989004
0.3168,-6.86704018
0.30336,-7.1127385599999995
0.28992,-7.34211761
0.27648,-7.55640453
0.26304,-7.7550754
0.2496,-7.9438299699999995
0.23616,-8.12508795
0.22272,-8.299689560000001
0.20928,-8.46809091
0.19584,-8.63072797
0.1824,-8.788050310000001
0.16896,-8.94035899
0.15552,-9.08781937
0.14208,-9.23071436
0.12864,-9.36920717
0.1152,-9.50362484
0.10176,-9.633974519999999
0.08832,-9.76058535
0.07488,-9.88348766
0.06144,-10.002875029999998
0.048,-10.118854390000001
0.03456,-10.23165686
0.02112,-10.341258250000001
0.00768,-10.44790986
0.024,-5.065819540000001
0.08,4.525817780000001
0.136,7.48748797
0.192,8.26426966
0.248,8.47471205
0.304,8.46869301
0.36,8.31952789
0.416,8.05893016
0.472,7.71511689
0.528,7.3222134699999994
0.584,6.909498569999999
0.64,6.493874910000001
0.696,6.0844834
0.752,5.68616007
0.808,5.30046706
0.864,4.92709278
0.92,4.56567724
0.976,4.21529386
1.032,3.87488161
1.088,3.5448427799999997
1.144,3.2266353
1.2,2.92161662
1.256,2.63115532
1.312,2.3570756900000003
1.368,2.10023806
1.424,1.86152603
1.48,1.64610555
1.536,1.45714428
1.592,1.29133865
1.648,1.14650064
1.704,1.02460036
1.76,0.92471572
1.816,0.8426237200000001
1.872,0.77402445
1.928,0.71670275
1.984,0.66782468
2.0,0.65538893
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
2.0,0.65538894
