Elongation [mm],Load [kN]
0.0,0.0
0.0084,1.90211936
0.0168,3.80089853
0.0252,5.00614751
0.0336,5.50212039
0.042,5.86943566
0.0504,6.1592961299999995
0.0588,6.39371427
0.0672,6.58606811
0.0756,6.74563976
0.084,6.87936231
0.0924,6.99258367
0.1008,7.08953976
0.1092,7.17345597
0.1176,7.24680463
0.126,7.3114923
0.1344,7.36936035
0.1428,7.42173191
0.1512,7.46955943
0.1596,7.5135010300000005
0.168,7.55420214
0.1764,7.59203495
0.1848,7.627348710000001
0.1932,7.6604143
0.2016,7.69143948
0.21,7.72059247
0.2184,7.74801938
0.2268,7.77383331
0.2352,7.7981406699999996
0.2436,7.82102435
0.252,7.84255799
0.2604,7.86280451
0.2688,7.88182328
0.2772,7.899666610000001
0.2856,7.91637951
0.294,7.93200353
0.3024,7.94657473
0.3108,7.960130299999999
0.3192,7.97270191
0.3276,7.98431831
0.336,7.995007139999999
0.3444,8.004793920000001
0.3528,8.01370241
0.3612,8.021754829999999
0.3696,8.02897226
0.378,8.035374840000001
0.3864,8.040981
0.3948,8.045808769999999
0.4032,8.049874899999999
0.4116,8.05319587
0.42,8.0557867
0.4284,8.05766243
0.4368,8.05883701
0.4452,8.05932406
0.4536,8.05909308
0.462,8.058287870000001
0.4704,8.05678949
0.4788,8.0546537
0.4872,8.05189202
0.4956,8.04851597
0.504,8.04453627
0.5124,8.0399638
0.5208,8.03480898
0.5292,8.029082500000001
0.5376,8.02279414
0.546,8.01595377
0.5544,8.0085712
0.5628,8.00065577
0.5712,7.99221692
0.5796,7.983263839999999
0.588,7.97380549
0.5964,7.963850529999999
0.6048,7.9534077100000005
0.6132,7.94248557
0.6216,7.93109223
0.63,7.9192358899999995
0.6384,7.90692471
0.6468,7.89416644
0.6552,7.88096876
0.6636,7.86733925
0.672,7.85328508
0.6804,7.83881383
0.6888,7.82393221
0.6972,7.80864753
0.7056,7.7929662099999994
0.714,7.7768951699999995
0.7224,7.76044061
0.7308,7.7436091
0.7392,7.72640687
0.7476,7.70883968
0.756,7.69091378
0.7644,7.67263461
0.7728,7.6540080900000005
0.7812,7.635039689999999
0.7896,7.61573474
0.798,7.59609845
0.8064,7.57613616
0.8148,7.55585285
0.8232,7.5352535
0.8316,7.5143427
0.84,7.49312557
0.8316,5.88397877
0.8232,4.27322794
0.8148,2.6608841900000004
0.8064,1.0485588499999998
0.798,-0.49538673
0.7896,-1.73200472
0.7812,-2.4158147399999996
0.7728,-2.93121636
0.7644,-3.35219348
0.756,-3.70661267
0.7476,-4.00746353
0.7392,-4.26376352
0.7308,-4.482769599999999
0.7224,-4.67073465
0.714,-4.833154749999999
0.7056,-4.9749029600000005
0.6972,-5.10002753
0.6888,-5.212090669999999
0.6804,-5.313861770000001
0.672,-5.40754268
0.6636,-5.4948068800000005
0.6552,-5.5770349999999995
0.6468,-5.6551789
0.6384,-5.72998914
0.63,-5.80208432
0.6216,-5.87174134
0.6132,-5.93945423
0.6048,-6.00542366
0.5964,-6.06987421
0.588,-6.13296803
0.5796,-6.1948244699999995
0.5712,-6.2555783499999995
0.5628,-6.31527981
0.5544,-6.37406875
0.546,-6.43189124
0.5376,-6.48885603
0.5292,-6.5450133500000005
0.5208,-6.60030361
0.5124,-6.654940109999999
0.504,-6.70881595
0.4956,-6.76202464
0.4872,-6.81460435
0.4788,-6.86654638
0.4704,-6.91797857
0.462,-6.96892588
0.4536,-7.0192480800000006
0.4452,-7.06913313
0.4368,-7.11854246
0.4284,-7.16755887
0.42,-7.21602117
0.4116,-7.26410242
0.4032,-7.31177352
0.3948,-7.35904595
0.3864,-7.40593255
0.378,-7.45249593
0.3696,-7.49857918
0.3612,-7.5443757
0.3528,-7.5898424
0.3444,-7.63497369
0.336,-7.6798474599999995
0.3276,-7.72435955
0.3192,-7.76852062
0.3108,-7.81243345
0.3024,-7.856064379999999
0.294,-7.89947735
0.2856,-7.94250671
0.2772,-7.98533319
0.2688,-8.027904099999999
0.2604,-8.07022411
0.252,-8.11229423
0.2436,-8.15411716
0.2352,-8.19569695
0.2268,-8.23704334
0.2184,-8.27820758
0.21,-8.319074239999999
0.2016,-8.359706959999999
0.1932,-8.40010196
