Elongation [mm],Load [kN]
0.0,0.0
0.006,1.4766859099999998
0.012,2.95079152
0.018,4.3679668099999995
0.024,5.5761718700000005
0.03,6.24804155
0.036,6.7287099900000005
0.042,7.11313695
0.048,7.42461975
0.054,7.65835255
0.06,7.8425004
0.066,8.00216578
0.072,8.14334175
0.078,8.26958204
0.084,8.383413749999999
0.09,8.48673935
0.096,8.58102582
0.102,8.667458909999999
0.108,8.74699382
0.114,8.82044513
0.12,8.88846277
0.126,8.951643480000001
0.132,9.010437229999999
0.138,9.065176600000001
0.144,9.116190909999998
0.15,9.16381464
0.156,9.20834941
0.162,9.25012317
0.168,9.289396479999999
0.174,9.32640768
0.18,9.36135183
0.186,9.39439424
0.192,9.425669410000001
0.198,9.45536897
0.204,9.4835067
0.21,9.510261490000001
0.216,9.535698909999999
0.222,9.559889049999999
0.228,9.582887790000001
0.234,9.6047486
0.24,9.6255146
0.246,9.64522871
0.252,9.66392854
0.258,9.68164811
0.264,9.69841902
0.27,9.71426957
0.276,9.72922473
0.282,9.74330731
0.288,9.75653883
0.294,9.768938519999999
0.3,9.78052434
0.306,9.79131244
0.312,9.80131732
0.318,9.81055215
0.324,9.81902976
0.33,9.82676106
0.336,9.83375618
0.342,9.840024750000001
0.348,9.84557503
0.354,9.85041496
0.36,9.85455163
0.366,9.857991389999999
0.372,9.8607399
0.378,9.86280279
0.384,9.86418542
0.39,9.864892529999999
0.396,9.86486103
0.402,9.864302649999999
0.408,9.863016
0.414,9.861075349999998
0.42,9.85848516
0.426,9.85524951
0.432,9.8513725
0.438,9.84685775
0.444,9.8417087
0.45,9.83592857
0.456,9.829520189999998
0.462,9.82248619
0.468,9.814829159999999
0.474,9.80655133
0.48,9.79765511
0.486,9.788142169999999
0.492,9.77801465
0.498,9.76727406
0.504,9.75592231
0.51,9.74396095
0.516,9.731391369999999
0.522,9.71821536
0.528,9.7044341
0.534,9.690049010000001
0.54,9.675061739999999
0.546,9.659473669999999
0.552,9.64328623
0.558,9.626501039999999
0.564,9.60911981
0.57,9.59114394
0.576,9.57257576
0.582,9.55341684
0.588,9.53366923
0.594,9.51333534
0.6,9.49241758
0.606,9.470918600000001
0.612,9.448841060000001
0.618,9.426290150000002
0.624,9.40296395
0.63,9.37917079
0.636,9.3548127
0.642,9.32989459
0.648,9.30442087
0.654,9.27839601
0.66,9.25182547
0.666,9.22471516
0.672,9.19707086
0.678,9.16889907
0.684,9.140206599999999
0.69,9.111001
0.696,9.08128987
0.702,9.0510814
0.708,9.020384470000002
0.714,8.989208049999998
0.72,8.95756192
0.726,8.925455920000001
0.732,8.89290083
0.738,8.85990761
0.744,8.826487510000002
0.75,8.79279368
0.756,8.75841568
0.762,8.72378797
0.768,8.6887826
0.774,8.653413420000001
0.78,8.61769354
0.786,8.581636909999999
0.792,8.545257
0.798,8.508567800000002
0.804,8.47173953
0.81,8.434318639999999
0.816,8.3967856
0.822,8.3591579
0.828,8.320971069999999
0.834,8.28271603
0.84,8.24424589
0.846,8.205573860000001
0.852,8.1667114
0.858,8.127669880000001
0.864,8.08846015
0.87,8.04909259
0.876,8.009576710000001
0.882,7.9699216999999996
0.888,7.93013632
0.894,7.8902284300000005
0.9,7.850205659999999
0.906,7.8100755799999995
0.912,7.769844559999999
0.918,7.72951915
0.924,7.689105789999999
0.93,7.6486099
0.936,7.60803701
0.942,7.5673926400000004
0.948,7.52668172
0.954,7.485909039999999
0.96,7.445079440000001
0.966,7.4041973500000005
0.972,7.3632671
0.978,7.32229287
0.984,7.28127871
0.99,7.240228699999999
0.996,7.19914656
1.002,7.1580359399999995
1.008,7.11690068
1.014,7.07574404
1.02,7.034569830000001
1.026,6.99338092
1.032,6.952180970000001
1.038,6.91097289
1.044,6.8697599700000005
1.05,6.82854537
1.056,6.78733188
1.062,6.746122489999999
1.068,6.7049201300000005
1.074,6.66372752
1.08,6.62254735
1.086,6.58138252
1.092,6.54023538
1.098,6.49910891
1.104,6.45800533
1.11,6.416927289999999
1.116,6.37587716
1.122,6.33485731
1.128,6.29387021
1.134,6.25291832
1.14,6.2120036899999995
1.146,6.17112873
1.152,6.130295680000001
1.158,6.08950655
1.164,6.04876364
1.17,6.008068959999999
1.176,5.96742466
1.182,5.926832800000001
1.188,5.8862953
1.194,5.84581422
