Radial elongation [mm],Load [kN]
0.0,-0.002839983
2.0000000000000486e-07,0.00472217
-3.7445999999999994e-05,0.02769834
-5.58e-05,0.070556112
-6.24e-05,0.122270681
-5.6699999999999996e-05,0.181795135
-0.00010899999999999999,0.243825078
-0.00010659999999999999,0.307035536
-0.0001135,0.369887143
-0.0001362,0.436315775
-0.000151689,0.497570813
-0.000165162,0.560486078
-0.00021663299999999998,0.625597417
-0.00022383899999999998,0.690220237
-0.000254149,0.755216897
-0.000283462,0.816513658
-0.000286522,0.882235646
-0.000310989,0.948233962
-0.000300217,1.014362097
-0.000336136,1.081660986
-0.00035193299999999997,1.147612095
-0.00035742799999999997,1.211763501
-0.000393515,1.270076871
-0.000403213,1.33798182
-0.000448127,1.401682734
-0.00046989199999999997,1.464495063
-0.000536414,1.529225826
-0.000544642,1.59136951
-0.000557374,1.654604912
-0.000574268,1.719253659
-0.000598024,1.781339884
-0.000600612,1.845536113
-0.0006312269999999999,1.909845591
-0.00066027,1.975081801
-0.000698222,2.034812927
-0.0007166539999999999,2.096656799
-0.0007618249999999999,2.164394379
-0.000772651,2.229588509
-0.000804316,2.293235302
-0.000820294,2.355876446
-0.000858983,2.423996449
-0.000857507,2.491091967
-0.00090103,2.553377628
-0.000959814,2.61868
-0.001008537,2.680772543
-0.001024728,2.741769075
-0.001025181,2.805515766
-0.001083408,2.867003202
-0.001120632,2.929660082
-0.001107865,2.990065575
-0.001158752,3.051477194
-0.001183368,3.111507654
-0.001235356,3.175640583
-0.001275114,3.238792896
-0.0012743399999999999,3.304374456
-0.001347478,3.372309208
-0.001347462,3.441755533
-0.001414548,3.505762577
-0.00145863,3.570722818
-0.001490505,3.631694317
-0.001526463,3.695252419
-0.001579393,3.76158762
-0.001634991,3.825734615
-0.001650643,3.885911465
-0.001699171,3.9480443
-0.001765517,4.009423733
-0.001817485,4.073384762
-0.001869518,4.138617516
-0.0019198,4.201714993
-0.001948994,4.262481213
-0.002018204,4.329642296
-0.002064443,4.391443253
-0.0020823100000000004,4.458604336
-0.0021642590000000004,4.522306919
-0.0022444300000000004,4.586287022
-0.002302049,4.651641369
-0.0023418730000000004,4.712716579
-0.002401219,4.777756214
-0.0024535110000000002,4.839090824
-0.0025397690000000003,4.900599957
-0.002619735,4.957508087
-0.00270613,5.020676613
-0.0027706130000000003,5.078312874
-0.002895874,5.139013767
-0.0029602630000000003,5.19594717
-0.003022517,5.253438473
-0.003114688,5.311882496
-0.0032098030000000002,5.37117672
-0.003343178,5.43034935
-0.0034278280000000004,5.487469673
-0.0035141520000000004,5.539892197
-0.003632681,5.598074436
-0.0037355440000000004,5.653863907
-0.0038435210000000004,5.707398891
-0.003933825,5.760076046
-0.004062617,5.815649509
-0.004171094,5.871514797
-0.004256486,5.923719406
-0.004382887,5.975765705
-0.004545782,6.028900623
-0.004705666,6.080301285
-0.004857944,6.131970882
-0.004983784,6.179688931
-0.005142079,6.227182865
-0.005255051,6.275346279
-0.005374594,6.323856354
-0.005521598,6.369505405
-0.005682166,6.418818951
-0.005796146,6.464985847
-0.0059775620000000005,6.507239819
-0.0061248100000000005,6.555222034
-0.006296121,6.595586777
-0.006405463,6.639980793
-0.006524841,6.682030678
-0.006655869,6.729139328
-0.006787069000000001,6.772866726
-0.006969602,6.818201065
-0.007157877,6.857662678
-0.007292461,6.903990746
-0.007457888,6.947333336
-0.007646252,6.987782955
-0.0077801170000000005,7.029599667
-0.007963049,7.070931435
-0.008157642,7.106245518
-0.008360668,7.140407562
-0.008594453,7.171698093
-0.008794349,7.202644348
-0.009004751,7.229447842
-0.009213283999999999,7.25776577
-0.009439233,7.281021118
-0.009761751999999999,7.306380749
-0.010097117999999999,7.324862957
-0.010372926,7.334980488
-0.010655399,7.349345207
-0.010906625999999999,7.366053581
-0.011187255,7.382012367
-0.011470922,7.394375324
-0.011723224999999999,7.406712055
-0.011988275,7.423889637
-0.012319169999999999,7.437730312
-0.012580295,7.453224182
-0.012965583,7.460750103
-0.013555432,7.465719223
-0.014019651,7.463718891
-0.014351728,7.462456703
-0.014658178,7.467689514
-0.014942328,7.482373714
-0.015271657999999999,7.498698711
-0.015559901,7.516042709
-0.015928396,7.527828217
-0.016351336,7.543750763
-0.016769876,7.549847126
-0.01727592,7.557650566
-0.017773043,7.556572914
-0.018317192,7.561967373
-0.018744576,7.557253361
-0.019122158,7.560958862
