Radial elongation [mm],Load [kN]
0.0,0.000110703
2.592800000000839e-05,-0.002359722
1.5138999999997349e-05,0.002889989
-4.237899999998129e-05,0.007956052
-3.260399999999164e-05,0.017265629
-4.670000000001062e-05,0.030081447
-4.8547999999981606e-05,0.041080609
-7.429700000000095e-05,0.054721799
-7.116800000001033e-05,0.067547828
-8.460900000001326e-05,0.081997827
-9.191100000000008e-05,0.09525232
-0.00010013599999997291,0.109628096
-0.00012588499999999225,0.124178544
-9.220900000000976e-05,0.134346336
-0.00013616699999996484,0.151677102
-0.00014367700000000871,0.164070517
-0.00014218700000001583,0.178308591
-0.000171541999999969,0.193943739
-0.0001657310000000023,0.20622386
-0.00020384800000000647,0.217936546
-0.0002009270000000174,0.230833873
-0.00021976299999998394,0.242477879
-0.0002242920000000148,0.257031262
-0.00025203800000001,0.271591097
-0.00027293000000000456,0.286403269
-0.0002804399999999929,0.296819538
-0.0002985899999999875,0.310236663
-0.00026330399999996423,0.321074188
-0.0003215970000000068,0.334992796
-0.0003089310000000123,0.350013345
-0.00032329599999997294,0.361276835
-0.0003155469999999716,0.372771233
-0.00033474000000000004,0.384041846
-0.00034549899999997136,0.397500366
-0.0003580449999999735,0.413972616
-0.0003728269999999645,0.425961286
-0.0003789959999999648,0.435224354
-0.0004063549999999694,0.448551297
-0.0003969079999999736,0.463691175
-0.000412941,0.477254033
-0.000405311999999991,0.487855881
-0.00044384599999997,0.500680327
-0.000447749999999969,0.513096571
-0.00046700299999996586,0.525156379
-0.00046160800000000224,0.53739804
-0.0005023479999999858,0.550171793
-0.0004979669999999881,0.559802592
-0.0004907849999999936,0.573420286
-0.0005161759999999793,0.586264729
-0.0005326569999999919,0.602286816
-0.0005482139999999913,0.616411209
-0.0005528329999999748,0.625126243
-0.000563472999999981,0.638752997
-0.0005730989999999658,0.649560571
-0.0006059110000000145,0.664855242
-0.0005662439999999935,0.676727772
-0.0005868969999999751,0.690602064
-0.0006105899999999664,0.704692602
-0.0006007550000000084,0.71568048
-0.0006749930000000126,0.732474983
-0.0006433730000000026,0.745414317
-0.0006816089999999719,0.754595339
-0.0006992219999999993,0.765471518
-0.0007179379999999735,0.778983057
-0.0007157329999999962,0.792307854
-0.0007387999999999839,0.804197609
-0.00072076900000001,0.8183254
-0.0007416610000000046,0.830304861
-0.0007229750000000146,0.841319263
-0.0007478300000000049,0.852668762
-0.0007663969999999742,0.87124908
-0.0007402300000000084,0.880171895
-0.0008035899999999652,0.894354284
-0.0007806120000000139,0.906685889
-0.0007818940000000052,0.917728007
-0.0007868709999999668,0.930517852
-0.0007962589999999659,0.945788741
-0.0008036499999999891,0.958629906
-0.0008179849999999655,0.972439885
-0.0008179849999999655,0.984547794
-0.0008091929999999858,0.993763328
-0.0008403060000000129,1.006987572
-0.0008462369999999719,1.020058751
-0.0008370280000000174,1.032985687
-0.0008688270000000164,1.046329737
-0.0008602139999999703,1.057297826
-0.0008760389999999951,1.070727944
-0.0008665919999999994,1.085332632
-0.0009037849999999903,1.097123384
-0.0008818509999999891,1.108336091
-0.00089088100000001,1.126074672
-0.000923365999999981,1.135038257
-0.0009341840000000046,1.148696423
-0.0009156770000000036,1.161101103
-0.0009243789999999752,1.172211885
-0.0009375809999999651,1.18494761
-0.000924288999999967,1.201309681
-0.0009621979999999697,1.212238073
-0.0009438989999999703,1.227886915
-0.0009464029999999846,1.240474105
-0.0009883639999999638,1.253509998
-0.0009864569999999961,1.269314647
-0.0009574299999999814,1.280353665
-0.0009866359999999852,1.292946577
-0.0009631809999999796,1.304100156
-0.0010302070000000052,1.315914989
-0.0010035929999999693,1.333563685
-0.0010372399999999948,1.344468355
-0.000983536000000007,1.355611801
-0.0010440949999999671,1.368096471
-0.0010624529999999632,1.384424448
-0.0010536019999999868,1.39708519
-0.0010728239999999722,1.408308744
-0.0010763709999999649,1.423409343
-0.0010541679999999665,1.435608149
-0.001114815999999963,1.451722622
-0.0010990799999999745,1.463015318
-0.0011059350000000023,1.476444602
-0.0011186599999999935,1.488827109
-0.001105159999999994,1.497183561
-0.0011306110000000036,1.512389183
-0.0011416380000000004,1.526576757
-0.0011398499999999978,1.53847599
-0.0011623209999999662,1.551456451
-0.0011591320000000072,1.565769792
-0.0011446479999999704,1.579902291
-0.0011453630000000103,1.590420127
-0.0011894699999999703,1.606609941
-0.0011766850000000106,1.61654532
-0.0012110180000000081,1.630241871
-0.0011810660000000084,1.644415259
-0.0011810660000000084,1.659488916
-0.0012093489999999707,1.672393918
-0.0011864010000000036,1.682427406
-0.001203387999999972,1.696144819
-0.001208604000000002,1.709281564
-0.0012370649999999817,1.722823739
-0.0012257399999999752,1.735315561
-0.0012640359999999684,1.747847676
-0.0012494329999999665,1.758004427
-0.0012823639999999803,1.773035049
-0.0012532180000000004,1.786636472
-0.001296193000000001,1.799873829
-0.001294613,1.811199546
-0.0012882650000000107,1.826135159
-0.0013045369999999945,1.841861486
-0.0013269779999999787,1.851468086
-0.0013061759999999922,1.868328333
-0.001348167999999983,1.879899979
-0.0013446810000000142,1.894707203
-0.0013397039999999971,1.905408978
-0.0013563930000000113,1.921030164
-0.0013878049999999642,1.933481812
-0.0013736189999999926,1.944555759
-0.0014003220000000094,1.957827091
-0.0013948979999999778,1.97285974
-0.0013939739999999645,1.98504734
-0.0014125110000000052,1.998167753
-0.0014474099999999823,2.011208534
-0.0014243429999999946,2.026232481
-0.0014699699999999871,2.035855532
-0.0014247599999999694,2.049534559
-0.0014452340000000174,2.063750744
-0.0014435949999999642,2.07938838
-0.0014402270000000161,2.09421587
-0.0014702679999999968,2.105532885
-0.0014838279999999648,2.11366868
-0.0015006369999999714,2.129925251
-0.0015081169999999755,2.141201973
-0.0014920829999999774,2.157594204
-0.0015397369999999855,2.168021917
-0.0015157160000000003,2.181230307
-0.0015023650000000055,2.190338373
-0.0015319890000000114,2.206372023
-0.0015411080000000132,2.222735882
-0.0015199189999999807,2.233105183
-0.0015254619999999774,2.246851444
-0.0015333889999999961,2.260893583
-0.001576900999999964,2.273962498
-0.001552909999999963,2.286054373
-0.0015778539999999897,2.297608137
-0.0015960640000000081,2.315224648
-0.001624554999999972,2.327381611
-0.0015988349999999651,2.342824221
-0.0016063159999999965,2.356280804
-0.001607685999999997,2.367738724
-0.0016175210000000106,2.382683039
-0.0016214250000000097,2.393996477
-0.0016427639999999633,2.406257391
-0.0016575460000000097,2.419956446
-0.0016521809999999748,2.430541515
-0.001641750999999969,2.446017742
-0.001663148999999975,2.458462
-0.0016500059999999817,2.472420216
-0.0016977489999999706,2.484144688
-0.0016895829999999945,2.499784231
-0.0016911929999999797,2.516051054
-0.0017108619999999797,2.529457331
-0.0016700929999999836,2.539689064
-0.0016855599999999749,2.550072908
-0.0017391449999999975,2.565802574
-0.0017064509999999977,2.580491304
-0.0017491880000000126,2.594286442
-0.0017258230000000152,2.604671478
-0.0017657279999999664,2.616333961
-0.001780956999999972,2.630316496
-0.0017694830000000161,2.644364119
-0.0017761889999999836,2.655734777
-0.0017822389999999633,2.669883966
-0.0017964540000000029,2.680996895
-0.001815497999999971,2.692960739
-0.0018270019999999665,2.708464622
-0.0018252730000000161,2.721836329
-0.001825540999999986,2.734321117
-0.001820474999999988,2.750719309
-0.001837641000000001,2.762887716
-0.0018455980000000038,2.777092218
-0.0018847879999999706,2.789124966
-0.0018837159999999797,2.799242735
-0.0018613940000000162,2.811468601
-0.0018475649999999955,2.825972319
-0.0019112530000000016,2.839292765
-0.0018995410000000046,2.853824615
-0.0019128319999999754,2.86530304
-0.0018993019999999916,2.879188776
-0.001940072000000015,2.893012047
-0.0019206410000000007,2.904654264
-0.0019436479999999645,2.917915583
-0.001931875999999999,2.930875301
-0.001966238000000009,2.94503212
-0.0019370019999999655,2.958282471
-0.001953243999999965,2.967068911
-0.001985430999999982,2.981060028
-0.001968264999999969,2.99344945
-0.0019690099999999933,3.007631779
-0.0020115679999999636,3.020494461
-0.002004504000000018,3.036674023
-0.002026468999999975,3.04810214
-0.0020231310000000113,3.062935114
-0.0020348129999999687,3.074045897
-0.002030254000000009,3.087436914
-0.0020306409999999997,3.102170944
-0.002022146999999974,3.11439991
-0.002050220999999963,3.126636028
-0.0020854770000000022,3.137767553
-0.0020813650000000017,3.152415752
-0.002059639000000002,3.163887978
-0.0020830929999999803,3.177718163
-0.0020962359999999736,3.190265656
-0.0020826760000000055,3.19781518
-0.0021144149999999806,3.214525938
-0.002125233999999976,3.22687006
-0.0021345620000000065,3.238192081
-0.0021477939999999807,3.254343987
-0.002176940999999988,3.26800704
-0.002164005999999996,3.282444715
-0.002148717999999994,3.293319225
-0.0021794139999999906,3.305061579
-0.002205848999999982,3.319511175
-0.002192556999999984,3.333317757
-0.002240032000000003,3.345469952
-0.002239197999999998,3.361123562
-0.0022272170000000036,3.370631695
-0.0022798479999999732,3.387203693
-0.002277910999999966,3.399767876
-0.0022765699999999778,3.413537025
-0.0023115879999999756,3.427130222
