Radial elongation [mm],Load [kN]
0.0,0.542857409
-1.1683000000040078e-05,0.544383347
-1.0282000000028102e-05,0.542602837
-4.428700000003172e-05,0.546190321
-3.665700000005101e-05,0.556177855
-5.361500000000685e-05,0.568929553
-9.39370000000439e-05,0.583585978
-9.253700000000364e-05,0.598194957
-0.0001232630000000401,0.611965239
-0.0001378360000000023,0.626373947
-0.0001756850000000365,0.639739096
-0.0001546740000000213,0.650177538
-0.00020402700000005103,0.66755724
-0.00019583100000003517,0.684550345
-0.00020563600000000903,0.692583859
-0.00025639000000005074,0.708875239
-0.00027215500000005166,0.719172359
-0.00026458500000003937,0.731416881
-0.0003001690000000168,0.74627316
-0.0003165900000000055,0.757315457
-0.00033280300000004814,0.773945868
-0.00034895600000001137,0.786641121
-0.00036567500000000974,0.801702499
-0.000365198000000011,0.813003242
-0.0004080240000000068,0.82666862
-0.0004211970000000398,0.837445199
-0.0004320150000000078,0.852560103
-0.000459493000000033,0.866589904
-0.00046467800000005166,0.879613936
-0.0004613400000000323,0.889334202
-0.0005011860000000423,0.904160798
-0.0005091130000000055,0.915718615
-0.000553996000000001,0.933172762
-0.0005138520000000368,0.946089327
-0.0005452040000000213,0.958880126
-0.0005945270000000114,0.971516728
-0.0005940500000000126,0.984965801
-0.0006056730000000288,0.996231377
-0.0006114550000000385,1.011183858
-0.0006456970000000006,1.020302892
-0.0006530290000000272,1.031754971
-0.000682235000000031,1.045206308
-0.0006919210000000398,1.061855555
-0.0007217830000000314,1.073677301
-0.000716597000000041,1.091009855
-0.000752539000000052,1.101036787
-0.0007435390000000153,1.114766121
-0.0007797480000000245,1.128719211
-0.0007777520000000204,1.13988018
-0.0008226640000000285,1.151692629
-0.0008222460000000265,1.167495847
-0.0008157200000000198,1.178480148
-0.0008623600000000065,1.192738891
-0.0008627480000000243,1.206099033
-0.0008835500000000107,1.222043514
-0.0009158850000000052,1.234112144
-0.0009200580000000014,1.249523878
-0.0009437510000000482,1.260269761
-0.000970483000000022,1.272637129
-0.0009724800000000533,1.285111666
-0.0010316970000000536,1.302856445
-0.0010178090000000362,1.312757969
-0.0010109850000000198,1.324200511
-0.0010215940000000145,1.338379145
-0.001053989000000033,1.352210641
-0.0010766390000000459,1.366161346
-0.001063466000000013,1.379546404
-0.0011279590000000117,1.3928442
-0.0011280780000000323,1.40575242
-0.0011209850000000188,1.419793367
-0.0011436050000000475,1.42947638
-0.001162202000000001,1.442644715
-0.0011806190000000494,1.457822323
-0.0012159950000000253,1.468317389
-0.0012028220000000478,1.483268857
-0.0012102130000000155,1.498057604
-0.0012175150000000023,1.50725019
-0.0012137000000000397,1.519688249
-0.001218975000000011,1.535134077
-0.00122934600000002,1.549672008
-0.0012685660000000265,1.56337893
-0.0012713080000000265,1.575983047
-0.0013114520000000462,1.588364124
-0.001333118000000022,1.599341631
-0.0013605960000000472,1.613287926
-0.0013721890000000236,1.625160217
-0.0013460820000000262,1.640478134
-0.0013861060000000536,1.650597453
-0.0014029750000000285,1.6640172
-0.0013915010000000172,1.677172065
-0.001389802000000051,1.690924764
-0.0013981760000000287,1.706826448
-0.0013997260000000455,1.718211532
-0.0013991300000000262,1.73399508
-0.0014039280000000542,1.743817329
-0.001413554000000039,1.753967166
-0.0014040770000000036,1.768881202
-0.0014185910000000246,1.784050345
-0.0014007100000000272,1.796110034
-0.0014462470000000116,1.808246017
-0.001439572,1.823181033
-0.001416296000000039,1.836136818
-0.001392454000000043,1.846219182
-0.0014223460000000188,1.861854553
-0.0013939440000000358,1.874144197
-0.0013855700000000026,1.884386897
-0.0013874470000000416,1.903309107
-0.0013788350000000227,1.913869858
-0.0014082200000000156,1.926299572
-0.0013832160000000204,1.93926692
-0.0013779110000000094,1.95592761
-0.0014150150000000195,1.968096972
-0.0014061340000000033,1.979722023
-0.0014376940000000449,1.991677284
-0.0014373070000000543,2.005517244
-0.0014193960000000172,2.020472288
-0.0014209150000000226,2.031583309
-0.0014359660000000107,2.04622674
-0.001408309000000052,2.058608532
-0.0014476780000000078,2.068791628
-0.001426340000000026,2.085375547
-0.0014596880000000145,2.09658885
-0.0014463070000000355,2.108202934
-0.0014763780000000004,2.124747992
-0.001491011000000042,2.136494875
-0.0015008750000000126,2.153062105
-0.00149262,2.16493845
-0.0014893120000000204,2.176219702
-0.0015100840000000226,2.190818548
-0.0015033490000000427,2.201726437
-0.0015040940000000114,2.216492891
-0.00154364100000004,2.227537394
-0.0015743080000000242,2.241326094
-0.0015601220000000526,2.251886845
-0.0015420620000000107,2.266866684
-0.001589328000000001,2.282078981
-0.0015846790000000333,2.293951035
-0.0015801200000000182,2.306884527
-0.0015988060000000082,2.322139502
-0.001638025000000043,2.332683563
-0.001624287000000002,2.346739769
-0.0016332570000000546,2.359935284
-0.0016152270000000524,2.372400761
-0.0016294720000000207,2.383908749
-0.00163829400000004,2.397142172
-0.0016464000000000478,2.412088633
-0.0016377870000000017,2.421820402
-0.0016578440000000194,2.436993599
-0.0016519730000000288,2.450835943
-0.0016602280000000413,2.461116314
-0.0016518830000000206,2.475701809
-0.0017039180000000265,2.485731602
-0.0017001930000000165,2.501034975
-0.0017201900000000103,2.514623642
-0.0017135450000000385,2.529085875
-0.0017376550000000046,2.541596413
-0.0017346150000000504,2.553815603
-0.0017503500000000116,2.563605785
-0.0017571150000000313,2.579154253
-0.0018075710000000078,2.591555119
-0.0018163330000000033,2.603188515
-0.0018095970000000516,2.617392302
-0.001786888000000042,2.62934351
-0.001819194000000024,2.644121885
