Radial elongation [mm],Load [kN]
0.0,0.000569316
-1.0500000000000001e-05,7.54e-05
-7.8e-06,-0.001031555
-1.81e-05,0.002308497
-3.6999999999999985e-06,0.014390909
4.1800000000000006e-05,0.073561959
0.000142681,0.155401155
0.00035121800000000004,0.258434027
0.0005272629999999999,0.365709454
0.0007460559999999999,0.492197752
0.0009463239999999999,0.6072523
0.001090294,0.726525187
0.00112543,0.836081803
0.001003758,0.948180377
0.000913236,1.050130844
0.000807171,1.147832036
0.000708545,1.24031508
0.0006448469999999999,1.335488319
0.0005680339999999999,1.435737014
0.0005405589999999999,1.540298581
0.0006036489999999999,1.637557626
0.000740484,1.736254096
0.000767833,1.83524704
0.000766552,1.935967088
0.000805368,2.034861326
0.000807682,2.135051489
0.000801843,2.233370066
0.000813294,2.332756281
0.000789599,2.42852211
0.000797002,2.525821924
0.000772915,2.624796152
0.0007268929999999999,2.720756292
0.000717967,2.81813097
0.000702624,2.91784215
0.000683288,3.016743183
0.0006685489999999999,3.114541054
0.000625702,3.207425594
0.000615364,3.3093009
0.0006328449999999999,3.408298016
0.000590942,3.504559517
0.000530753,3.598199368
0.00050121,3.701353312
0.00046210500000000004,3.793243647
0.000416089,3.895143986
0.00036244600000000005,3.988989353
0.000352958,4.090574741
0.00031198200000000004,4.18570137
0.000238327,4.288216591
0.00024318599999999997,4.384025574
0.000172389,4.481677055
0.000170295,4.580985069
8.2784e-05,4.674791336
4.8000000000000015e-06,4.771469593
-4.3299999999999995e-05,4.870714188
-0.00011410000000000001,4.968105316
-0.000170659,5.066977978
-0.000262973,5.163580894
-0.000360859,5.25557375
-0.000413749,5.349931717
-0.000494965,5.445816994
-0.000559631,5.541689396
-0.000636277,5.629463196
-0.000708713,5.719186306
-0.0007978330000000001,5.815419197
-0.00084802,5.903701782
-0.0008906280000000001,5.99580431
-0.00097515,6.08124733
-0.0010772260000000001,6.167115211
-0.001166843,6.250279903
-0.001233271,6.334677219
-0.001361747,6.410382271
-0.001433735,6.49076128
-0.00150164,6.564903259
-0.001650438,6.641477108
-0.001671584,6.713857651
-0.001786258,6.787816525
-0.001948015,6.85822916
-0.002100659,6.920089245
-0.0022174839999999996,6.982573509
-0.0023162229999999996,7.044935703
-0.002462915,7.108912945
-0.0025910219999999997,7.169297695
-0.0027580779999999997,7.227992058
-0.0028909919999999998,7.289457798
-0.003093326,7.3475914
-0.0032806209999999996,7.406395912
-0.003467811,7.46144104
-0.0036473649999999996,7.5160532
-0.003851504,7.56880331
-0.004072897,7.619285107
-0.00426179,7.67085886
-0.004495214,7.720550537
-0.0046476339999999994,7.769080162
-0.004869955,7.815594673
-0.004998157,7.857999802
-0.00517359,7.900482655
-0.00539727,7.937728405
-0.005572471,7.976510525
-0.005757908999999999,8.005976677
-0.005895101,8.038096428
-0.006053897999999999,8.068506241
-0.006285458,8.095991135
-0.006422026,8.124774933
-0.006617194,8.149941444
-0.0068565909999999996,8.179941177
-0.007034271,8.203385353
-0.007271113,8.23525238
-0.007481463,8.266925812
-0.0076917949999999995,8.291083336
-0.007908459000000001,8.317759514
-0.008121885,8.346141815
-0.008373068000000001,8.368499756
-0.008642111000000001,8.386590958
-0.008891571000000001,8.408698082
-0.009210994,8.4193573
-0.009601369,8.425017357
-0.010228714,8.412211418
-0.010902003,8.38831234
-0.011502463000000001,8.357154846
-0.011978034,8.332630157
-0.012340601000000001,8.304443359
-0.012599448000000001,8.283041
-0.01279359,8.26817894
-0.013001689,8.254713058
-0.013087411,8.254302979
-0.013250436,8.275359154
-0.013468820000000001,8.31289959
-0.013732038,8.349884987
-0.014044208,8.380730629
-0.014374781000000001,8.403663635
-0.014733731,8.419332504
-0.015089733000000001,8.427242279
-0.01543595,8.434335709
-0.01578223,8.440343857
-0.016072007,8.446324348
-0.016382342,8.451034546
-0.016669214,8.453989983
-0.016938655,8.467179298
-0.017218495,8.475029945
-0.017495621,8.482868195
-0.017767901,8.495371819
-0.018041441000000002,8.50617981
-0.018347528000000002,8.518429756
-0.018645085000000002,8.526833534
-0.018948652,8.536448479
-0.019231971,8.54544735
-0.019531798,8.558294296
-0.019846721,8.569730759
-0.020145185,8.576601028
-0.020391203,8.585439682
-0.020686084,8.598340988
-0.020997414,8.612527847
-0.021281585000000002,8.619970322
-0.021571193000000002,8.630459785
-0.021861903000000002,8.640444756
-0.022145918,8.648898125
-0.022449642000000002,8.659328461
-0.02270907,8.668925285
-0.022978328,8.678415298
-0.023305096,8.683755875
-0.023556134,8.697527885
-0.023862975,8.708950996
-0.024133101,8.718776703
-0.024428265,8.730028152
-0.024693372,8.740299225
-0.02497636,8.750863075
-0.025295705,8.765183449
-0.025557032,8.771850586
-0.025848666,8.784293175
-0.026103839,8.795864105
-0.026392091,8.808015823
-0.026686301,8.817710876
-0.026950099,8.825876236
-0.027237104,8.833654404
-0.027519371,8.846100807
-0.027791567,8.856190681
-0.028035192,8.86712265
-0.028334631,8.876752853
-0.028588118,8.890280724
-0.028843679,8.904651642
-0.029164933,8.913062096
-0.029396916000000002,8.923994064
-0.029673543,8.933514595
-0.029936429,8.944501877
-0.030236505,8.952729225
-0.030482663,8.963682175
-0.030782497000000002,8.975631714
-0.031023929000000002,8.985414505
-0.031311244,8.994648933
-0.031545628,9.007686615
-0.031839691,9.015594482
-0.032087427,9.023321152
-0.03234303,9.035870552
-0.032586679,9.047719002
-0.032885745,9.057723045
-0.033163972,9.067931175
-0.033413123,9.074666023
-0.033678979,9.084569931
-0.033933412,9.09673214
-0.034186706,9.105195045
-0.034459092000000004,9.111649513
-0.034694672,9.124513626
-0.034965549,9.139764786
-0.035232544,9.14470768
-0.035488646,9.153687477
-0.035740253,9.160409927
-0.035987299,9.170113564
-0.036270171000000004,9.184171677
-0.036547031,9.193612099
-0.036808398,9.204275131
-0.037043829,9.210400581
-0.037317548,9.220009804
-0.037550312,9.230924606
-0.037801918000000004,9.242447853
-0.038056836000000004,9.251361847
-0.038311213000000004,9.260089874
-0.038573388,9.268328667
-0.038840551,9.277673721
-0.039107312,9.287247658
-0.039352719,9.296165466
-0.039601803,9.303441048
-0.039886467,9.313814163
-0.04013041,9.325248718
-0.040348582,9.332573891
-0.040630277,9.340691566
-0.040873293,9.348321915
-0.041116688,9.358110428
-0.041359853,9.370779037
-0.041615691,9.377484322
-0.041869927,9.387183189
-0.042133801,9.392881393
-0.042345997,9.403911591
-0.042603590000000004,9.417894363
-0.042886492,9.426836967
-0.043113191,9.433913231
-0.04337405,9.444531441
-0.043592565,9.453439713
-0.043859206,9.464874268
-0.044083752000000004,9.47115612
-0.044327266000000004,9.478498459
-0.044584494,9.483675957
-0.044812724,9.494569778
-0.045085654,9.505973816
-0.045297239,9.514276505
-0.045509838000000004,9.522324562
-0.045801122,9.529535294
-0.045993254,9.538125038
-0.04623853,9.55075264
-0.046507504,9.560873032
-0.046725046,9.56356144
-0.046979256000000004,9.571058273
-0.047201585,9.580824852
-0.047445714,9.592315674
-0.047678586,9.599610329
-0.047903214,9.606967926
-0.048168551000000004,9.617329597
-0.048381176,9.623652458
-0.048615575,9.632410049
-0.048887797000000004,9.640497208
-0.049096774,9.646565437
-0.049345523,9.653458595
-0.049567185,9.663850784
-0.049782868,9.674993515
-0.050035942,9.684051514
-0.050279524,9.690561295
-0.050488714000000004,9.699678421
-0.050710544,9.706973076
-0.050988022,9.715616226
-0.051204946,9.72306633
-0.051473733,9.729258537
-0.051680330000000003,9.736528397
-0.051941968,9.744724274
-0.052154455,9.751325607
-0.052393787,9.76031208
-0.052625533,9.768814087
-0.0528538,9.774950981
-0.053074699,9.785628319
-0.053286254,9.793305397
-0.053562164,9.802803993
-0.053804725,9.811382294
-0.054014817,9.818977356
-0.054250922,9.823357582
-0.054500692,9.835414886
-0.054736696,9.843137741
-0.054958351,9.847285271
-0.055211555,9.854665756
-0.055454284,9.862220764
-0.055663921,9.875685692
-0.055928938,9.88184166
-0.056115277,9.886483192
-0.056372117,9.894059181
-0.056594521,9.900281906
-0.056819715,9.90995121
-0.05708731,9.917791367
-0.057328131,9.925835609
-0.057550885,9.93262291
-0.057782006000000004,9.937783241
-0.057967838,9.944172859
-0.058231983,9.95375824
-0.058468141,9.962594986
-0.058699269,9.97267437
-0.058909811,9.974919319
-0.059149787,9.987138748
-0.059378091,9.9952631
-0.059605371,9.998553276
-0.059838716,10.00509071
-0.060031187,10.0130434
-0.060228713,10.02304363
-0.06047976,10.03038788
-0.060702492000000004,10.03556919
-0.060934599,10.04169464
-0.061178837,10.05153179
-0.061406013,10.05841827
-0.061618935,10.06394482
-0.061829764,10.07131195
-0.062086809,10.07506847
-0.062289163,10.08351898
-0.06253418699999999,10.08992672
-0.062735323,10.09843445
-0.062979255,10.10398006
-0.06320307,10.11462021
-0.063441206,10.1202879
-0.063648682,10.12452984
-0.063875187,10.13419914
-0.064082857,10.14004135
-0.06429136199999999,10.1477375
-0.06451360499999999,10.15343475
-0.064740647,10.15967846
-0.064970527,10.1693697
-0.06519650299999999,10.17991352
-0.065386374,10.18406868
-0.06558619099999999,10.18973637
-0.06579541,10.19684696
-0.066000994,10.20339298
-0.066220116,10.21089077
-0.066432912,10.21364117
-0.066658203,10.22071075
-0.066823911,10.22724628
-0.067015406,10.23289585
-0.067259405,10.2401371
-0.067456137,10.24516773
-0.06767163799999999,10.25247097
-0.067884851,10.26226234
-0.068094771,10.26776218
-0.06827275799999999,10.27728462
-0.06852281499999999,10.28406811
-0.068719905,10.28818417
-0.068946619,10.29543209
-0.069154996,10.29942894
-0.06936250299999999,10.3057251
-0.069603238,10.31432629
-0.069792178,10.31758118
-0.070010621,10.32462597
-0.070246253,10.32548428
-0.070442434,10.33501625
-0.070643555,10.34198475
-0.07085990499999999,10.3524313
-0.07108068099999999,10.35595989
-0.07131602199999999,10.36285782
-0.07151184599999999,10.37058735
-0.071716275,10.37474251
-0.07196631699999999,10.38380146
-0.07220207499999999,10.39051819
-0.07241751599999999,10.39535809
-0.07264428199999999,10.40295029
-0.07287559299999999,10.40695381
-0.07308888799999999,10.41524792
-0.073348206,10.42148781
-0.07354957999999999,10.42380142
-0.073766317,10.42983437
-0.07395421299999999,10.4347887
-0.07417877399999999,10.44417572
-0.07437955199999999,10.44858074
-0.07459505999999999,10.45285892
-0.07480343099999999,10.46066856
-0.07499842,10.47054386
-0.07522892599999999,10.47789383
-0.07545772599999999,10.48503017
-0.075659495,10.48969746
-0.075864825,10.49236012
-0.07608954999999999,10.50032234
-0.07630812699999999,10.50659657
-0.07651285499999999,10.50992012
-0.076735709,10.5149107
-0.07691121499999999,10.51935768
-0.07711998699999999,10.52221394
-0.07732412599999999,10.53154278
-0.077576753,10.53940964
-0.07778627099999999,10.54351234
-0.077950809,10.54512024
-0.078176688,10.55090714
-0.078353468,10.5645895
-0.07863643399999999,10.56645393
-0.078842659,10.57299709
-0.07907181599999999,10.57862186
-0.079239827,10.58243942
-0.079455268,10.58522224
-0.079669569,10.593894
-0.07985175,10.59844112
-0.080054354,10.60817337
-0.080248978,10.61103249
-0.08047542299999999,10.61845398
-0.08069165399999999,10.6242094
-0.080915276,10.63267326
-0.08114099899999999,10.63551426
-0.08135243099999999,10.6383543
-0.08152781099999999,10.64462376
-0.081764836,10.64688778
-0.081973489,10.65407658
-0.08219318499999999,10.66234779
-0.082392592,10.66688824
-0.082624961,10.67311192
-0.082791198,10.67372036
-0.083015617,10.68051529
-0.083212044,10.68635368
-0.083430123,10.69582748
-0.08360224599999999,10.69917297
-0.08381971299999999,10.70050716
-0.084014278,10.70568371
-0.08420351499999999,10.71179581
-0.084428985,10.71765995
-0.08461914599999999,10.72143173
-0.084829409,10.72503853
-0.085032705,10.73049641
-0.08522189799999999,10.73534679
-0.085410777,10.74330902
-0.08564182,10.74967194
-0.08582259299999999,10.75799847
-0.08604363699999999,10.75918198
-0.086221356,10.76263618
-0.08643994099999999,10.77268219
-0.08661614,10.77539253
-0.08683335399999999,10.78001118
-0.08704185099999999,10.78440762
