Radial elongation [mm],Load [kN]
0.0,0.001981745
2.0600000000000003e-05,-0.00261365
4.241e-05,-0.002528756
-8.299999999999998e-06,-0.001945591
2.4400000000000004e-05,-0.00111737
-1.75e-05,-0.003040788
-6.599999999999998e-06,-0.002469454
-1.48e-05,-0.002696236
-1.1999999999999953e-06,-0.002150237
-5.3299999999999995e-05,0.095645778
-0.00016005700000000002,0.251850575
-0.00030792600000000003,0.4478091
-0.00037406500000000003,0.649149299
-0.00027458800000000003,0.830122054
-0.00023687600000000001,0.988674581
-0.000273735,1.131673574
-0.000315175,1.269226789
-0.00029636100000000003,1.397591472
-0.00038268300000000004,1.518044472
-0.00040837400000000003,1.630971193
-0.000497939,1.745500207
-0.000502421,1.85274291
-0.0005428099999999999,1.961152434
-0.0006077319999999999,2.06862092
-0.000648466,2.176315069
-0.000716551,2.280055761
-0.000807303,2.386699677
-0.0008516859999999999,2.48717308
-0.000912538,2.590574026
-0.0009583299999999999,2.692118168
-0.001030683,2.796895981
-0.001022826,2.901011705
-0.001159364,3.000211716
-0.001214994,3.106650829
-0.00128007,3.215895414
-0.001359035,3.31963253
-0.0014191289999999999,3.423089027
-0.00151062,3.526346445
-0.001559223,3.634472132
-0.001668267,3.74164319
-0.0017188849999999999,3.849537849
-0.001840372,3.955684185
-0.001971222,4.066641808
-0.002075353,4.17357111
-0.002200964,4.280796051
-0.002341124,4.38491869
-0.002473052,4.487749577
-0.002553264,4.594798565
-0.002637497,4.694002151
-0.002758734,4.794310093
-0.002867221,4.902435303
-0.002917206,5.008002281
-0.003008469,5.112965107
-0.003128891,5.215638638
-0.003247068,5.316851616
-0.003386478,5.417527676
-0.003539668,5.511312008
-0.003647407,5.611800671
-0.003749633,5.709581852
-0.003867012,5.807568073
-0.003990663,5.907981396
-0.004130468,6.003839493
-0.004254249,6.096251488
-0.004379843,6.190738678
-0.004573738,6.288378716
-0.00472968,6.379971504
-0.0048997599999999995,6.470678329
-0.005062545,6.560472488
-0.005203606,6.647830963
-0.005348217,6.737991333
-0.0055367409999999995,6.828972816
-0.005707914,6.915049076
-0.005853673,7.000077248
-0.005990422,7.081420422
-0.006156199,7.168273926
-0.006299232,7.252037525
-0.006466617,7.336521149
-0.006600142,7.420315266
-0.006768077,7.503353596
-0.006945867,7.585060596
-0.0071598519999999995,7.665923119
-0.007344233,7.744804382
-0.0075254399999999996,7.82688427
-0.007693858,7.903935432
-0.007897925,7.980234623
-0.008071646,8.057377815
-0.008289835,8.133642197
-0.008502021,8.206682205
-0.008755711,8.281330109
-0.009026044,8.355447769
-0.009349148,8.427227974
-0.009739298,8.498472214
-0.010115172,8.565983772
-0.010419445,8.629874229
-0.010782677,8.693237305
-0.012000596,8.754102707
-0.012331199,8.812675476
-0.012587876,8.873307228
