Radial elongation [mm],Load [kN]
0.0,-0.021652063
-3.90156e-05,-0.02640152
-4.30607e-05,-0.020247895
-7.03668e-05,0.004879871
-0.0001137124,-0.000152402
-6.14455e-05,-0.001660083
-7.57897e-05,-0.001859848
-0.0001068981,-0.004247826
-4.5246999999999996e-05,0.003713205
-6.54653e-05,0.020190885
-7.610970000000001e-05,0.039618257
-8.25455e-05,0.057375725
-0.000104969,0.078255869
-0.0001435735,0.095811412
-0.0001200325,0.119107783
-0.0001656575,0.141338423
-0.0001664095,0.163188219
-0.0001737545,0.185345158
-0.0001802425,0.205819488
-0.0001748525,0.224092633
-0.0002312115,0.244204924
-0.0002354285,0.268220305
-0.0002664205,0.290716738
-0.0002454505,0.31117931
-0.00027556650000000005,0.329031706
-0.00026724750000000003,0.350103289
-0.0002567665,0.37082237
-0.0002937225,0.388210863
-0.0003097935,0.411370546
-0.00036333649999999997,0.433454722
-0.0003319315,0.455692202
-0.00036070350000000004,0.47222212
-0.0003418895,0.489412904
-0.0003939125,0.509753466
-0.0003625475,0.532751501
-0.0003726275,0.551911235
-0.0003787365,0.572486162
-0.00040033150000000003,0.592604399
-0.00044021450000000003,0.612244368
-0.00045380850000000005,0.631788433
-0.00047229849999999996,0.64958775
-0.00041254949999999996,0.669974685
-0.0004486005,0.695112169
-0.0004665655,0.710135341
-0.00044725449999999996,0.730973959
-0.0004939415,0.748731971
-0.0005035575,0.771499693
-0.0004798255,0.789085031
-0.0004937335,0.806107342
-0.0005106825,0.829152107
-0.0005147065,0.845653415
-0.0005592995,0.86726433
-0.0005669175000000001,0.886982739
-0.0005749565,0.901874781
-0.0005811295000000001,0.924140573
-0.0005786505000000001,0.942133963
-0.0005708765000000001,0.965541124
-0.0006019415,0.987864077
-0.0005895115,1.003719926
-0.0006331485,1.021154761
-0.0005966505000000001,1.041311383
-0.0006242495000000001,1.066596627
-0.0006465925,1.08267796
-0.0006149345,1.104123116
-0.0006365275000000001,1.124651909
-0.0006740585,1.144854665
-0.0006776285000000001,1.1637429
-0.0006466915,1.185160995
-0.0006959195,1.207712531
-0.0006891555000000001,1.226113439
-0.0007300415,1.244581103
-0.0006874535,1.261068225
-0.0007122915,1.278965116
-0.0007493065,1.298169136
-0.0007306145,1.31944859
-0.0007236485,1.340946198
-0.0007492175,1.358490825
-0.0007578375,1.378358603
-0.0007768305,1.399675965
-0.0007990185,1.419042826
-0.0007767205,1.440094709
-0.0008378205,1.460211754
-0.0008112595,1.482881784
-0.0008159415,1.499824405
-0.0008326905,1.521491647
-0.0008186375,1.539063215
-0.0008345055,1.556276917
-0.0008313155000000001,1.581380367
-0.0008492425,1.600041389
-0.0008675515,1.618209243
-0.0008696175,1.634408355
-0.0008718955,1.653293014
-0.0008878865,1.673617125
-0.0008938125000000001,1.693901658
-0.0009080705,1.716501832
-0.0009473515,1.736967683
-0.0009288915,1.757874012
-0.0009291605,1.775515199
-0.0009597075,1.795086503
-0.0009768055,1.81687212
-0.0009662855000000001,1.838605642
-0.0009837374999999999,1.859292984
-0.0009948264999999998,1.878425717
-0.0010092934999999998,1.898546815
-0.0009815675,1.918538332
-0.0010110305,1.938760281
-0.0010299324999999998,1.959676147
-0.0010154385,1.979447961
-0.0010453055,1.998552561
-0.0010420935,2.014549494
-0.0010698555,2.037775278
-0.0010472184999999999,2.056666613
-0.0010718135,2.074957371
-0.0010761445,2.096583366
-0.0010792325,2.116220236
-0.0010868915,2.137607813
-0.0010843315,2.156922102
-0.0011237335,2.173804522
-0.0011158454999999998,2.198642969
-0.0011495295,2.216650009
-0.0011257245,2.236648798
-0.0011431815,2.259449005
-0.0011476705,2.275283575
-0.0011841115,2.297966957
-0.0011682325,2.318191528
-0.0011899035,2.340990067
-0.0011952974999999998,2.359205246
-0.0011963145,2.375071287
-0.0012382695,2.395671129
-0.0012113515,2.41614747
-0.0012071814999999998,2.43796587
-0.0012183505,2.458553076
-0.0012247265,2.478459358
-0.0012299384999999998,2.496063948
-0.0012659515,2.518278122
-0.0012599414999999998,2.537823677
-0.0012628645,2.559950352
-0.0012477414999999999,2.578557491
-0.0012828145,2.59503603
-0.0012824745,2.618959427
-0.0013062484999999998,2.640169382
-0.0013226924999999998,2.655117273
-0.0013412335,2.676013947
-0.0013170414999999999,2.696942091
-0.0013389085,2.718798161
-0.0013309614999999998,2.734465837
-0.0013536334999999999,2.759135246
-0.0013331514999999998,2.77557373
-0.0013685944999999998,2.798339844
-0.0013706355,2.813654184
-0.0013850104999999998,2.833993673
-0.0013738745,2.852704287
-0.0013963005,2.875825644
-0.0014215615,2.897732735
-0.0014224955,2.918025494
-0.0014531404999999999,2.93441844
-0.0014673205,2.953662395
-0.0014864785,2.97094202
-0.0015060625,2.989515781
-0.0014641535,3.014436007
-0.0014768795,3.033558369
-0.0014758554999999998,3.053251505
-0.0014898894999999998,3.075002909
-0.0014995405,3.093519926
-0.0015327354999999999,3.113426447
-0.0015352915,3.132932425
-0.0015392205,3.153046131
-0.0015681764999999999,3.175554752
-0.0015724075,3.198783875
-0.0016043245,3.212317944
-0.0015907044999999998,3.232020378
-0.0015884945,3.252502441
-0.0016350255,3.272671461
-0.0016225505,3.294080257
-0.0016350625,3.314287663
-0.0016294155,3.333088875
-0.0016594914999999999,3.353785276
-0.0016527464999999998,3.372339725
-0.0016808374999999999,3.391799688
-0.0016760605,3.41476202
-0.0017192614999999999,3.433359385
-0.0017104325,3.450651646
-0.0017141824999999998,3.471106052
-0.0017088214999999999,3.491458416
-0.0017289274999999998,3.510627747
-0.0017461134999999998,3.529692888
-0.0017449375,3.548808098
-0.0017824205,3.570937395
-0.0017599924999999999,3.591812134
-0.0017772604999999999,3.60803175
-0.0017903745,3.630861282
-0.0017994414999999999,3.647356749
-0.0017869585,3.669839144
-0.0018089145,3.691173077
-0.0018044044999999999,3.710151911
-0.0018333565,3.731197357
-0.0018367655,3.748463392
-0.0018304414999999999,3.764734268
-0.0018327455,3.784137726
-0.0018968515,3.806040287
-0.0019095395,3.825872183
-0.0019100165,3.846472979
-0.0019003725,3.868581772
-0.0019020105,3.887084723
-0.0019030535,3.904877663
-0.0019415144999999998,3.925412416
-0.0019566535,3.941672802
-0.0019390415,3.963142395
-0.0019763795,3.982722282
-0.0019803395,4.000732422
-0.0019961555,4.018461227
-0.0020215045,4.039770603
-0.0019995905,4.057507992
-0.0020479235000000003,4.078532219
-0.0020494735,4.099491596
-0.0020505845,4.121574402
-0.0020603085,4.136234283
-0.0020907055,4.155400753
-0.0020763625,4.179056644
-0.0021145715,4.198206902
-0.0021232045000000002,4.2164855
-0.0021407865,4.233765125
-0.0021290975,4.254786015
-0.0021792425000000002,4.27645874
-0.0021689535,4.295713425
