Radial elongation [mm],Load [kN]
0.0,-0.000212268
1.403006e-05,-0.003008297
8.41631e-06,-0.002893756
-2.697702e-05,-0.004396749
-1.0257319999999999e-05,-0.002692253
-1.651712e-05,0.033907358
-8.126492000000001e-05,0.112943575
-0.00015153922,0.212434903
-0.00021954121999999998,0.320288926
-0.00028559822,0.423240066
-0.00035821422,0.531112611
-0.00042478022,0.630410373
-0.00045931722000000004,0.722991109
-0.0005186982199999999,0.819106698
-0.0005789912199999999,0.914524615
-0.00064805222,0.996388912
-0.00069643422,1.084922194
-0.00076185522,1.172195673
-0.0008255202199999999,1.254508376
-0.00086916422,1.336030126
-0.00090768122,1.419119596
-0.00096110622,1.504582047
-0.00101825622,1.583798528
-0.00103511622,1.667800784
-0.00110080622,1.75262022
-0.00113978722,1.834268332
-0.0012167252199999999,1.914753318
-0.00123420322,1.994448185
-0.00130458722,2.077144861
-0.0013401962199999999,2.159197807
-0.00139686322,2.238387823
-0.00145394322,2.317307711
-0.0015340342199999999,2.402447462
-0.0015604762199999999,2.485126019
-0.00160385622,2.572543144
-0.00166128722,2.656144619
-0.00167186022,2.741217375
-0.00176264122,2.8260355
-0.00178738922,2.910762787
-0.00185265822,2.9970119
-0.00188654822,3.083330154
-0.0019461372200000001,3.167124748
-0.00198479222,3.251150131
-0.00202970722,3.335974455
-0.00211099422,3.421109438
-0.00218323922,3.510265589
-0.00222000122,3.594362259
-0.00228536422,3.677797318
-0.00231323222,3.761493921
-0.00236665522,3.847129107
-0.00241313222,3.934780359
-0.00248093622,4.019446373
-0.00254654522,4.105906963
-0.00258255922,4.190942287
-0.00266856022,4.27000761
-0.00273497122,4.355242729
-0.0027590092199999998,4.437953472
-0.00281925522,4.519590855
-0.00288325022,4.604215145
-0.00295432522,4.685311794
-0.00297324122,4.763249397
-0.00306136522,4.84200716
-0.00312031522,4.922525406
-0.00320638922,5.003446579
-0.00328409522,5.081086636
-0.00335758722,5.155449867
-0.00342693722,5.238219738
-0.00349799722,5.312434196
-0.00355562222,5.390094757
-0.00364459522,5.45989275
-0.00375863822,5.53385973
-0.00379099722,5.603756905
-0.00389390522,5.67903471
-0.0039641552200000004,5.750491619
-0.004041268220000001,5.820310116
-0.00414194222,5.890890121
-0.004233992220000001,5.960196018
-0.004325285220000001,6.026756763
-0.00439864622,6.097342491
-0.00454032422,6.162764072
-0.00464280622,6.229364395
-0.0047880052200000005,6.294065475
-0.0048868622200000005,6.357998848
-0.005032783220000001,6.420746803
-0.00516150222,6.477540493
-0.00533490022,6.53455925
-0.005535971220000001,6.59308815
-0.005717682220000001,6.638553143
-0.005909953220000001,6.688191891
-0.00614578622,6.722800732
-0.00644723922,6.757261753
-0.00673992422,6.774047375
-0.007092111220000001,6.779016972
-0.00751326322,6.768362522
-0.00786941422,6.745425224
-0.00823035922,6.714536667
-0.008462136220000001,6.692115784
-0.008702345220000001,6.672461033
-0.00884710922,6.658473492
-0.008992781220000001,6.642166138
-0.00908730322,6.653178692
-0.00925964422,6.673803329
-0.009415042220000001,6.70432663
-0.00954702322,6.726507664
-0.00976654822,6.744450092
-0.00998347122,6.757568836
-0.01019465122,6.766611576
-0.01042746822,6.77036047
-0.01062673322,6.772310734
-0.01080898022,6.776379108
-0.01102781622,6.782369137
-0.01116862522,6.79041481
-0.01138629422,6.801981449
-0.011524038220000001,6.810880184
-0.01170642222,6.819760323
-0.01187245822,6.831044197
-0.01203773522,6.842664242
-0.01228045722,6.851637363
-0.01243825022,6.862371922
-0.01262242322,6.865643024
-0.01276909122,6.874694824
-0.01294658122,6.88510704
