Radial elongation [mm],Load [kN]
0.0,0.614107907
-1.7999999999999997e-05,0.66090101
-5.4499999999999997e-05,0.715190053
-5.2000000000000004e-05,0.768226624
-0.00014979499999999998,0.833677292
-0.000218256,0.895419836
-0.00024049200000000003,0.962922096
-0.000247852,1.03328371
-0.00022676100000000002,1.102092743
-0.00029035300000000003,1.174335361
-0.00032788,1.244462013
-0.000369611,1.313492417
-0.00035872700000000004,1.396930814
-0.000479971,1.481300116
-0.000419041,1.569400668
-0.000496975,1.649085164
-0.000527638,1.7281636
-0.000534902,1.805461287
-0.000560147,1.882165194
-0.000595553,1.960181355
-0.00069978,2.036702394
-0.000738353,2.111027002
-0.000803363,2.181993961
-0.000795314,2.252631187
-0.0008079259999999999,2.326626539
-0.0008110729999999999,2.398822308
-0.000875578,2.468474627
-0.0009358159999999999,2.539592743
-0.001052057,2.608805895
-0.0010314579999999999,2.675659657
-0.001077742,2.746666908
-0.00107299,2.817937374
-0.00106548,2.892086267
-0.001121328,2.964485884
-0.001153476,3.030499458
-0.0011706379999999999,3.098910093
-0.001217387,3.166744947
-0.001230063,3.234091759
-0.001350313,3.302958727
-0.001283179,3.370687246
-0.0013971279999999999,3.440301418
-0.00141195,3.510391235
-0.001424979,3.583127975
-0.001517121,3.651811838
-0.001508946,3.721358299
-0.00163574,3.79876709
-0.0016655679999999999,3.864887714
-0.001652962,3.933015823
-0.00171782,4.004720211
-0.001753829,4.073027134
-0.001675433,4.13669014
-0.001748782,4.208724499
-0.001779611,4.277055264
-0.001822531,4.34802103
-0.001879778,4.415178299
-0.001871121,4.479003906
-0.001931188,4.545519352
-0.001950335,4.612885475
-0.001993652,4.685479641
-0.002023523,4.749969006
-0.002017052,4.82189846
-0.002073484,4.885929585
-0.0020892519999999998,4.953324318
-0.002137237,5.024638176
-0.00216755,5.09715414
-0.002178344,5.165507793
-0.002221358,5.235136032
-0.002257745,5.309435368
-0.002325249,5.376563549
-0.002317679,5.444679737
-0.002406909,5.512122154
-0.002442436,5.575478554
-0.002498952,5.64265728
-0.002493816,5.706346035
-0.00247976,5.773839474
-0.002501621,5.841299057
-0.002574354,5.909865379
-0.002581114,5.982842922
-0.002680023,6.046388149
-0.002695787,6.110201359
-0.002667022,6.183622837
-0.002727984,6.254428387
-0.00279159,6.321313858
-0.002806516,6.390911579
-0.002898514,6.454167366
-0.002901156,6.518260002
-0.002969122,6.581490517
-0.002956921,6.655973434
-0.002994184,6.718794823
-0.0029667639999999998,6.782984257
-0.003058612,6.85340929
-0.003053857,6.922445297
-0.003039685,6.990744591
-0.003127418,7.05446291
-0.003159547,7.121902466
-0.003249673,7.192046642
-0.0032889,7.26323843
-0.003284128,7.330275536
-0.003370771,7.400166988
-0.003372095,7.469584942
-0.003360778,7.541317463
-0.003354226,7.607197762
-0.003412718,7.672587872
-0.003438832,7.743085861
-0.003455581,7.812298298
-0.003448566,7.87565279
-0.003553266,7.934730053
-0.00361138,8.000417709
-0.003647746,8.065590858
-0.003635105,8.128714561
-0.003713914,8.194947243
-0.003755714,8.259954453
-0.003769056,8.328497887
-0.003838927,8.391840935
-0.003813701,8.456334114
-0.003827278,8.525231361
-0.003849974,8.592980385
-0.0038370599999999998,8.664017677
-0.003873112,8.732924461
-0.0038966860000000003,8.799492836
-0.00394817,8.865129471
-0.004031655,8.93885994
-0.003995949,9.004271507
-0.004038237,9.072649002
-0.0040303760000000004,9.138480186
-0.004061917000000001,9.208492279
-0.004140146000000001,9.275225639
-0.004119608,9.339518547
-0.0041973800000000006,9.40695858
-0.0042017370000000005,9.470878601
-0.004186795,9.540180206
-0.0042627640000000005,9.60655117
-0.004215689000000001,9.67430687
-0.004297578000000001,9.73815155
-0.004407177,9.806777954
-0.004404509,9.870444298
-0.0044461050000000005,9.930412292
-0.004393873,9.99594593
-0.004402261,10.06439972
-0.004483396000000001,10.13646603
-0.004460428000000001,10.20259571
-0.0044686660000000005,10.26233101
-0.004517894000000001,10.33060074
-0.0045134730000000005,10.39835644
-0.004589533000000001,10.46957302
-0.004618176000000001,10.54106808
-0.004671305000000001,10.60106754
-0.00466716,10.67414093
-0.004650506,10.73938656
-0.004703451,10.81005192
-0.004733258000000001,10.87389088
-0.004796922,10.94231796
-0.004769266,11.00473785
-0.004811386,11.06421089
-0.004853871,11.12782001
-0.004916933,11.19462109
-0.004881268,11.25961971
-0.004896248000000001,11.32583809
-0.004893300000000001,11.39457512
-0.004965639,11.46005058
-0.005000531000000001,11.52030659
-0.005056178000000001,11.58922386
-0.005066096,11.65488148
-0.005070076000000001,11.72376251
-0.005069253,11.78617096
-0.005091200000000001,11.84965324
-0.005194679000000001,11.91296673
-0.0051667710000000006,11.97908688
-0.0052502830000000006,12.04440784
-0.005280341,12.11193466
-0.005259101,12.17521954
-0.005261742000000001,12.24982071
-0.0052931620000000006,12.30831718
-0.005283943,12.37581921
-0.005379233000000001,12.44224167
-0.005333128,12.50456238
-0.005426048,12.56550598
-0.0054480150000000005,12.63166618
-0.005409667000000001,12.6898756
-0.005447091,12.7588253
-0.0054941320000000005,12.82080173
-0.005512882,12.8844738
-0.0055848370000000005,12.94047356
-0.0055943930000000005,12.9999342
-0.005584924000000001,13.06284904
-0.005643461000000001,13.13371468
-0.005653871,13.20025253
-0.005681435,13.2676239
-0.005651609,13.33206081
-0.005694732,13.39681721
-0.005704455000000001,13.45498562
-0.005685103,13.5223217
-0.005760955000000001,13.58391476
-0.005802148,13.65081787
-0.005826942000000001,13.71245766
-0.005801708,13.77492046
-0.005877052000000001,13.83908749
-0.005930436000000001,13.89795876
-0.005883299000000001,13.95299721
-0.0059167130000000005,14.01264572
-0.005981855,14.06632614
-0.0060040860000000005,14.13172913
-0.006020259,14.19738865
-0.0059924620000000005,14.26243782
-0.005987578,14.32264614
-0.006016647,14.38512611
-0.006095752,14.4434185
-0.0060335810000000005,14.50718784
-0.006052461,14.57324505
-0.00611256,14.63286877
-0.006084797,14.69308567
-0.006087541,14.74883366
-0.006107939000000001,14.81185436
-0.006163296,14.87111855
-0.006156993,14.93106556
-0.006207345,14.99900818
-0.006165507000000001,15.05707264
-0.006217571000000001,15.11662292
-0.006240411,15.17701054
-0.006250869,15.2415514
-0.006272537000000001,15.2968111
-0.006273843,15.36182594
-0.00630994,15.41910458
-0.006337201000000001,15.47739697
-0.0063456680000000005,15.53976345
-0.006332454,15.59732819
-0.006403273,15.65133667
-0.006421512000000001,15.71142006
-0.006404109000000001,15.77105427
-0.006381017,15.83031368
-0.0063597210000000005,15.8894558
-0.0063924540000000005,15.94828987
-0.0063745880000000005,16.00976944
-0.006469637,16.07064819
-0.006545314,16.12660408
-0.00653132,16.18645668
-0.006543346,16.24522972
-0.006597627,16.30584717
-0.006551746000000001,16.36808395
-0.00654624,16.42660904
-0.006542269000000001,16.48380089
-0.006529723,16.54567146
-0.006627050000000001,16.60674286
-0.006633885000000001,16.6691246
-0.006654935000000001,16.72252274
-0.006717856,16.78603745
-0.006667877,16.84724236
-0.006693981000000001,16.90857315
-0.006618556,16.9623394
-0.006652112000000001,17.02148628
-0.006688891000000001,17.08348083
-0.006720113000000001,17.14722824
-0.006733976,17.2085495
-0.0067751140000000005,17.26586914
-0.006730275,17.32236862
-0.006806607,17.38598251
-0.006831065000000001,17.43985939
-0.006893773000000001,17.50330925
-0.006860757,17.55856133
-0.006921519,17.62012672
-0.006932642,17.68026161
-0.006949258000000001,17.73673248
-0.006941907000000001,17.79332924
-0.006901518000000001,17.85100746
-0.006923974,17.91026306
-0.0069079300000000005,17.97111893
-0.0069364760000000004,18.02687263
-0.006965204,18.08531952
-0.006980705,18.14428902
-0.007056929,18.20191383
-0.006983409,18.2536869
-0.006986253,18.31685638
-0.007102871,18.3724823
-0.007064984000000001,18.43277931
-0.007135430000000001,18.49569893
-0.007149325000000001,18.55088615
-0.007116656000000001,18.61008072
-0.007194961000000001,18.67415619
-0.007162174,18.73030472
-0.007178168,18.78415298
-0.007134079000000001,18.83733749
-0.0071580640000000004,18.89633942
-0.007222897000000001,18.95679092
-0.0072499420000000005,19.00987625
-0.007176503000000001,19.06404877
-0.007197425,19.12461281
-0.007207464,19.18393326
-0.007178982,19.24772072
-0.0072155100000000005,19.30678368
-0.0073184980000000005,19.36400414
-0.0073640780000000005,19.42063713
-0.007393867,19.47768784
-0.007372343000000001,19.53532219
-0.0074394150000000004,19.59582138
-0.00743087,19.6552887
-0.00744442,19.71206284
-0.007414714,19.76616287
-0.007408041000000001,19.81751442
-0.007430587000000001,19.87753868
-0.007500741,19.9372921
-0.007466523,19.99530411
-0.007529086000000001,20.05098152
-0.00748328,20.10550117
-0.007492052000000001,20.15710449
-0.007452294000000001,20.21535492
-0.0074738750000000005,20.27099037
-0.007493976,20.3297863
-0.007592181000000001,20.3863945
