Radial elongation [mm],Load [kN]
0.0,0.090203062
-4.14e-06,0.091919139
-2.044e-05,0.097706914
-1.0140000000000001e-05,0.116266958
-1.0739999999999999e-05,0.167088687
-5.864e-05,0.234985262
-0.0001495,0.318552434
-0.000170584,0.42305097
-0.000207611,0.538044333
-0.00027812800000000004,0.666196525
-0.00043373900000000004,0.814012229
-0.000577602,1.005549192
-0.000605575,1.201099396
-0.000708401,1.396154761
-0.000901904,1.567713857
-0.0010227799999999998,1.750656962
-0.001072036,1.920603275
-0.00110808,2.09381485
-0.0012033599999999999,2.260254383
-0.001327167,2.431912184
-0.00144375,2.596441507
-0.0015291509999999999,2.767154455
-0.001663742,2.932230949
-0.0016661179999999999,3.095977306
-0.0018220859999999999,3.260869741
-0.0019377259999999999,3.430887938
-0.001990032,3.592846394
-0.0020917279999999997,3.757360935
-0.002203215,3.922560692
-0.002238066,4.087686539
-0.002342366,4.25018549
-0.002468026,4.418669701
-0.0025724669999999997,4.581446648
-0.002681814,4.742637634
-0.0027445539999999997,4.903721809
-0.002893361,5.068463802
-0.002972126,5.229114532
-0.003066657,5.388783455
-0.003140763,5.547549248
-0.0032051799999999997,5.711508274
-0.003291953,5.863434792
-0.003457136,6.02461195
-0.003536129,6.183688641
-0.003526876,6.346327305
-0.003675191,6.503671169
-0.0038023189999999998,6.668795109
-0.003868871,6.82523489
-0.003971294,6.988144875
-0.004070683,7.149096012
-0.0040881,7.309816837
-0.004274066,7.474825382
-0.004341865,7.635465622
-0.004364646,7.789024353
-0.004529734,7.949505806
-0.00459542,8.104097366
-0.004692034,8.269877434
-0.004733937,8.427862167
-0.004782347,8.58631134
-0.004942591,8.742185593
-0.005041378,8.909591675
-0.005076003,9.072003365
-0.005147071,9.229644775
-0.005237897,9.384252548
-0.005405653,9.541145325
-0.005432532,9.701313019
-0.0055482859999999995,9.865203857
-0.00557832,10.02111435
-0.005704334,10.18154049
-0.005794591,10.33705044
-0.00589301,10.49644089
-0.00593174,10.64835453
-0.006036802,10.81085968
-0.006148272,10.96639347
-0.0062218709999999995,11.13061905
-0.006240025,11.29092979
-0.00641598,11.44935131
-0.0064340099999999996,11.60608387
-0.006562688,11.75810623
-0.006645288,11.90608501
-0.006695939,12.06456852
-0.006756381,12.22685051
-0.006876399,12.38189793
-0.006988751,12.53659916
-0.0070385,12.70068169
-0.007158044,12.85398388
-0.007231833,13.00294685
-0.007308281,13.16323948
-0.007306635,13.32167244
-0.007338434,13.47316933
-0.00750653,13.63696957
-0.007599392,13.79498005
-0.007688359,13.95441341
-0.00778505,14.11129856
-0.007802314,14.27421856
-0.007916742000000001,14.43707657
-0.007955015000000001,14.59288406
-0.008089889000000001,14.74789906
-0.0081261,14.90770912
-0.008248073000000002,15.05851364
-0.008340419,15.22015762
-0.008386756,15.37778473
-0.008407612,15.52997971
-0.008474790000000001,15.68370819
-0.008596804000000001,15.84282398
-0.008632072000000001,15.99456978
-0.008663141000000001,16.15894127
-0.008781742,16.31159592
-0.008767513000000001,16.46665192
-0.008879551000000001,16.61938858
-0.008864975,16.77721214
-0.008885820000000001,16.93456841
-0.008937939,17.0875473
-0.009090362000000001,17.24301338
-0.009027265000000001,17.40827179
-0.009088251,17.55694199
-0.009152891000000002,17.71025276
-0.009171877,17.86065292
-0.009285177,18.01548958
-0.009266117,18.16541481
-0.009291791,18.32268524
-0.00940764,18.47158813
-0.009448615,18.62344933
-0.009472109000000001,18.76760674
-0.009493251000000001,18.91712379
-0.009446554000000001,19.06376457
-0.009543471000000001,19.21600914
-0.009527740000000002,19.36305046
-0.009517349000000001,19.51298904
-0.009595321,19.66056061
-0.009553046,19.80699539
-0.009614781000000001,19.95794487
-0.009608246,20.11145973
-0.009635298,20.25490952
-0.009661830000000001,20.40880966
-0.009712076,20.55101395
-0.009749187000000001,20.70266914
-0.009712420000000001,20.84801865
-0.009704117,20.99258995
-0.009803341,21.1374836
-0.009674387000000001,21.28218079
-0.009754884,21.42392349
-0.009695731,21.56290627
-0.009780710000000001,21.69694901
-0.009735989,21.84097672
-0.009701289,21.97914314
-0.009718269000000002,22.12111282
-0.009711905000000002,22.26213074
-0.009684209000000001,22.40810966
-0.009694868,22.54750061
-0.009580471,22.68921661
-0.009593510000000001,22.82388687
-0.009554537,22.96088982
-0.009593866000000001,23.09903908
-0.009624346,23.24022675
-0.009608149000000002,23.37279892
-0.009611344,23.50263214
-0.009547023,23.63082123
-0.009464598000000001,23.7663517
-0.009429406000000001,23.89547157
-0.0011537289999999998,24.02609634
-0.001195526,24.1504097
-0.0012584809999999999,24.2842865
-0.001265544,24.4088459
-0.001299501,24.54372215
-0.0014321599999999998,24.67476463
-0.0014855979999999999,24.80630875
-0.001416603,24.93503571
-0.00132909,25.06176567
-0.0015629779999999998,25.18650246
-0.001473538,25.31581497
-0.001362376,25.43670082
-0.0013805719999999998,25.55732155
-0.001512594,25.6749897
-0.001554277,25.79666328
-0.0013878249999999999,25.91205025
-0.0014218829999999999,26.03441429
-0.001414668,26.14833641
-0.001428558,26.26909828
-0.001294675,26.38634682
-0.001264622,26.49762344
-0.0012402519999999998,26.60701561
-0.00126845,26.72289467
-0.001145094,26.84200478
-0.001105074,26.9599762
-0.0010404099999999999,27.06757545
-0.001031141,27.17759514
-0.001052693,27.28912735
-0.000945071,27.40187645
-0.000804328,27.503685
-0.000882676,27.61017609
-0.0008110600000000001,27.71703911
-0.000646937,27.83093834
-0.0005934520000000001,27.93606377
-0.000469967,28.03851891
-0.000519892,28.13827515
-0.00040477600000000003,28.24152565
-0.000286137,28.33845329
-0.000232,28.43274498
-0.000125991,28.52654266
-7.554000000000001e-05,28.62870598
0.000126944,28.72069168
0.000171346,28.81946754
0.000289383,28.90605927
0.00049474,28.99139023
0.0007883429999999999,29.06297874
0.001541568,29.13323975
0.002648539,29.19811249
0.003426567,29.25787163
0.004086297,29.28894806
0.004460892,29.26789665
0.004992381,29.17345238
0.005538118,29.05420113
0.006143907,28.90485191
0.006792097,28.73640823
0.007361463,28.5696907
0.0077859570000000005,28.4241333
0.008194090999999999,28.3002739
0.008441609,28.21725845
0.008628716,28.16021156
0.008728202999999999,28.12950134
0.008780904999999999,28.11439133
0.008834511,28.11956215
0.008887323999999999,28.1234951
0.008899715999999998,28.14740372
0.008896485999999999,28.17420959
0.008807167,28.21514893
0.008802411,28.26386642
0.008909658999999999,28.31768608
0.00888399,28.37124252
0.008867008999999999,28.42143059
0.008885191999999998,28.45905685
0.009003556999999999,28.49131203
0.00910095,28.51120949
0.009094069,28.52378845
0.009124249999999999,28.52331734
0.009276116999999999,28.52128601
0.009348756,28.52052689
0.009386038,28.52983093
0.009413495999999999,28.54589844
0.009492736,28.56102943
0.009634536999999999,28.56956863
0.009734891999999998,28.59098053
0.009808758999999998,28.60439682
0.009920442,28.62728119
0.010005255,28.64937019
0.010192156999999999,28.6749649
0.010296365,28.69710159
0.010377229,28.72227859
0.010495414,28.74039459
0.010658715,28.76190948
0.010724307999999998,28.77448654
0.010885873999999999,28.7926712
0.010976963999999999,28.81056404
0.011106768,28.82681847
0.011365490999999998,28.84675026
0.011471094999999999,28.86718559
0.011493294,28.88256645
0.011680767,28.89876556
0.011827265,28.9166832
0.011970601999999999,28.94118309
0.01203808,28.96100044
0.012217286999999999,28.97938919
0.012370755999999998,28.99696541
0.012595522,29.01976585
0.012709301,29.03588295
0.012786761999999998,29.05622101
0.012940051,29.07981873
0.01312322,29.1082077
0.013189534,29.12867165
0.013332437999999999,29.15466499
0.013418708,29.16917992
0.013649085,29.18601418
0.013814219999999999,29.20333481
0.013944284999999999,29.21898079
0.014079244,29.2397728
0.014205517999999999,29.26726913
0.014392749,29.2841053
0.01449811,29.30374718
0.014622131,29.32308578
0.014768087,29.34181786
0.014966419,29.36273575
0.015112895,29.38693047
0.015229603,29.41000557
0.015368495,29.43544579
0.015510273,29.4576931
0.015803976,29.48264694
0.015848234,29.50221252
0.016026929000000002,29.52989388
0.016179911,29.54638481
0.01637154,29.56232643
0.016522355000000002,29.57818985
0.016595806,29.60039711
0.016753325,29.61761093
0.016972981,29.64012718
0.017086191,29.66114044
0.017237735,29.68215179
0.017361536,29.70506477
0.017525125000000003,29.73181725
0.017727848,29.75272942
0.017902521,29.77178574
0.017977835,29.7958374
0.018188066,29.82556915
0.018355041000000002,29.85586357
0.018570687000000002,29.88597298
0.018624836000000002,29.90806389
0.018794167,29.92923355
0.018944948,29.95154762
0.019185701,29.96949196
0.019318480000000002,29.98066521
0.019415374000000003,29.99641228
0.019591063000000002,30.01515579
0.019750585,30.03960037
0.019965179,30.05710793
0.020017162,30.07996178
0.020169679,30.10289001
0.020419266000000002,30.12205124
0.020582180000000002,30.14032936
0.020643141,30.1634388
0.020805066,30.18658447
0.020888812,30.20359993
0.021117981,30.22296715
0.021254075,30.24769974
0.02132846,30.27447701
0.021476674,30.3019352
0.021641129000000002,30.32268333
0.021809333,30.35059357
0.021895,30.36569977
0.022020077000000002,30.38574409
0.022243417,30.39946175
0.022387443,30.41621208
0.022450231,30.43179131
0.022585596,30.454319
