Radial elongation [mm],Load [kN]
0.0,0.100074574
-4.2529000000000026e-05,0.137745872
-0.00020119700000000002,0.179692909
-0.00027426,0.227256849
-0.00030632200000000004,0.274841726
-0.00033559100000000005,0.333601028
-0.0005081920000000001,0.388688505
-0.00046849200000000004,0.458121657
-0.0005142920000000001,0.521479726
-0.00043077100000000004,0.591278315
-0.00040644600000000003,0.662416816
-0.000513192,0.742287338
-0.000483192,0.822581947
-0.0005142920000000001,0.904163897
-0.000515492,0.981289387
-0.000616192,1.061696053
-0.000576392,1.149070024
-0.000675638,1.246991754
-0.0006300920000000001,1.340893745
-0.000546492,1.438704491
-0.0005617420000000001,1.522059798
-0.000620792,1.615033746
-0.000665517,1.710988402
-0.000700188,1.802142382
-0.0008038050000000001,1.889222503
-0.0008606080000000001,1.976452351
-0.000902503,2.056596756
-0.0009362250000000001,2.14313221
-0.000958948,2.231173992
-0.000968074,2.312974691
-0.001044358,2.392248631
-0.001116271,2.477410316
-0.0011607190000000002,2.551889896
-0.00113845,2.6341362
-0.001191884,2.716668606
-0.0012396960000000002,2.801327229
-0.001248504,2.87789607
-0.0014056469999999999,2.968972445
-0.001537125,3.047810793
-0.001704312,3.126618624
-0.001702473,3.206312895
-0.0019239780000000002,3.288992167
-0.002034008,3.363005877
-0.002077416,3.442111731
-0.002166092,3.522765636
-0.002134128,3.604110241
-0.002196084,3.682225704
-0.00223324,3.758037329
-0.002251431,3.833572149
-0.002135504,3.919538736
-0.002039743,3.990628481
-0.001961531,4.071601391
-0.001913764,4.149572849
-0.0018746880000000002,4.232292175
-0.0020025530000000002,4.306624413
-0.001958798,4.38535738
-0.0019395900000000002,4.455375195
-0.002030065,4.535202026
-0.002080799,4.609021187
-0.002200188,4.68914032
-0.002321647,4.767232895
-0.002406288,4.847108841
-0.002383151,4.923607826
-0.002366277,5.007567406
-0.002390606,5.082941532
-0.002390245,5.160972595
-0.002496621,5.231227398
-0.002454998,5.311117649
-0.0024505300000000002,5.384884834
-0.002467317,5.464735508
-0.002495496,5.539274693
-0.002590172,5.615682125
-0.002652144,5.686270714
-0.002654311,5.76475811
-0.002749384,5.833936691
-0.002763739,5.917119026
-0.002764987,5.996198654
-0.002748348,6.077886581
-0.002763624,6.148872375
-0.002786074,6.224548817
-0.002793646,6.297889233
-0.002788368,6.379246712
-0.002842419,6.451187611
-0.002802926,6.523763657
-0.002946477,6.597805977
-0.00298409,6.675499916
-0.002970271,6.753210068
-0.002987011,6.830159187
-0.00304652,6.906234264
-0.003121999,6.989105225
-0.003223576,7.070801735
-0.003192757,7.137957573
-0.003250893,7.208525181
-0.003236807,7.282681942
-0.003285058,7.354944706
-0.003229778,7.429875851
-0.0032642549999999998,7.502899647
-0.003257047,7.579113483
-0.003303174,7.65011692
-0.0033700749999999997,7.732795715
-0.003487694,7.799787998
-0.0035903709999999998,7.872403622
-0.003557461,7.950741768
-0.003665128,8.025220871
-0.003614923,8.102518082
-0.003734506,8.177212715
-0.0038612,8.252848625
-0.003911785,8.328655243
-0.003927385,8.397660255
-0.003956656,8.475768089
-0.004015618,8.550260544
-0.004007933,8.628522873
-0.004018703,8.698027611
-0.004029995,8.775724411
-0.004044005,8.844118118
-0.003927688,8.917591095
-0.003954768,8.988745689
-0.003926338000000001,9.062386513
-0.003905355,9.132628441
-0.00390076,9.204469681
-0.003856711,9.280798912
-0.003826855,9.353552818
-0.003859829,9.429637909
-0.003889019,9.506643295
-0.0039280420000000005,9.57856369
-0.003907867,9.651580811
-0.003937746,9.724503517
-0.003961256,9.795893669
-0.003966112,9.868426323
-0.0040205630000000004,9.948841095
-0.004052016,10.0177002
-0.004102751,10.09014511
-0.00403983,10.16684914
-0.004045056,10.24646282
-0.004095316,10.31537437
-0.004083743,10.3894968
-0.0041209770000000005,10.45903587
-0.0041472160000000004,10.53517342
-0.00414833,10.60922337
-0.004271085,10.6817894
-0.004339809,10.75236797
-0.0043543670000000005,10.82695484
-0.0044082670000000004,10.8996582
-0.004407419,10.97473526
-0.004362833,11.04733181
-0.004408183,11.11995983
-0.004380131,11.19373989
-0.00436763,11.26860714
-0.004321333,11.34443569
-0.004398413,11.41639328
-0.004383952,11.48351479
-0.004495108,11.55729389
-0.004516172000000001,11.62342453
-0.004562252,11.69510937
-0.004606600000000001,11.76399231
-0.004652615000000001,11.84292507
-0.004626822,11.91709995
-0.004698645,11.98926449
-0.00477915,12.06291485
-0.0047733720000000006,12.12983227
-0.004810151,12.19184589
-0.004892845000000001,12.26646328
-0.004927758,12.33539391
-0.004977249,12.40426254
-0.005016727,12.4798193
-0.005104746,12.55937386
-0.005153484000000001,12.62695217
-0.005131277,12.7054987
-0.005199474,12.77985573
-0.005366102,12.85855293
-0.005322351,12.92817116
-0.0053755700000000005,12.99887276
-0.005385919,13.06114483
-0.00533299,13.14112377
