Radial elongation [mm],Load [kN]
0.0,0.03026418
5.738e-05,0.035693221
1.071e-06,0.041832503
3.0379999999999997e-05,0.064415127
9.129999999999999e-06,0.103170604
-4.722e-05,0.152406707
-6.742e-05,0.223693922
-0.000106178,0.317721754
-0.000158013,0.431301326
-0.000181272,0.560330212
-0.000249063,0.70160234
-0.00039792800000000003,0.858253419
-0.00046836400000000003,1.03683579
-0.000582324,1.248800159
-0.000677219,1.461970448
-0.0007800569999999999,1.663738251
-0.000849473,1.855380416
-0.0009691989999999999,2.035020113
-0.000990236,2.216722965
-0.001092148,2.394041061
-0.001191976,2.568407774
-0.0012632160000000002,2.7333951
-0.001385506,2.900706291
-0.00143398,3.061580658
-0.0015388280000000001,3.22545433
-0.001623592,3.389003515
-0.001638912,3.552515745
-0.001743613,3.713076353
-0.00185658,3.880960226
-0.001906678,4.046362877
-0.001989017,4.207001686
-0.002048641,4.367498398
-0.002149672,4.528954983
-0.002189249,4.692210674
-0.0023055849999999998,4.863441944
-0.0023334529999999997,5.019655228
-0.002449056,5.176831722
-0.002490725,5.33324337
-0.0025340939999999998,5.496325016
-0.002636968,5.650136471
-0.002678191,5.814311028
-0.0027470199999999998,5.97520256
-0.0028455819999999997,6.133734226
-0.002982017,6.29817009
-0.003021429,6.45827961
-0.003132438,6.61229372
-0.003214321,6.768173695
-0.0032611299999999997,6.92358923
-0.0033999209999999998,7.090566635
-0.003407477,7.245019913
-0.0034977249999999997,7.407850266
-0.003587525,7.566462517
-0.003601961,7.727042198
-0.003691068,7.885001183
-0.0037760149999999998,8.042798996
-0.003804447,8.196002007
-0.003879789,8.354792595
-0.003996375,8.516105652
-0.004022816,8.670885086
-0.004128935,8.827368736
-0.004162858,8.988998413
-0.004276324,9.144410133
-0.004356357,9.305932045
-0.004410934,9.45925808
-0.004504754,9.624634743
-0.0045628629999999995,9.775182724
-0.0045952499999999995,9.932721138
-0.004722795,10.08743095
-0.004750122,10.24233341
-0.0047994479999999996,10.39802837
-0.0048432449999999995,10.55811977
-0.004987503,10.71250439
-0.005102909,10.87452698
-0.00516487,11.03176689
-0.005251546,11.189538
-0.0052556109999999994,11.34050274
-0.0053094019999999995,11.49555683
-0.005385379,11.64494896
-0.00543867,11.80219936
-0.005485952,11.96098423
-0.005565644,12.12484646
-0.005667126,12.27497292
-0.0056882109999999994,12.43390369
-0.005802119,12.58765507
-0.005873348,12.74160004
-0.005906404,12.90062618
-0.006007508,13.05340862
-0.00605374,13.20290756
-0.006080371,13.35804367
-0.0062023899999999995,13.50752544
-0.00625093,13.66056538
-0.0062834169999999995,13.81795216
-0.006400533,13.97260761
-0.006458561,14.12932873
-0.006548734,14.28922558
-0.006603044,14.4449892
-0.006687049,14.59589672
-0.006737606,14.74759102
-0.006760743,14.90472126
-0.006856397,15.04860878
-0.006837073,15.2011528
-0.006916449,15.34538937
-0.006896248,15.48665142
-0.006962297,15.63296986
-0.007003618,15.77620602
-0.007063221,15.92200375
-0.0071068189999999995,16.06708527
-0.007135783,16.2166748
-0.007201697,16.36252403
-0.0072395029999999996,16.504179
-0.00728604,16.65033722
-0.007290531,16.79606438
-0.007306578,16.93545723
-0.007344715,17.07478714
-0.007340973,17.22564125
-0.007457555,17.36468124
-0.0074467909999999995,17.50642967
-0.007511848,17.64573669
-0.007564013,17.78937531
-0.007587628,17.93359947
-0.007602889,18.08390808
-0.007629225,18.22154617
-0.007720573,18.35816383
-0.007733254,18.49331856
-0.0076976169999999995,18.62018776
-0.007719196,18.75360298
-0.007706102,18.89211655
-0.007771002999999999,19.01807976
-0.007711735,19.153162
-0.0078041609999999996,19.28833961
-0.007908963000000001,19.42319298
-0.007879459,19.55542946
-0.007959820000000001,19.68693542
-0.007941174,19.81484795
-0.008008203,19.94588089
-0.007960267,20.07670593
-0.008068659,20.20802498
-0.00802017,20.33451653
-0.008014721,20.46311378
-0.008045733000000001,20.59376526
-0.008106743000000001,20.72275925
-0.008068793000000001,20.84814835
-0.008112468000000001,20.97368813
-0.008025276000000001,21.099823
-0.008000531,21.22702408
-0.008003016,21.35202408
-0.007916583000000001,21.47846985
-0.007864024,21.60283852
-0.00773087,21.72680855
-0.007705671,21.84708595
-0.007668049,21.96852112
-0.007700774,22.08763123
-0.007714135,22.21460152
-0.007664273,22.34098244
-0.0076365669999999995,22.46337128
-0.007639644,22.57955933
-0.007672334,22.69816208
-0.0076107119999999995,22.81711769
-0.007678312,22.9355278
-0.007645486999999999,23.05296135
-0.0076701519999999995,23.17165184
-0.00757857,23.2905674
-0.007582341,23.40241432
-0.007569708,23.5161438
-0.00754351,23.63329124
-0.007526459,23.74638748
-0.007473265,23.86253738
-0.0074553499999999995,23.96995544
-0.007460963,24.07559967
-0.00742947,24.1781311
-0.0073416129999999994,24.28574753
-0.007317215,24.39065552
-0.007190816,24.50004387
-0.00714929,24.61667442
-0.0070689609999999995,24.72921181
-0.007036538,24.83897018
-0.007024445,24.94643974
-0.0070598959999999995,25.04512596
-0.007009313,25.14628029
-0.007031336,25.24051094
-0.006901493,25.34340477
-0.006819533,25.43963432
-0.006778697,25.53416443
-0.006784861,25.63241577
-0.006663978,25.72484207
-0.006608431,25.81861305
-0.006486893,25.91183662
-0.006382965,25.99758339
-0.006313079,26.09410477
-0.006242359,26.181633
-0.006113721,26.25473022
-0.006042034,26.33323479
-0.005910014,26.40795898
-0.005840234,26.47628021
-0.0056539599999999995,26.54286766
-0.005629019,26.60327911
-0.005482407,26.65442276
-0.0054048889999999995,26.70700073
-0.005296872,26.74352837
-0.005127827,26.76805878
-0.0049116839999999995,26.78285408
-0.0048098229999999995,26.78193855
-0.004674508,26.7790947
-0.004482151,26.78042984
-0.004322269,26.77158165
-0.0041222609999999995,26.76573181
-0.0038494049999999998,26.76683235
-0.0034099919999999997,26.76879501
-0.003177372,26.77058983
-0.002910429,26.7902813
-0.002632115,26.81941795
-0.002331873,26.85714149
-0.002093014,26.90774727
-0.001777923,26.95993042
-0.001519235,27.01141357
-0.0012112800000000001,27.05020142
-0.0009938240000000001,27.08802414
-0.000734973,27.12460327
-0.000507903,27.15528488
-0.000260968,27.17929268
-1.4220000000000001e-05,27.20244217
0.000274036,27.22436333
0.000483876,27.24281883
0.0006925750000000001,27.25855064
0.0009065340000000001,27.27343369
0.001085801,27.28352356
0.001299021,27.30246925
0.001472475,27.32556152
0.001650758,27.34890556
0.001767268,27.37727165
0.001871703,27.40127563
0.002002046,27.43251419
0.002138759,27.45879173
0.002360703,27.48265648
0.00250892,27.51142693
0.00260069,27.53900909
0.0027400970000000004,27.56999016
0.0029205430000000003,27.59906197
0.003070455,27.62466812
0.0032285070000000003,27.64785576
0.0033930080000000003,27.66943741
0.003494903,27.69216728
0.0037181600000000003,27.71505165
0.0038231880000000004,27.73199654
0.0040420740000000005,27.74844551
0.0041632430000000005,27.76962662
0.004233653,27.78452873
0.0044382530000000005,27.79743195
0.004547719,27.81656075
0.004634958,27.83857918
0.004811201,27.86544991
0.004851312,27.88900566
0.005005489,27.91472816
0.005142117,27.9418354
0.005302109,27.96987724
0.005431781,27.99385262
0.005555651,28.02217102
0.005672142,28.04652405
0.005828021,28.07247162
0.005999799,28.09156418
0.006132042,28.11582565
0.006360466,28.14134216
0.006526955,28.16649437
0.006723744,28.19233131
0.006888876,28.22095108
0.007129294,28.25149727
0.007485169,28.28069496
0.007703759,28.30940437
0.007970481,28.33896255
0.008057980999999999,28.36222267
0.008233794999999999,28.38874817
0.008414273,28.41426277
0.008592517,28.44383812
0.008766853,28.46960449
0.008923525,28.49519539
0.009106867,28.51770973
0.009134755999999999,28.54502869
0.009289048999999999,28.57017326
0.00940133,28.59536934
0.009541549,28.62360764
0.009644584999999999,28.64681053
0.009837394,28.67531776
0.009907932,28.69849968
0.010019564,28.72397614
0.010190248999999998,28.74516106
0.010321107,28.7707386
0.010477419,28.79966354
0.010574436999999999,28.82310486
0.010792864999999999,28.84212875
0.010892364,28.86004829
0.011065796,28.88560104
0.011090514999999999,28.90968513
0.01126312,28.93721581
0.011431433,28.96255493
0.011619517,28.98950577
0.011745592,29.01463127
0.011906864,29.0365715
0.012086583,29.05914116
0.012299945999999999,29.08422089
0.012505489,29.10638428
0.012677043999999998,29.13405991
0.012867745,29.15737724
0.013033965,29.17565727
0.013189371,29.20040703
0.013395642,29.22748566
0.013614336,29.2490654
0.013762027999999999,29.27173233
0.013935726999999998,29.29475021
0.01412071,29.31651688
0.014261989,29.34215355
0.014425522999999999,29.37223625
0.014537014999999999,29.39693451
0.014794728,29.41747093
0.014952102,29.44151115
0.015127683999999999,29.46223259
0.015432847,29.48154831
0.015692622,29.50836182
0.016014493,29.52696419
0.016230792,29.55278778
0.016422198000000002,29.57502937
0.016578187,29.60096359
0.016785883,29.62174606
0.016946823,29.64586258
0.017083010000000003,29.6667099
0.017163666,29.68309975
0.017335954,29.70336914
0.017437038000000002,29.72319794
0.017574296,29.74473
0.017707309,29.77272797
0.017869633,29.79782867
0.017952538,29.81641579
0.018163443,29.83598709
0.018193212,29.85444832
0.018384597000000003,29.87758064
0.018513965,29.90187645
0.018641308000000002,29.92234039
0.018791717,29.94330978
0.018978119,29.96711731
0.019047862000000002,29.98371124
0.019160508,30.00696754
0.019344613,30.02744865
0.01943962,30.04416275
0.019552419,30.06731033
0.019703828,30.08712196
0.019841886,30.1104908
0.01996312,30.1285038
0.020103112,30.15045357
0.020237692,30.16511536
0.020374079,30.1826458
0.020471761,30.20359039
0.020584582,30.23745918
0.020740049,30.26575279
0.020788169000000002,30.28978539
0.021019422,30.31622696
0.021133682,30.34001541
0.021267923,30.35547638
0.021443284,30.37098885
0.021524866,30.38865471
0.021722738000000002,30.40229797
0.021805464,30.42156219
0.021997374,30.44171906
0.022082251,30.45956039
0.02219208,30.48271751
0.022314398000000003,30.50137711
0.022502771,30.52496719
0.022586614,30.54990578
0.022750604,30.5705719
0.022921715000000002,30.59153938
0.023105987,30.61622429
0.023228534000000002,30.6360054
0.023363548,30.65581894
0.023536088,30.67673302
0.023701875,30.69696617
0.023953474000000002,30.7138958
0.024091825,30.72981453
0.024276948,30.7467556
0.024492423000000003,30.76925278
0.024692063,30.79076958
0.025077392,30.80817604
0.02594569,30.82744217
0.026531443000000002,30.85146904
0.026713482,30.8702774
0.026910931000000003,30.89064026
0.027047031000000003,30.91048431
0.027206665,30.92661858
0.027317286,30.94079208
0.027458186000000002,30.95616531
0.027612385,30.97677994
0.027685293,30.99541855
0.027826891,31.00967216
0.027946458,31.02907753
0.028054158000000003,31.0512352
0.028136988,31.07383347
0.02828257,31.09518051
0.02844555,31.11450768
0.028565737,31.13196754
0.028672174,31.14936638
0.028760709000000002,31.17017746
0.028887768,31.19289207
0.028968681,31.21117592
0.029151714000000002,31.22802544
0.02924162,31.24193573
0.029405216,31.25812531
0.029508895,31.27298164
0.029629227,31.28603935
0.029752017000000002,31.30665779
0.029909317,31.32570457
0.029984128000000002,31.34820938
0.030100462,31.37011337
0.030222947,31.3861351
0.030374634,31.40084648
0.03046217,31.41559601
0.030587242,31.43009377
0.030714553000000002,31.44396973
0.030878107000000002,31.46323204
0.030992726,31.48425293
0.031106696,31.50914001
0.031315402,31.53070831
0.031383142,31.54601288
0.031498522,31.55912971
0.031695657,31.57681465
0.031828639,31.5905571
0.032016747,31.61219406
0.032153965,31.63101768
0.032345195,31.64690208
0.032543809,31.66405296
0.032715805,31.68226433
0.032921337,31.69616318
0.033059665,31.70999146
0.033188969,31.73163414
0.033348598,31.74866486
0.033480999000000004,31.76122093
0.033555635,31.78369522
0.03369796,31.80171394
0.033805646,31.81827736
0.033978448,31.83133316
0.034072418,31.84199333
0.034248461,31.85920715
0.03429902,31.88189507
0.034440998,31.90005875
0.034585678,31.91783333
0.034644261,31.93577766
0.03480481,31.9523201
0.034976241,31.96498871
0.035056893,31.97830963
0.035201643,31.98840332
0.035306577,32.00900269
0.035392799,32.02579498
0.035482608,32.05097961
0.035684288,32.06891251
