Radial elongation [mm],Load [kN]
0.0,0.0
-0.0003576319751574797,1.90211936
-0.0007190292507657237,3.80089853
-0.00251347939466684,5.00614751
-0.005178103188156813,5.50212039
-0.007799307298584468,5.86943566
-0.010434921898758276,6.1592961299999995
-0.013119027218791768,6.39371427
-0.01587006473870267,6.58606811
-0.018695278358222822,6.74563976
-0.021594682578921054,6.87936231
-0.024562731950214634,6.99258367
-0.02759162443473695,7.08953976
-0.030670063194082386,7.17345597
-0.033784040345516964,7.24680463
-0.036918850378314216,7.3114923
-0.04007245031863493,7.36936035
-0.043243193444826744,7.42173191
-0.046427784800367355,7.46955943
-0.04962393369893925,7.5135010300000005
-0.0528286156580875,7.55420214
-0.05604022675365017,7.59203495
-0.059258492225201076,7.627348710000001
-0.06248313555726703,7.6604143
-0.06571336146888496,7.69143948
-0.0689485765521416,7.72059247
-0.0721890134144374,7.74801938
-0.07543407491455367,7.77383331
-0.07868472134321469,7.7981406699999996
-0.08194077255158772,7.82102435
-0.0852022561116279,7.84255799
-0.08846909520144042,7.86280451
-0.09174194617184961,7.88182328
-0.0950212599611513,7.899666610000001
-0.09830749068099864,7.91637951
-0.10160077960403702,7.93200353
-0.1049011635273478,7.94657473
-0.10820952534378159,7.960130299999999
-0.11152622469889728,7.97270191
-0.1148516238767836,7.98431831
-0.11818598155928273,7.995007139999999
-0.12152977132987286,8.004793920000001
-0.1248832569677163,8.01370241
-0.128246917993722,8.021754829999999
-0.13162091640909224,8.02897226
-0.13500563003530752,8.035374840000001
-0.1384015470569384,8.040981
-0.14180894416101553,8.045808769999999
-0.1452278846176278,8.049874899999999
-0.1486588644984954,8.05319587
-0.15210205909525398,8.0557867
-0.15555775368270197,8.05766243
-0.1590260186520831,8.05883701
-0.16250714287102608,8.05932406
-0.16600109051286505,8.05909308
-0.16950815352812887,8.058287870000001
-0.17302829797503438,8.05678949
-0.1765617092975149,8.0546537
-0.18010835487384025,8.05189202
-0.1836683122292888,8.04851597
-0.18724154946115346,8.04453627
-0.19082814525540437,8.0399638
-0.1944282899867975,8.03480898
-0.19804162090241384,8.029082500000001
-0.2016685511285745,8.02279414
-0.2053087173555448,8.01595377
-0.20896242362143624,8.0085712
-0.21262952916861688,8.00065577
-0.21631011664022726,7.99221692
-0.22000415730822565,7.983263839999999
-0.22371162251170484,7.97380549
-0.22743248365541802,7.963850529999999
-0.23116693834607438,7.9534077100000005
-0.23491484624678804,7.94248557
-0.2386761796875625,7.93109223
-0.24245113865929757,7.9192358899999995
-0.2462395830672881,7.90692471
-0.25004160049445745,7.89416644
-0.25385716506352196,7.88096876
-0.2576863657768158,7.86733925
-0.2615292927403119,7.85328508
-0.26538569128465905,7.83881383
-0.26925599813259504,7.82393221
-0.27314007516533056,7.80864753
-0.2770378994301701,7.7929662099999994
-0.28094956443971664,7.7768951699999995
-0.28487528150282904,7.76044061
-0.28881479669791443,7.7436091
-0.2927684398418591,7.72640687
-0.2967361918951017,7.70883968
-0.3007180339920039,7.69091378
-0.30471406541551227,7.67263461
-0.3087243867423619,7.6540080900000005
-0.3127490998668869,7.635039689999999
-0.31678818920493557,7.61573474
-0.3208417584992176,7.59609845
-0.32490967407724547,7.57613616
-0.32899228008964587,7.55585285
-0.3330895644936409,7.5352535
-0.33720139523753523,7.5143427
-0.3413280010803823,7.49312557
-0.34099644364455917,5.88397877
-0.3406650729885783,4.27322794
-0.34033413001291124,2.6608841900000004
-0.33999722891797557,1.0485588499999998
-0.3394267254950778,-0.49538673
-0.33822420284804955,-1.73200472
-0.3363357309841628,-2.4158147399999996
-0.3344152978608381,-2.93121636
-0.3324329098953769,-3.35219348
-0.3303511746477945,-3.70661267
-0.3281483319385061,-4.00746353
-0.3258118385318811,-4.26376352
-0.32333748178114274,-4.482769599999999
-0.3207280148826397,-4.67073465
-0.3179935790847883,-4.833154749999999
-0.31514795901835946,-4.9749029600000005
-0.31220925467639793,-5.10002753
-0.3091938017620115,-5.212090669999999
-0.30611794979697593,-5.313861770000001
-0.3029959340060495,-5.40754268
-0.2998383606256727,-5.4948068800000005
-0.2966557599827333,-5.5770349999999995
-0.29345506944586996,-5.6551789
-0.2902417714776162,-5.72998914
-0.28702084075724965,-5.80208432
-0.2837937186923012,-5.87174134
-0.2805648601939066,-5.93945423
-0.27733613261321355,-6.00542366
-0.2741083463901912,-6.06987421
-0.2708829999100697,-6.13296803
-0.26766158040641486,-6.1948244699999995
-0.2644438355385903,-6.2555783499999995
-0.26123193035988845,-6.31527981
-0.2580272103158441,-6.37406875
-0.25482940661951337,-6.43189124
-0.25163962524884465,-6.48885603
-0.24845805074500138,-6.5450133500000005
-0.24528714599795554,-6.60030361
-0.2421285598770313,-6.654940109999999
-0.23897938683273767,-6.70881595
-0.23584014329766578,-6.76202464
-0.232710550023002,-6.81460435
-0.22958920021369056,-6.86654638
-0.2264775163534012,-6.91797857
-0.22337522250757735,-6.96892588
-0.2202804715349107,-7.0192480800000006
-0.2171949068953163,-7.06913313
-0.21411724908940344,-7.11854246
-0.21104823989018628,-7.16755887
-0.2079858259489129,-7.21602117
-0.20493287033604224,-7.26410242
-0.20188765645747253,-7.31177352
-0.19885014504622633,-7.35904595
-0.19582051890617036,-7.40593255
-0.19279951305894127,-7.45249593
-0.18978531659916098,-7.49857918
-0.18677855737364513,-7.5443757
-0.183778317495356,-7.5898424
-0.1807858839597798,-7.63497369
-0.17780077927796278,-7.6798474599999995
-0.17482165255008586,-7.72435955
-0.17184814635107504,-7.76852062
-0.16888307309445683,-7.81243345
-0.16592442903788718,-7.856064379999999
-0.16297272747517444,-7.89947735
-0.1600263045358501,-7.94250671
-0.15708654571084102,-7.98533319
-0.1541532024569321,-8.027904099999999
-0.1512262442364669,-8.07022411
-0.14830618081714175,-8.11229423
-0.14539319531066108,-8.15411716
-0.1424872544178868,-8.19569695
-0.1395880026187748,-8.23704334
-0.13669701873259488,-8.27820758
-0.13381351414174047,-8.319074239999999
-0.1309375612355803,-8.359706959999999
-0.12807030046531942,-8.40010196
-0.12521094519943388,-8.44026906
-0.12235988538804388,-8.48021065
-0.11951612609945528,-8.51993991
-0.1166803776310299,-8.55945437
-0.11385143745250015,-8.598707399999999
-0.11103202779930643,-8.63785918
-0.10821935732495658,-8.67675982
-0.10541413496247154,-8.715463680000001
-0.10261674930972364,-8.753972110000001
-0.09982716575570416,-8.79228763
-0.09704492958977085,-8.8304168
-0.09427032347187292,-8.86835966
-0.09150373330205341,-8.906117329999999
-0.0887450196271562,-8.94369015
-0.08599341693922069,-8.98102973
-0.08325192056963315,-9.01828494
-0.08051861170783958,-9.05530006
-0.07779470399231281,-9.092122419999999
-0.07508046921436207,-9.128748439999999
-0.07237669655090562,-9.165173549999999
-0.06968365286930234,-9.20139425
-0.06700170719164888,-9.23740707
-0.06433236324001124,-9.273198319999999
-0.06467088070271632,-7.38872134
-0.0650096641068203,-5.50604509
-0.06534871359203343,-3.6251579
-0.06568792590233774,-1.7460601999999998
-0.0660496386928644,0.12475821999999999
-0.06669247143657975,1.88981899
-0.06807215455649063,3.2523375900000002
-0.07001678763777841,3.98243241
-0.07195176408887538,4.54676199
-0.0739386302612266,5.01425174
-0.0760113305946939,5.4090042899999995
-0.0781948069588323,5.7443638
-0.08050860903206969,6.02937452
-0.08296635397288865,6.27089516
-0.08557632693282868,6.47461298
-0.08833266492310421,6.64519703
-0.09121829430392947,6.78699839
-0.0942106097472366,6.90438561
-0.09731137597346207,7.002478310000001
-0.10050975259150108,7.08500157
-0.10379695180078352,7.15496657
-0.10715959468316494,7.214941410000001
-0.11058559336497065,7.26680307
-0.11406383989277091,7.31212803
-0.11758495543623537,7.35212675
-0.12114130387620681,7.38773627
-0.12472636663339176,7.41968336
-0.128335607006427,7.448534319999999
-0.1319653108145984,7.474727270000001
-0.13561237935884174,7.49860564
-0.1392741201348331,7.52043493
-0.1429492198650033,7.5404368999999996
-0.14663635516394136,7.55878497
-0.15033451673011977,7.57562026
-0.15404268738413118,7.59105814
-0.15776038474904142,7.605195370000001
-0.16148712269943566,7.618113790000001
-0.16522252030389262,7.629882800000001
-0.16896608442115424,7.64056195
-0.1727177557914048,7.65020393
-0.17647747477581177,7.6588546299999996
-0.18024518134997103,7.66655444
-0.18402059483043698,7.67333994
-0.18780387374876018,7.67924385
-0.1915951780643803,7.68429583
-0.19539433670399897,7.6885229
-0.19920162150228493,7.69195006
-0.20301697281248643,7.6946001
-0.206840553659547,7.69649423
-0.2106725285739337,7.69765237
-0.2145128395869098,7.69809269
-0.21836165285993014,7.69778185
-0.2222192486135981,7.69688884
-0.22608545865365892,7.69527618
-0.22996067840287804,7.6930096
-0.2338448539270397,7.69010272
-0.23773815793452524,7.686568879999999
-0.2416406510613367,7.6824205899999995
-0.24555250862272882,7.677669979999999
-0.24947379339811082,7.6723285
-0.2534046833911412,7.6664072800000005
-0.2573452436010166,7.65991706
-0.2612956548049925,7.65286791
-0.265255869011225,7.64526986
-0.26922618462145675,7.63713252
-0.27320655549078476,7.6284651000000006
-0.2771972834941314,7.61927656
-0.2811983244131975,7.60957559
-0.28520975043593166,7.59937057
-0.2892318684286874,7.5886698
-0.29326463679924886,7.57748119
-0.2973082486838672,7.565812520000001
-0.30136278152161045,7.5536711500000004
-0.30542831370283996,7.54106461
-0.30950504289424163,7.52800004
-0.31359293170361746,7.51448428
-0.31769229925081777,7.50052426
-0.32180322965392394,7.486126570000001
-0.3259256886266966,7.4712976200000005
-0.3300600010778829,7.45604381
-0.33420613520159703,7.4403711
-0.33836442021723667,7.42428574
-0.3425348269118895,7.40779356
-0.34671744701639096,7.39090007
-0.3509126160206064,7.37361106
-0.3551204299402342,7.35593193
-0.35934086416464917,7.337868070000001
-0.3635742607744157,7.319424519999999
-0.3678204755603629,7.30060662
-0.37208010025062976,7.28141899
-0.37635287084908753,7.26186665
-0.38063913842528607,7.241954499999999
-0.38493913427388127,7.22168699
-0.38925272000850497,7.201068599999999
-0.3935802541054221,7.180103890000001
-0.3979218495965935,7.15879718
-0.40227762111185283,7.137152769999999
-0.4066476849108356,7.11517479
-0.41103215891573197,7.092867350000001
-0.4154312889621985,7.07023454
-0.4151201938317215,5.48766543
-0.41480979059293954,3.90350507
-0.41449982655314743,2.31776759
-0.4141398548421744,0.74272984
-0.4134453681010539,-0.73279205
-0.4120680115319799,-1.87680167
-0.409958365324983,-2.58271104
-0.4076790524520506,-3.12566039
-0.4052473546032287,-3.55828592
-0.40265683085944226,-3.90953936
-0.39990087807036145,-4.19759288
-0.3969823456992123,-4.43567085
-0.3939139500014328,-4.634418579999999
-0.390714319954347,-4.80260613
-0.3874049485379165,-4.94737848
-0.38400891091565725,-5.07425633
-0.3805465119368201,-5.18761373
-0.3770345659873098,-5.29069464
-0.37348704278139855,-5.38589243
-0.3699143580780795,-5.4749612800000005
-0.36632500172157867,-5.559169310000001
-0.3627255575194488,-5.63953742
-0.35911950465611286,-5.71661809
-0.3555110216240427,-5.79099394
-0.3519026727768775,-5.8630642900000005
-0.3482957891922658,-5.93306563
-0.3446945901133531,-6.00144333
-0.3410973506561634,-6.06819034
-0.3375062105379161,-6.13351754
-0.33392161048766966,-6.197481300000001
-0.3303445864490482,-6.26034315
-0.32677485077470814,-6.32212263
-0.3232134303972971,-6.382883799999999
-0.31966039146843883,-6.44269798
-0.31611615602500653,-6.501617820000001
-0.3125803130222762,-6.55978997
-0.30905186359841297,-6.617021759999999
-0.3055326500637434,-6.6735792400000005
-0.3020216726942597,-6.72943241
-0.29851982086184736,-6.7845998
-0.2950268037297479,-6.839197240000001
-0.2915404599464464,-6.89304085
-0.28806320210119907,-6.94636322
-0.2845942753972168,-6.9991175199999995
-0.28113328032683116,-7.0513309600000005
-0.2776807496866325,-7.10302089
-0.2742357055495672,-7.1542127
-0.27079821883043387,-7.20492405
-0.2673683599795369,-7.2551720500000005
-0.26394642939798674,-7.30496353
-0.2605334150953058,-7.35429389
-0.25712960894965,-7.40317821
-0.2537342699348417,-7.45163857
-0.2503481489164765,-7.49967572
-0.24697130656683197,-7.547382440000001
-0.2436049419336206,-7.59449925
-0.24025104063107916,-7.64134624
-0.23690635529476212,-7.6876456399999995
-0.23357343769971584,-7.7336285799999995
-0.2302506392146937,-7.7792474700000005
-0.22693733895273738,-7.82451977
-0.2236322452825259,-7.86947385
-0.22033744771656227,-7.91408994
-0.21705221613194747,-7.9583831499999995
-0.21377537806691294,-8.00237995
-0.21050834033796062,-8.04607408
-0.20724971064010145,-8.08948175
-0.20399977728286456,-8.1326064
