Radial elongation [mm],Load [kN]
0.0,0.0
-0.000304323153145436,2.9407497400000002
-0.0015395925863328497,5.54416893
-0.004772794892772048,6.76865017
-0.008517737965010097,7.52650799
-0.01230636163416765,7.967722370000001
-0.016155348823905458,8.26818595
-0.020043838869153285,8.51132354
-0.02399746963724758,8.71430973
-0.028026876450898408,8.88691726
-0.032130898662210416,9.03542127
-0.03627048705785341,9.1633749
-0.040412084136054904,9.27394994
-0.044584136302459054,9.37093067
-0.04882865949707016,9.45710279
-0.05317407044183842,9.53435087
-0.057635358641431766,9.603970369999999
-0.06221156985598664,9.66676233
-0.06689938182204291,9.72336102
-0.07169867499915883,9.77420308
-0.07660352501102885,9.81992792
-0.08161453299916799,9.86082209
-0.08673138320830653,9.89720198
-0.09195440306055569,9.929332800000001
-0.09728509755139614,9.95743474
-0.10272490133876477,9.981687809999999
-0.10827581291563537,10.002240610000001
-0.11393446561366805,10.019391330000001
-0.11971161786283435,10.03289472
-0.1256054844297052,10.04299299
-0.1316178121165894,10.0497458
-0.1377491039067802,10.053199269999999
-0.14399256467006571,10.05339446
-0.15034165316942927,10.050371199999999
-0.156799414062593,10.04416953
-0.16336786481342447,10.034814780000001
-0.17004961815900588,10.022325709999999
-0.1768474556417392,10.00671275
-0.18376389200082244,9.987979439999998
-0.19080205615858592,9.96612361
-0.19796448425676139,9.94113761
-0.20525388982173864,9.91300939
-0.21267305732834663,9.88172305
-0.2202243961667527,9.84726059
-0.2279103860131677,9.80960188
-0.23573290004035963,9.76872638
-0.2436939902169668,9.724614149999999
-0.2517948632954998,9.67724796
-0.2600364371631225,9.62661433
-0.268419103824485,9.57270617
-0.2769421367812397,9.5155249
-0.2856042463888333,9.45508378
-0.29440297842661556,9.39141043
-0.30333456450601326,9.32455075
-0.31239388481790575,9.25457197
-0.32157418990293163,9.181567220000002
-0.3308676505441517,9.105656960000001
-0.34026423789809246,9.02699306
-0.34975226102260626,8.945759299999999
-0.3593192876126081,8.862170910000001
-0.36895162548745986,8.77647172
-0.3786350194974606,8.68892823
-0.38835549825651694,8.5998219
-0.3981001279730372,8.50943832
-0.4078572928283093,8.4180558
-0.4176172397299065,8.32593413
-0.427373152969847,8.23330542
-0.4371199662162166,8.14036699
-0.4468551902671791,8.04728171
-0.45657718042008977,7.95418057
-0.46628490259761746,7.86116961
-0.4759782153787957,7.7683355899999995
-0.4856569741303658,7.675750079999999
-0.49532116383595004,7.583473339999999
-0.5049710370698499,7.49155605
-0.514606853388639,7.40004199
-0.5242287440121354,7.30896911
-0.5338372532355078,7.218370299999999
-0.5434321162403724,7.12827458
-0.5530140290935783,7.03870762
-0.5625830110924666,6.9496918999999995
-0.5721390824033314,6.86124779
-0.5816825461131772,6.77339306
-0.5912134299334053,6.68614378
-0.6007321914658366,6.5995136
-0.6102385816263283,6.513514809999999
-0.6197330692942036,6.42815768
-0.6292155530500063,6.34345057
-0.6386866635487625,6.259399709999999
-0.6481460138017863,6.176009710000001
-0.657594249118397,6.09327988
-0.6670314332288252,6.0112248
-0.6764579341781389,5.92983267
-0.6858739786458834,5.8491062000000005
-0.6952805665584652,5.769041339999999
-0.7046785727086886,5.6896312600000005
-0.7140688976465339,5.6108651499999995
-0.7234530952604992,5.53272999
-0.7328324499104311,5.45521074
-0.7422079663155756,5.3782924
-0.7515806794189703,5.30196156
-0.7609519783317518,5.22620508
-0.7703228065870296,5.15101023
-0.77969397280846,5.0763671100000005
-0.7890658151658283,5.00226906
-0.7984386823802958,4.9287085500000005
-0.8078129341416258,4.855692339999999
-0.8171894488127018,4.78320508
-0.8265686215206276,4.71124299
-0.8359517192143617,4.63979454
-0.8453400500580268,4.56884501
-0.8547347905397633,4.49837982
-0.8641368040120323,4.42838412
-0.8735478705244506,4.35884317
-0.8829687560323123,4.28974351
-0.8924006139402207,4.22107265
-0.901844091214731,4.15282078
-0.91129949021781,4.08498176
-0.9207671242961508,4.01755265
-0.9302465704658853,3.9505344100000004
-0.9397381455508267,3.88393023
-0.9492410362028787,3.81774269
-0.9587557443135639,3.75198336
-0.9682825968318651,3.68665558
-0.9778217376602063,3.6217534799999997
-0.987373711579637,3.55728823
-0.9969390846015382,3.49325871
-1.00651844506302,3.42966599
-1.016111388418384,3.3665139600000002
-1.0257179053272099,3.3038112500000003
-1.0353371573445984,3.24155851
-1.0449686916126781,3.17976586
-1.0546109795433418,3.1184400500000002
-1.0642628574220216,3.0575873700000002
-1.0739226814136953,2.99721255
-1.0835885203687157,2.93733019
-1.093259463793528,2.87795107
-1.1029332243361145,2.81908309
-1.1126076403303893,2.76074164
-1.1222786319110147,2.70295537
-1.1319419374258424,2.64573516
-1.1415919385280682,2.5891147599999997
-1.1512229974840271,2.5331057
-1.1608306487960847,2.4777271599999997
-1.170410945105952,2.42299004
-1.1799595131946226,2.36889982
-1.1894737511961746,2.31545654
-1.1989496894701306,2.26265882
-1.2083836787938238,2.2105039200000003
-1.2177729229948633,2.1589912
-1.2271139799427084,2.10812654
-1.2364042954547219,2.0579223499999997
-1.2456409343025037,2.0083946900000003
-1.2548205585229821,1.95957648
-1.263941578405627,1.9115081299999999
-1.2730042641115422,1.86424235
-1.2820108635919345,1.81783903
-1.2909626243984031,1.7723668399999999
-1.2998642988677123,1.7278874499999999
-1.3087194491380507,1.68446258
-1.3175391586325262,1.64212705
-1.3263309417822429,1.6009034
-1.335115348349806,1.56079127
-1.34391281067224,1.52177174
-1.3527464175456425,1.48381127
-1.3616411667408368,1.44686302
-1.3706193520610914,1.410887
