Radial elongation [mm],Load [kN]
0.0,0.0
-0.00025541630937286897,1.35884107
-0.0005109652713770618,2.7167609699999997
-0.0007962585069023476,4.06155196
-0.0021238276609834017,4.91618611
-0.004045090689671849,5.31127678
-0.005928587036061028,5.61714596
-0.0078002108222177124,5.869604570000001
-0.009679121347514918,6.08300343
-0.011578616087626115,6.26575333
-0.013507513228403933,6.42361696
-0.01547123981535603,6.56086983
-0.017472522258518586,6.68086363
-0.019512080319599612,6.786309419999999
-0.02158871818825303,6.879445179999999
-0.023700731164432165,6.96215189
-0.02584499088850678,7.03600678
-0.02801855992506863,7.10235818
-0.030216357058471255,7.1622566
-0.032433381051609755,7.216612850000001
-0.03466389642890855,7.26615257
-0.03690417961832537,7.31155627
-0.03915436609609668,7.35349914
-0.04141377519395384,7.3924474899999995
-0.04368110983919604,7.428877190000001
-0.04595568115766624,7.4630024299999995
-0.048235772435615054,7.49514913
-0.050520992675222365,7.52553988
-0.05281064094937071,7.55426753
-0.055103704564173794,7.58155799
-0.05739998970451987,7.6075497
-0.05970012626913768,7.6322656900000005
-0.06200319917704711,7.655879270000001
-0.06430942555376373,7.67844137
-0.06661798911854988,7.70001026
-0.06892920896203303,7.72064886
-0.07124309463322986,7.74040795
-0.0735594481012396,7.759329370000001
-0.07587807039158756,7.77745036
-0.07819980226871648,7.79481182
-0.0805241340407532,7.81143997
-0.08285128380712203,7.82736554
-0.08518126184226005,7.842611880000001
-0.08751386933133554,7.85720167
-0.0898493253148851,7.87115711
-0.09218805958239162,7.8844979
-0.09453018916593692,7.89724301
-0.09687562151077467,7.909407890000001
-0.09922468450371547,7.9210091
-0.10157728627157447,7.93206032
-0.1039335454684085,7.942574120000001
-0.10629368697255481,7.95256496
-0.1086580425528545,7.96204498
-0.11102662803310004,7.97102517
-0.11339956535571627,7.97951581
-0.11577697710700918,7.98752757
-0.11815898652410062,7.99507014
-0.12054593032976735,8.00215253
-0.12293761424932925,8.0087835
-0.12533437648203516,8.01497135
-0.1277362365307606,8.02072416
-0.13014342796031553,8.0260494
-0.13255597138762965,8.03095479
-0.1349739948193751,8.0354473
-0.1373977343512114,8.03953353
-0.1398273198436657,8.0432202
-0.14226266657527709,8.04651334
-0.14470390503294595,8.04941945
-0.14715127438854303,8.05194406
-0.14960479896860956,8.05409321
-0.15206461151911488,8.05587197
-0.15453073718362909,8.05728598
-0.15700330982391608,8.05834044
-0.15948224675772282,8.0590402
-0.16196779135946593,8.05939032
-0.1644597525523992,8.05938372
-0.16695848383076717,8.05906029
-0.16946379440339943,8.05838945
-0.17197571132109957,8.05738746
-0.1744943714137719,8.056058519999999
-0.1770198026308678,8.05440707
-0.179551923289214,8.05243718
-0.18209087135797675,8.05015302
-0.1846365653126094,8.04755879
-0.18718903357244665,8.04465807
-0.18974830479294957,8.0414551
-0.192314407868448,8.0379537
-0.19488737193492556,8.0341576
-0.19746711541786288,8.030070499999999
-0.20005366746672126,8.02569611
-0.20264705747591139,8.02103804
-0.2052472036517119,8.01609989
-0.20785424699886645,8.01088512
-0.21046810590031684,8.00539727
-0.21308881026504278,7.99963986
-0.2157163902563024,7.99361604
-0.21835076403911646,7.9873293599999995
-0.22099207421664357,7.98078284
-0.2236401265509289,7.97397999
-0.2262950639973964,7.96692383
-0.2289569175200734,7.95961773
-0.23162549215388206,7.9520645299999995
-0.2343010449116758,7.94426752
-0.2369833806795807,7.93622963
-0.2396726440800847,7.92795377
-0.24236886691205872,7.9194431100000005
-0.2450718533227636,7.91070036
-0.24778174875388315,7.9017285
-0.2504985853106605,7.89253027
-0.25322239538056834,7.88310848
-0.2559530969609791,7.87346591
-0.2586906076173596,7.863605300000001
-0.2614351895888378,7.85352922
-0.26418676119808326,7.84324032
-0.266945240334282,7.83274136
-0.2697107756216015,7.82203465
-0.2724832851749306,7.81112274
-0.2752628026276003,7.80000816
-0.27804936191538876,7.78869336
-0.280842997280353,7.777180639999999
-0.2836436267488036,7.765472539999999
-0.28645151804800095,7.75357117
-0.2892663562085418,7.74147898
-0.2920885268843705,7.7291981299999994
-0.29491771459556837,7.7167309
-0.29775418931342346,7.70407924
-0.3005977521493035,7.69124551
-0.3034486745164473,7.67823173
-0.3063067574085325,7.66504002
-0.30917203713683516,7.6516722
-0.31204478732402374,7.638130589999999
-0.3149248087993224,7.624416989999999
-0.31781213890956894,7.61053337
-0.32070681535355483,7.59648156
-0.32360887618670553,7.58226349
-0.326518359825839,7.56788102
-0.32943518533401406,7.55333593
-0.33235951116555107,7.53863006
-0.3352913768469872,7.523765180000001
-0.33823058157877983,7.50874299
-0.34117740550714704,7.49356527
-0.3441317685274592,7.47823352
-0.34709346906729177,7.4627496
-0.3500629102902135,7.44711507
-0.3530397697576302,7.43133167
-0.3560243310802924,7.4154008000000005
-0.3590163925255072,7.39932421
-0.36201623939673944,7.38310337
-0.36502354757017996,7.36673975
-0.36803860339773964,7.350234830000001
-0.3710612043419188,7.33359041
-0.3740915154904936,7.3168077
-0.3771295800341914,7.29988814
-0.38017519465838534,7.28283335
-0.3832286494374042,7.26564458
-0.38628974100057234,7.24832334
-0.3893585128899728,7.23087098
-0.39243500908983475,7.21328888
-0.39551927403287257,7.19557844
-0.3986113526067445,7.17774088
-0.4017111650267966,7.159777699999999
-0.40481863100147764,7.14169009
-0.40793392096935865,7.123479349999999
-0.4110570809497276,7.10514675
-0.41418790520440285,7.086693680000001
-0.4173264392174867,7.06812138
-0.42047285556721103,7.04943092
-0.42362707457911464,7.03062368
-0.4267890160566512,7.01170092
-0.42995885404235334,6.9926637000000005
-0.4331363811741624,6.97351343
-0.43632190013417405,6.9542509
-0.43951494720391504,6.93487777
-0.4427160824050098,6.91539491
-0.4459248409423693,6.89580347
-0.44914152805615437,6.87610473
-0.4523658054953683,6.8562997800000005
-0.4555974617995475,6.8364633800000005
-0.4588379708804138,6.81637544
-0.4620858281425455,6.7962587899999995
-0.4653416015282099,6.776039689999999
-0.4686050803270896,6.75572005
-0.4718763139064954,6.735300629999999
-0.4751554833360878,6.71478266
-0.4784423770359534,6.69416694
-0.4817370451730043,6.67345477
-0.4850396704863853,6.6526471
-0.4883500405186392,6.63174478
-0.4916683388591223,6.610748940000001
-0.4949942192802048,6.589660729999999
-0.4983281317145214,6.56848087
-0.501669729332014,6.54721051
-0.5050190636666967,6.52585049
-0.5083763209173702,6.50440185
-0.5117414203170203,6.4828655600000005
-0.5151142804915929,6.46124256
-0.5184950894445202,6.4395337
-0.5218834957960858,6.41774001
-0.5252792806771853,6.39594487
-0.5286838545030508,6.37390172
-0.5320957796913315,6.35185918
-0.5355155173235873,6.329734859999999
-0.5389431222570422,6.307530300000001
-0.5423785127818677,6.28524635
-0.545821744076745,6.26288361
-0.5492727341088539,6.2404432100000005
-0.5527309856146301,6.21801175
-0.5561980745268413,6.19533248
-0.559672537233286,6.1726642
-0.5631549840014058,6.149920809999999
-0.5666450544265038,6.12710414
-0.5701429442073589,6.10421464
-0.573648710870986,6.081253139999999
-0.5771624126415553,6.05822049
-0.5806838266263574,6.035117430000001
-0.5842130103719698,6.01194483
-0.5877501637458051,5.98870342
-0.591295062832532,5.96539393
-0.5948479085878282,5.94201721
-0.5984077625785738,5.91866588
-0.6019768242264365,5.89506532
-0.6055531562658976,5.87149167
-0.6091365271889551,5.8479465799999995
-0.6127290098902811,5.82415187
-0.6163289408244459,5.80038776
-0.6199357985948626,5.776655910000001
-0.623552107778867,5.75267379
-0.6271756121047383,5.728725720000001
-0.6308068069114572,5.70471742
-0.6344451677065472,5.68074674
-0.638092954713869,5.65652481
-0.6417478879088758,5.63234173
-0.6454098774906114,5.60819918
-0.6490812015520695,5.58380482
-0.6527598580802307,5.559452830000001
-0.6564462050219202,5.53504536
-0.6601406043916398,5.51058411
-0.6638429732999194,5.48606919
-0.6675530779802146,5.46150143
-0.6712703811534868,5.43698316
-0.6749969056639904,5.41221076
-0.6787309130990766,5.38748891
-0.6824727706798619,5.36271657
-0.6862223932491465,5.337895110000001
-0.6899801528221035,5.313024830000001
-0.6937456602942902,5.28810656
-0.6975182150985757,5.26324611
-0.7013004966505918,5.23812918
-0.7050898100640337,5.21307096
-0.7088871466831415,5.18796711
-0.712692422146129,5.16281885
-0.7165046162919011,5.1377344
-0.7203264478782099,5.112391789999999
-0.7241554953678719,5.0871138899999995
-0.7279926100843597,5.0617938
-0.7318375498383498,5.03643267
-0.7356905442100024,5.01103101
-0.739550397675496,4.98570045
-0.7434198791959186,4.96010947
-0.747296683168756,4.93459042
-0.7511815183942863,4.9090333600000005
-0.7550741387536366,4.8834395100000005
-0.7589736505617617,4.85792306
-0.7628828673080306,4.83214422
-0.7667994485891598,4.80644356
-0.7707239528893437,4.78070842
-0.7746562931160905,4.75494006
-0.7785967086993748,4.72913886
-0.7825451137721777,4.7033056900000005
-0.7865012566961596,4.67744116
-0.7904655441038484,4.65154603
-0.7944375586474173,4.6256211
-0.7984173769565408,4.599667070000001
-0.8024052438324556,4.57368476
-0.8064010723865407,4.54767487
-0.8104047747237717,4.52163822
-0.814415081067577,4.4956973200000006
-0.8184342591290148,4.46961078
-0.8224612108299787,4.4434999
-0.8264973796365003,4.41724233
-0.8305404667112248,4.39108326
-0.8345902008306263,4.3650268599999995
-0.8386487180874171,4.33882607
-0.8427149011587507,4.31260475
-0.8467903919928521,4.28623774
-0.8508711125378494,4.26010303
-0.8549606120311843,4.2338253
-0.8590591601664879,4.207402920000001
-0.8631645677583759,4.1810902500000005
-0.8672763796936165,4.154892090000001
-0.8713967924908241,4.128551819999999
-0.8755262564203645,4.1020680899999995
-0.8796625508356868,4.0756998
-0.8838052141315118,4.0494518699999995
-0.8879579144654639,4.02293077
-0.8921157100129995,3.99666239
-0.8962822824653036,3.97025374
-0.9004560945555653,3.9438368099999996
-0.9046375942182423,3.91741252
-0.9088263199655153,3.89098209
-0.9130225393321167,3.86454647
-0.9172259700195984,3.8381068799999998
-0.92143836522895,3.81152764
-0.9256568518392274,3.78508082
-0.929882997051257,3.7586334299999997
-0.9341146403106946,3.7323253100000002
-0.9383548615474189,3.70588033
-0.9426039530998802,3.67929738
-0.9468578443533844,3.6529953099999997
-0.951119835252854,3.6265581499999997
-0.9553905993147487,3.59998404
-0.9596658229203465,3.57369745
-0.9639490360025718,3.54727716
-0.9682407257504297,3.5207216199999998
-0.9725380785644657,3.49431599
-0.9768405793816879,3.4680670100000004
-0.981150649016254,3.4416857100000002
-0.9854689753388515,3.4151713800000003
-0.989792694542353,3.38881393
-0.9941212796763221,3.36262037
-0.9984593867446012,3.3361493799999997
-1.0028009225836598,3.3099895700000004
-1.007152176816608,3.2835531000000002
-1.0115070055888102,3.25743224
-1.0158693176208762,3.2311843199999997
-1.0202402335266054,3.20480726
-1.0246161781124314,3.1786002
-1.0289968074202844,3.15257058
-1.0333846680297274,3.12641484
-1.0377788196053883,3.1002852499999998
-1.0421808103822519,3.0740297500000002
-1.0465852948480394,3.0481089000000003
-1.0509965226617974,3.02206668
-1.055415223497647,2.99590177
-1.0598374608611554,2.96992353
-1.06426221621653,2.94414125
-1.0686925319745362,2.91824282
-1.0731267616335014,2.8923872200000003
-1.0775671298137737,2.8664196
-1.082008061037571,2.84081439
-1.0864563502492066,2.81494351
-1.0909048454644585,2.78943956
-1.0953581924319438,2.76382986
-1.0998171296897503,2.73811267
-1.1042783914630618,2.71260425
-1.1087431346687984,2.68714933
-1.1132111863583303,2.66174624
-1.117681010064954,2.63655779
-1.1221555946524464,2.611261
-1.1266336393013527,2.58601806
-1.1311170389517353,2.56066839
-1.1355996298010973,2.5357009899999996
-1.140086283398154,2.51063504
-1.1445749594499819,2.48563629
-1.149064749819353,2.46071063
-1.1535551996733633,2.4358647
-1.158044894308491,2.4111054600000004
-1.1625328663165346,2.38643977
-1.1670183675494399,2.3618731
-1.1714999094749596,2.33741064
-1.175979611902715,2.31288922
-1.180452319873944,2.28864664
-1.1849144830142053,2.26469349
-1.1893674075143537,2.24070004
-1.1938057306083105,2.21684046
-1.1982289603633716,2.19312066
-1.2026401063509653,2.1693754
-1.2070336703238906,2.1461145
-1.2114172205785874,2.12266633
-1.2157877838237918,2.0995391199999998
-1.2201461675416345,2.07673949
-1.224497582208798,2.05393017
-1.2288452814123483,2.03111473
-1.2331876370323704,2.00863136
-1.2375279677260282,1.9863175499999999
-1.2418691405832367,1.96417597
-1.2462132927677751,1.9422101600000001
-1.2505631447546763,1.9204246900000002
-1.2549190647989976,1.89899415
-1.259288180194213,1.87758663
-1.2636726271555565,1.8563768500000002
-1.2680762334778302,1.83537436
-1.272500446735532,1.81458477
-1.2769473048248834,1.7940112400000001
-1.2814208463919927,1.7734913799999998
-1.2859182119672843,1.7533464799999998
-1.2904407001525524,1.73341469
-1.294989645466111,1.71369152
-1.2995649923083512,1.69417344
-1.3041672614773003,1.67485739
-1.3087969907472914,1.6557398
-1.3134509485841526,1.63696892
-1.3181378438423201,1.61808718
-1.3228506811640435,1.5995419199999998
-1.3275914932126454,1.58118306
-1.3323602767959355,1.56300642
-1.337156126980116,1.54500969
-1.3419790276898464,1.52719164
-1.346828047142255,1.50955204
-1.351702228910202,1.49209173
-1.356599347218236,1.47481307
-1.3615174238869159,1.4577197100000001
-1.366453790162075,1.44081671
-1.3714006045182674,1.42425404
