Radial elongation [mm],Load [kN]
0.0,0.0
-0.00018075653458515806,1.55850629
-0.00036165115831210404,3.1163442100000003
-0.0005554367019858231,4.66525829
-0.0010375903187340163,6.03332185
-0.0022747849292950595,6.85834192
-0.00379650769413431,7.2964214599999995
-0.005272434713561869,7.6556653599999995
-0.006718402386124422,7.9682916100000005
-0.008143764179000534,8.247566070000001
-0.009554633203129326,8.50081954
-0.010955504616279588,8.73268706
-0.012349878901777855,8.946471229999998
-0.013740258943165107,9.14461693
-0.01512865021144394,9.32903059
-0.016516559346529402,9.50123
-0.017905118654808483,9.662465560000001
-0.019294707144760226,9.81374946
-0.020683814032586845,9.95555437
-0.02206562839126014,10.08739919
-0.023435090695178296,10.20944709
-0.024796346762553656,10.32367453
-0.02615216211667548,10.431320770000001
-0.027505813960324033,10.53341502
-0.028858816255129538,10.630543190000001
-0.03021192710791487,10.7231579
-0.0315662860834201,10.811651540000002
-0.032922401909498133,10.896346
-0.034280911174186524,10.977533240000001
-0.03564219825935189,11.055476109999999
-0.03700664840523782,11.130400600000002
-0.03837490161478885,11.20252139
-0.0397465831748145,11.27199863
-0.04112220718474918,11.33901693
-0.042501907426986396,11.40372356
-0.04388556353739914,11.466253329999999
-0.04527356412165562,11.5267366
-0.04666591655355656,11.58529158
-0.04806237334633645,11.642017130000001
-0.049462813993633725,11.69700976
-0.050868010906721384,11.75037389
-0.05227720625884613,11.802174
-0.053690662446795046,11.85250062
-0.055108003407921546,11.90141414
-0.05652987536168136,11.94899183
-0.057955646389689364,11.99528881
-0.05938532332528973,12.04035659
-0.06081904115336295,12.08425456
-0.06225667881132324,12.12701727
-0.06369824323832984,12.16872763
-0.06514386975328662,12.20938452
-0.06659305191260706,12.249065360000001
-0.06804618156511871,12.2877712
-0.06950288006753652,12.325575500000001
-0.07096353979607783,12.362468940000001
-0.07242765298333481,12.39852485
-0.07389561230354308,12.433729020000001
-0.07536742474246211,12.468140960000001
-0.07684296835718862,12.501777830000002
-0.07832199188248817,12.53465613
-0.07980463082006534,12.5668022
