Radial elongation [mm],Load [kN]
0.0,0.0
-0.0003481492415788323,2.9995292300000003
-0.0009312984633655375,5.850034190000001
-0.0034669038845089317,7.20509267
-0.006294549270102756,7.87738565
-0.009030936563041159,8.40785114
-0.011723990390133665,8.85179924
-0.014399091768752814,9.2333785
-0.017070404743622092,9.566602150000001
-0.019745224780325088,9.860598540000002
-0.022408049133191,10.11861309
-0.025032828500547444,10.342913280000001
-0.027640297205926423,10.54331268
-0.03024596366358795,10.72539446
-0.032856155389394404,10.892171280000001
-0.03547519793368675,11.0458794
-0.038106039042298534,11.188280570000002
-0.04075074972055753,11.32077198
-0.04341001080766432,11.44454739
-0.046084124302546436,11.56058978
-0.04877415871160501,11.66967206
-0.05148003888063024,11.77251891
-0.05420130632138892,11.86971554
-0.05693788453915882,11.96178271
-0.059689440870281385,12.04916019
-0.062455256820913296,12.13222568
-0.06523589438319516,12.211327939999999
-0.06803050491993229,12.28675136
-0.0708390080112023,12.35875323
-0.07366119430941787,12.427559559999999
-0.07649736950833902,12.49337427
-0.07934693729150843,12.55636772
-0.08220994501176748,12.616695750000002
-0.08508669927883322,12.6745033
-0.08797699015950511,12.72991078
-0.09088216352956285,12.78299351
-0.09380032520158454,12.83397475
-0.09673321289541376,12.88281898
-0.09968127116418146,12.92960524
-0.10264377386254936,12.97449825
-0.10562142717572748,13.01752206
-0.1086140263437188,13.05873266
-0.11162175838917848,13.098241739999999
-0.11464677668065276,13.13594953
-0.11768796649137492,13.17205862
-0.12074604655156668,13.20656097
-0.12382160812787452,13.239498170000001
-0.12691511424475166,13.27090951
-0.13002716260291286,13.300829530000001
-0.1331578263432942,13.32928951
-0.1363077082665773,13.356320369999999
-0.13947715007882194,13.381949539999999
-0.14266649580505886,13.406203569999999
-0.1458762245795145,13.4291071
-0.14910668574688396,13.4506826
-0.15235796489328463,13.47095209
-0.15563068182506717,13.48993627
-0.15892505993507333,13.507654570000001
-0.1622414581484255,13.52412528
-0.1655802380462934,13.539366
-0.1689416298599472,13.55339339
-0.17232586580509524,13.56622366
-0.17573344902096055,13.57787152
-0.17916434769714912,13.588352259999999
-0.1826186653897463,13.59768015
-0.18609664203536797,13.60586851
-0.18959797870587047,13.612931560000002
-0.19312278176752545,13.618882170000001
-0.19667102327956626,13.62373366
-0.2002424040782036,13.62749923
-0.2038368960372175,13.63019161
-0.20745447155350927,13.63182385
-0.2110948304920976,13.63234722
-0.21475780824001062,13.63196619
-0.2184429658673881,13.63048773
-0.22215041102359,13.62800801
-0.2258795656342208,13.62453292
-0.22963026138912768,13.62007577
-0.23340232948147577,13.61464951
-0.23719546248466256,13.60826792
-0.2410092131661981,13.60094401
-0.24484382469860844,13.5926917
-0.24869843201760278,13.583524579999999
-0.2525731380087137,13.573455970000001
-0.25646748964941457,13.56250009
-0.2603813103566044,13.55067057
-0.2643141432660981,13.53798143
-0.2682656688127055,13.52444667
-0.2722358461901764,13.51008043
-0.2762240726637946,13.49489658
-0.28023016395843425,13.47890938
-0.28425379386537136,13.46213325
-0.2882946342245313,13.44458189
-0.29235249643426997,13.426269770000001
-0.29642690727083004,13.40721109
-0.3005176745424845,13.38741999
-0.30462446264881593,13.366910410000001
-0.308746933829869,13.34569659
-0.31288489100367634,13.32379256
-0.31703799277220585,13.30121218
-0.3212060388829788,13.2779693
-0.32086757515748965,10.70910705
-0.3205297375279467,8.13805424
-0.32019238234196473,5.5648163
-0.3198158047999705,3.0074267
-0.3190857708291231,0.63394093
