Radial elongation [mm],Load [kN]
0.0,-0.0
0.013632264,30.470121093752002
0.049047864,36.340097656248
0.084293016,39.7004765625
0.11965017,42.04671875
0.15587224,43.7694453125
0.193717092,45.0356875
0.233471424,45.928328125
0.275490016,46.500703125
0.320138574,46.784808593752004
0.367107004,46.8042890625
0.36545828,7.942126464844
0.356822968,-15.383525390624
0.338459342,-25.7504921875
0.312469184,-31.7735390625
0.282584906,-35.922269531248
0.251507044,-39.223636718752
0.219456374,-42.0471953125
0.186789424,-44.525355468752004
0.153443456,-46.749269531248
0.119491376,-48.771386718752
0.12092729,-7.720441406248
0.127929166,19.500708984376
0.143563136,30.8123046875
0.169317306,37.004578125
0.203257844,40.437183593752
0.240601048,42.610941406247996
0.280066132,44.073765625
0.321596712,45.030535156248
0.365341694,45.586363281248
0.411487668,45.8051875
0.40988335,7.095933105467999
0.400318086,-18.753519531248
0.380001098,-29.021609375
0.350787342,-34.715371093752
0.317806662,-38.648417968752
0.283546984,-41.7745078125
0.248463764,-44.415785156248
0.212577478,-46.722796875
0.175878748,-48.783214843752
0.138859122,-50.6378359375
0.140280172,-9.671699218752002
0.148048282,19.392353515624
0.164921194,30.830033203124
0.19240944,36.844015625
0.227351546,40.2343046875
0.265370548,42.422953125
0.305541128,43.889050781248
0.347763508,44.831671875
0.392192632,45.358957031247996
0.439021944,45.538234375
0.43742001,6.975205078124
0.426751136,-19.565037109376
0.403500258,-30.052416015624
0.372116774,-35.523625
0.33785364,-39.3419140625
0.302473754,-42.411050781248
0.266148866,-45.018582031248
0.228948072,-47.299839843752004
0.190874516,-49.337238281248
0.152252912,-51.178144531248
0.153663098,-10.267845703124
0.162075758,19.5484609375
0.180439532,31.235839843752
0.20941548,37.019890625
0.245223702,40.300410156248
0.283905298,42.433535156248
0.324677706,43.854589843752
0.36753416,44.7528203125
0.412610442,45.233605468752
0.46005115,45.364265625
0.458450376,6.9138515625
0.447214932,-19.734947265624
0.42177564,-30.451957031248
0.389043868,-35.860140625
0.35408163,-39.6291171875
0.317999036,-42.6641796875
0.280988246,-45.251988281247996
0.2430228,-47.520371093752004
0.204230726,-49.54703125
0.164767772,-51.385839843752
0.166167826,-10.525308593752001
0.174982354,19.601521484376
0.194682554,31.556552734376
0.224718094,37.183113281248
0.261163712,40.3695
0.300314992,42.445078125
0.34155497,43.8204921875
0.38489151,44.676511718752
0.430461436,45.1159921875
0.478351384,45.205488281248
0.47675082,6.851051269532
0.465218156,-19.742800781248
0.438422948,-30.574044921876002
0.404502838,-36.004949218752
0.368943722,-39.767128906248
0.332410008,-42.779777343752
0.294896066,-45.350613281248
0.25644371,-47.6073671875
0.217159718,-49.627058593752004
0.177124486,-51.465003906248
0.178515508,-10.65390625
0.187578484,19.5885703125
0.208487884,31.769136718752
0.23937282,37.3071484375
0.276303082,40.418003906247996
0.3158333,42.441050781248
0.357450544,43.7743359375
0.40117529,44.591703125
0.447151452,44.994261718752
0.49541238,45.0476015625
0.493810744,6.7821000976559995
0.482067584,-19.708431640624
0.454390198,-30.578244140624
0.419556946,-36.0444921875
0.383362054,-39.8241328125
0.346449316,-42.8271328125
0.30856797,-45.382386718752
0.269762754,-47.628421875
0.230111986,-49.641734375
0.189660876,-51.4781171875
0.228506252,33.532886718752
0.34994942,43.062390625
0.499132782,44.8734296875
0.666436016,43.322808593752
0.85318935,39.42571875
1.041909456,34.9015
1.22191012,30.483564453124
1.395430446,26.307390625
1.563043236,22.456857421876002
1.724291324,18.937412109376
