Elongation [mm],Lode angle
0.0,1.0
0.0192,1.0000005451714102
0.0384,1.0
0.0576,1.0
0.0768,0.9999999999999999
0.096,1.0
0.1152,0.9999997855037676
0.1344,0.9999997932503175
0.1536,0.9999999999999999
0.1728,1.0
0.192,0.9999998089215782
0.2112,0.9999998126784189
0.2304,0.9999999999999999
0.2496,0.9999998188511033
0.2688,1.0
0.288,0.9999996477832216
0.3072,1.0000006953352298
0.3264,1.0000003433061724
0.3456,0.9999996609176652
0.3648,0.9999996650666126
0.384,1.0
0.4032,0.9999996731737235
0.4224,0.9999996771560045
0.4416,0.9999999999999999
0.4608,1.0
0.48,1.0
0.4992,1.0
0.5184,1.0
0.5376,0.9999994008955199
0.5568,1.0000000000000002
0.576,0.9999997079931137
0.5952,1.0
0.6144,1.0000002846805978
0.6336,1.0000005623212216
0.6272,1.000000351428304
0.608,1.0
0.5888,0.9999981637915271
0.5696,-0.9999995285717389
0.5504,-1.0
0.5312,-1.0000002730390807
0.512,-1.0
0.4928,-1.0000004397910665
0.4736,-0.9999995860151819
0.4544,-1.0000003966650857
0.4352,-1.0
0.416,-1.0000003759038876
0.3968,-0.9999996306884503
0.3776,-1.000000546150766
0.3584,-1.0
0.3392,-0.9999996437469936
0.32,-0.9999996468464563
0.3008,-1.0
0.2816,-1.0
0.2624,-1.0
0.2432,-0.9999996564471245
0.224,-1.0
0.2048,-0.9999996602412474
0.1856,-0.999999323912636
0.1664,-0.9999996635672551
0.1472,-1.0
0.128,-1.0000000000000002
0.1088,-1.0
0.0896,-1.0000006617286117
0.0704,-1.000000329658908
0.0512,-0.9999993429646956
0.032,-1.0
0.0128,-1.0
0.0064,-0.9999998191124215
0.0256,-1.0000000000000002
0.0448,-0.9999994450941225
0.064,1.0
0.0832,0.9999999999999999
0.1024,1.0000000000000002
0.1216,1.0000005520074342
0.1408,1.0
0.16,1.0000000000000002
0.1792,1.0
0.1984,1.0
0.2176,0.9999998071687947
0.2368,1.0000000000000002
0.256,1.0
0.2752,1.000000336030544
0.2944,1.0000000000000002
0.3136,1.0
0.3328,0.9999996869373522
0.352,1.0
0.3712,1.0
0.3904,1.0000003021307646
0.4096,1.000000299209737
0.4288,0.9999999999999999
0.448,1.0000005866592407
0.4672,1.0000002902730531
0.4864,1.0
0.5056,0.9999994320764928
0.5248,1.0000002807789576
0.544,0.9999991670602809
0.5632,0.9999997253813526
0.5824,0.9999997282416262
0.6016,0.9999994617624959
0.6208,0.9999999999999998
0.64,1.0
0.6208,1.0
0.6016,1.0
0.5824,-0.9999996679809127
0.5632,-1.0
0.544,-0.9999999999999998
0.5248,-1.000000223097971
0.5056,-1.0000002013331706
0.4864,-0.9999998101015265
0.4672,-1.0000001833937802
0.448,-1.0000003579482
0.4288,-1.0
0.4096,-1.0000003451980886
0.3904,-1.0
0.3712,-1.0
0.352,-1.000000332067083
0.3328,-0.9999993425413606
0.3136,-1.0
0.2944,-1.0
0.2752,-1.0000003208468669
0.256,-0.9999993624546347
0.2368,-0.9999996830834116
0.2176,-1.0
0.1984,-1.0
0.1792,-1.0
0.16,-1.0
0.1408,-1.0
0.1216,-1.0000003090821046
0.1024,-1.0000003081154554
0.0832,-1.0
0.064,-1.0
0.0448,-1.0
0.0256,-1.0
0.0064,-1.0000000000000002
0.0128,-0.9999999999999999
0.032,-0.9999997154030333
0.0512,-1.0000000000000002
0.0704,1.000000308599828
0.0896,0.9999996425818867
0.1088,1.0000002985570633
0.128,1.000000522635273
0.1472,0.9999992933864359
0.1664,1.0
0.1856,1.000000398224752
0.2048,0.9999996258394367
0.224,1.0
0.2432,1.0
0.2624,1.0000003325729574
0.2816,0.9999996746878387
0.3008,1.000000639554245
0.32,0.9999999999999999
0.3392,1.0000003110417433
0.3584,0.99999938603556
0.3776,1.0
0.3968,0.9999994026190042
0.416,0.9999997055558976
0.4352,0.9999997098007107
0.4544,1.0000002860232218
0.4736,0.9999988720347103
0.4928,1.0
0.512,0.9999994506986718
0.5312,1.0
0.5504,1.000000268612265
0.5696,1.0000005322693217
0.5888,1.0000007920025322
0.608,1.0
0.6272,1.0
0.6336,1.0
0.6144,1.0
0.5952,0.9999995941416094
0.576,-1.0
0.5568,-1.0
0.5376,-0.999999773198558
0.5184,-0.9999997987134698
0.4992,-1.0
0.48,-1.0000000000000002
0.4608,-1.0
0.4416,-1.0000000000000002
0.4224,-1.0
0.4032,-0.9999996747546682
0.384,-0.9999996804863771
0.3648,-0.9999996852546273
0.3456,-1.0
0.3264,-0.9999996926987372
0.3072,-1.0000003043779526
0.288,-1.0000003018607473
0.2688,-0.9999997003193288
0.2496,-0.9999997022179931
0.2304,-0.9999997038802328
0.2112,-1.000000589313214
0.192,-0.999999706637967
0.1728,-1.0
0.1536,-0.9999994176325929
0.1344,-0.999999709737957
0.1152,-1.0000005788642459
0.096,-1.0000002886825023
0.0768,-1.0
0.0576,-0.9999997126021295
0.0384,-1.000000573676357
0.0192,-1.0
