Elongation [mm],Lode angle
0.0,1.0
0.006,0.9999995826141359
0.012,1.0000002088669488
0.018,1.0000000000000002
0.024,0.9999996020247816
0.03,0.999999697825393
0.036,1.0000005506739391
0.042,1.0
0.048,0.9999999999999999
0.054,0.9999995106916483
0.06,1.0
0.066,0.9999997686164771
0.072,1.0
0.078,1.0
0.084,1.0
0.09,0.9999995727896622
0.096,1.000000210257639
0.102,0.9999999999999998
0.108,0.9999997955466795
0.114,1.0
0.12,1.000000199592303
0.126,1.000000394905433
0.132,0.9999998045225515
0.138,1.000000580935844
0.144,1.0
0.15,1.0
0.156,1.0000001889290058
0.162,0.9999998124345504
0.168,1.0000003725741378
0.174,0.999999814916507
0.18,1.0000001839400023
0.186,1.0000003657278396
0.192,1.0000003636775818
0.198,0.9999998191436199
0.204,0.9999996401786733
0.21,0.9999998209996579
0.216,1.0000000000000002
0.222,0.9999996454458386
0.228,1.0
0.234,1.0
0.24,1.0
0.246,1.0
0.252,1.0
0.258,1.0
0.264,0.9999996562303285
0.27,1.0
0.276,1.0
0.282,0.9999996604431121
0.288,1.0000006763644773
0.294,1.0
0.3,1.0
0.306,1.0000000000000002
0.312,1.0
0.318,1.0
0.324,1.0
0.33,1.0
0.336,0.9999996722744667
0.342,0.9999999999999998
0.348,1.0000000000000002
0.354,1.0
0.36,0.9999996772333576
0.366,1.0000003215517186
0.372,1.0
0.378,1.0
0.384,1.0000000000000002
0.39,1.000000316788516
0.396,0.999999684377087
0.402,1.0000000000000002
0.408,1.0
0.414,0.9999999999999999
0.42,0.9999996889288427
0.426,0.9999996900420489
0.432,0.9999999999999999
0.438,0.9999996922427934
0.444,1.0
0.45,1.0
0.456,0.999999695459923
0.462,1.0
0.468,0.9999999999999999
0.474,1.0
0.48,0.9999999999999999
0.486,0.9999994012413257
0.492,1.0000000000000002
0.498,0.9999999999999999
0.504,0.9999999999999999
0.51,0.9999999999999999
0.516,0.9999997055311293
0.522,1.0
0.528,0.9999997074248619
0.534,1.0000002916434718
0.54,0.9999997092780255
0.546,1.0000000000000002
0.552,0.9999997110901401
0.558,0.9999997119757602
0.564,1.0
0.57,0.9999999999999999
0.576,0.9999999999999999
0.582,0.9999999999999999
0.588,1.0
0.594,1.0000002829012995
0.6,1.0000005641734502
0.606,0.9999994374335274
0.612,1.0
0.618,0.9999997202884957
0.624,0.9999994421098516
0.63,1.0
0.636,0.9999994451165565
0.642,1.0
0.648,1.0
0.654,1.0000002752867798
0.66,0.9999994508205435
0.666,1.0
0.672,0.9999994535264358
0.678,1.0000000000000002
0.684,1.0000005438817452
0.69,1.0000002713095495
0.696,1.0
0.702,1.0000005401839005
0.708,1.0000002695036783
0.714,0.9999997310709002
0.72,0.9999994632588635
0.726,1.0000002678217361
0.732,1.000000267288898
0.738,1.0000000000000002
0.744,0.9999999999999998
0.75,1.0
0.756,1.0
0.762,1.0
0.768,1.000000528768298
0.774,1.0
0.78,1.0000005270516668
0.786,1.000000263116761
0.792,1.0000002627209204
0.798,1.0000002623381967
0.804,1.0000005239408898
0.81,1.0
0.816,0.9999994774643127
0.822,1.0
0.828,1.0
0.834,0.9999999999999998
0.84,0.9999994799920682
0.846,1.000000519433767
0.852,1.0000005188849532
0.858,1.0
0.864,0.999999741082038
0.87,0.9999994826572345
0.876,1.0000002584344674
0.882,0.9999994835871849
0.888,1.0
0.894,0.999999484446782
0.9,1.000000257574254
0.906,0.9999997426203424
0.912,0.9999997428072375
0.918,0.9999994859737605
0.924,1.0
0.93,1.0000005133504084
0.936,1.0000002565160873
0.942,1.0
0.948,0.9999999999999999
0.954,1.0000010243087236
0.96,1.0
0.966,1.0000005116229642
0.972,1.0000002556870766
0.978,0.9999997444321578
0.984,1.0000005109071841
0.99,1.0
0.996,0.9999997447612263
1.002,1.0000002551380964
1.008,1.0
1.014,0.9999994901019492
1.02,0.9999994902748567
1.026,1.0
1.032,0.9999994906112936
1.038,0.999999490766673
1.044,1.0
1.05,0.9999999999999999
1.056,0.9999997455968582
1.062,1.0
1.068,1.0
1.074,0.9999997457834849
1.08,1.0
1.086,0.999999491789014
1.092,1.0
1.098,1.0000005080129093
1.104,1.000000507914655
1.11,1.0
1.116,1.0000005077387744
1.122,1.0000002538285975
1.128,0.9999994924210963
1.134,1.0000002537524433
1.14,0.9999994925617759
1.146,1.0
1.152,0.9999992390464078
1.158,0.9999994927585485
1.164,1.0
1.17,0.9999994928678784
1.176,0.9999994929205523
1.182,1.0
