Elongation [mm],Lode angle
0.0,1.0
0.004,1.0
0.008,1.0
0.012,0.9999999999999998
0.016,1.0000000000000002
0.02,1.0
0.024,1.0
0.028,0.9999996892769971
0.032,0.9999994049988319
0.036,1.0000000000000002
0.04,0.9999994462965693
0.044,1.0
0.048,1.0000002614161427
0.052,1.0
0.056,0.9999997505873401
0.06,1.0
0.064,0.9999999999999999
0.068,1.0
0.072,0.9999999999999999
0.076,1.0000004568367808
0.08,1.0
0.084,0.9999997774871701
0.088,1.0
0.092,1.0
0.096,1.0
0.1,1.0
0.104,1.0000002111367576
0.108,1.0
0.112,0.9999997925178207
0.116,0.9999997942106587
0.12,1.0000000000000002
0.124,1.0000002026368549
0.128,1.0000002011573317
0.132,1.0000001997519696
0.136,0.9999996032144576
0.14,1.0000005912695178
0.144,1.000000195829201
0.148,1.0000000000000002
0.152,1.000000193446225
0.156,1.0000000000000002
0.16,0.9999998087832754
0.164,1.0
0.168,1.0000000000000002
0.172,1.0000000000000002
0.176,1.0
0.18,1.0
0.184,0.9999996294584818
0.188,0.9999998156343796
0.192,1.0
0.196,1.0000000000000002
0.2,1.0000000000000002
0.204,0.9999998190360018
0.208,1.0000000000000002
0.212,1.0
0.216,1.0
0.22,1.0
0.224,0.999999645781666
0.228,1.0
0.232,0.9999996486554149
0.236,1.0
0.24,1.0000003485642737
0.244,1.0
0.248,0.9999999999999998
0.252,1.0
0.256,0.9999996567008196
0.26,1.0
0.264,1.0000000000000002
0.268,1.0000006791513847
0.272,1.0
0.276,1.0000003371908421
0.28,0.999999327942139
0.284,0.9999996651206001
0.288,1.00000033375015
0.292,0.9999996673624364
0.296,0.9999993369112886
0.3,0.9999999999999998
0.304,1.0
0.308,1.0
0.312,0.9999996726834531
0.316,0.9999999999999998
0.32,1.0
0.324,1.0000003243047721
0.328,0.9999993533422012
0.332,1.0
0.336,1.00000064283658
0.34,1.0
0.344,0.9999996804403625
0.348,1.0000003186495685
0.352,1.0
0.356,1.0000003168661102
0.36,0.9999999999999999
0.364,1.0
0.368,1.0
0.372,0.9999999999999999
0.376,1.0000003126178394
0.38,1.0
0.384,0.9999999999999999
0.388,1.0000003101938137
0.392,1.0000000000000002
0.396,1.0000003086336595
0.4,1.0
0.404,0.9999999999999999
0.408,0.9999996936311455
0.412,0.9999993887331995
0.416,1.0
0.42,0.9999999999999999
0.424,1.0
0.428,0.9999996972091473
0.432,1.0
0.436,0.9999996985835073
0.44,1.000000300744989
0.444,1.0000000000000002
0.448,1.0000000000000002
0.452,1.0
0.456,1.0000000000000002
0.46,1.0
0.464,1.000000296897354
0.468,1.0000005925577167
0.472,1.0
0.476,1.0
0.48,1.0000000000000002
0.484,1.0
0.488,0.9999997066739644
0.492,1.0
0.496,1.0
0.5,1.000000291643642
0.504,1.0000002910972174
0.508,0.9999997094421827
0.512,1.0000002900302107
0.516,1.0
0.52,1.0
0.524,1.0
0.528,1.0000000000000002
0.532,1.0
0.536,1.0000000000000002
0.54,0.9999997135120829
0.544,1.0
0.548,1.0
0.552,1.0000002850742389
0.556,1.0
