Elongation [mm],Lode angle
0.0,1.0
0.006,0.7476434946667633
0.012,0.5087515434856142
0.018,0.4623634048776492
0.024,0.4847710521448052
0.03,0.552667731782891
0.036,0.583918865635476
0.042,0.5971980399449545
0.048,0.6028396980128082
0.054,0.603451345065351
0.06,0.6016361267455648
0.066,0.59968419484687
0.072,0.5982840769102054
0.078,0.5975723338405515
0.084,0.5975130578926401
0.09,0.5980216183374468
0.096,0.5990139343437194
0.102,0.6004051852992973
0.108,0.6021200356430899
0.114,0.6040910212066067
0.12,0.6062784373173407
0.126,0.6086215006517801
0.132,0.6110925894410458
0.138,0.6136628562454362
0.144,0.6163010554161805
0.15,0.6189616602528152
0.156,0.6216736720418643
0.162,0.624460581443418
0.168,0.6273059663153666
0.174,0.6301849024584072
0.18,0.6330836351121845
0.186,0.6359890914284746
0.192,0.6388919400331637
0.198,0.641783760344913
0.204,0.644662130784912
0.21,0.6475182574057031
0.216,0.650350063984511
0.222,0.6531613951144445
0.228,0.6559354390008553
0.234,0.6586948220295763
0.24,0.66141520465076
0.246,0.6641242413418282
0.252,0.6668001417838153
0.258,0.6694542998716554
0.264,0.6720876980667356
0.27,0.6747018114248713
0.276,0.677298360192384
0.282,0.679879832872587
0.288,0.6824471299974887
0.294,0.685003340914806
0.3,0.6875484277274935
0.306,0.6900857085291984
0.312,0.6926158704473631
0.318,0.6951411657255328
0.324,0.6976635444420135
0.33,0.7001837064790081
0.336,0.7027030999245745
0.342,0.7052234139254726
0.348,0.7077457984642309
0.354,0.7102717706977115
0.36,0.7128014341050588
0.366,0.7153375056065103
0.372,0.7178797782947723
0.378,0.7204304718713148
0.384,0.7229890764745998
0.39,0.7255571441859476
0.396,0.7281354232738272
0.402,0.7307245135552363
0.408,0.7333259683189799
0.414,0.735939482984326
0.42,0.7385661229551163
0.426,0.7412061750047241
0.432,0.7438606808806143
0.438,0.7465292650036841
0.444,0.7492134839487786
0.45,0.7519128015192748
0.456,0.7546280331428162
0.462,0.7573597037941331
0.468,0.7601075076126388
0.474,0.7628717056514354
0.48,0.7656531008437256
0.486,0.7684513775954461
0.492,0.7712665269163493
0.498,0.7740983975950604
0.504,0.7769448204431088
0.51,0.779805001840074
0.516,0.7826779463572073
0.522,0.7855624804721096
0.528,0.7884584576326699
0.534,0.7913657387479766
0.54,0.7942820049957915
0.546,0.7972083628767093
0.552,0.8001441718260501
0.558,0.8030881338388078
0.564,0.806039120233807
0.57,0.8089986094712386
0.576,0.8119641356863183
0.582,0.8149357817144699
0.588,0.8179130740116106
0.594,0.8208935272655461
0.6,0.823878131685248
0.594,0.8447981199624359
0.588,0.894682096348838
0.582,0.8464432856288786
0.576,0.4607412457905423
0.57,0.5393774897980153
0.564,0.37087191138362
0.558,0.1417509653787866
0.552,0.010717811197372541
0.546,-0.11242404892330085
0.54,-0.254550480060071
0.534,-0.37647181446360817
0.528,-0.4538346715792738
0.522,-0.4998191278226704
0.516,-0.5300409538537975
0.51,-0.5514891609943965
0.504,-0.5674651506819651
0.498,-0.5792995112022798
0.492,-0.5850696260308392
0.486,-0.5866506334981746
0.48,-0.587690751626374
0.474,-0.5888216194601804
0.468,-0.5902632299144179
0.462,-0.5922330877917661
0.456,-0.5946196628777981
0.45,-0.5973153355270371
0.444,-0.6001837053029946
0.438,-0.6031027698021972
0.432,-0.6060643412928894
0.426,-0.6089990429559881
0.42,-0.6118599983164993
0.414,-0.6146211831497032
0.408,-0.6172532469565258
0.402,-0.6197387782188506
0.396,-0.622061232408695
0.39,-0.6242128102854287
0.384,-0.626183311208316
0.378,-0.6279631153429424
0.372,-0.629566277986583
0.366,-0.6310056121671845
0.36,-0.6322865178418157
0.354,-0.6334166953206175
0.348,-0.6344101599117986
0.342,-0.6352597893391482
0.336,-0.6359624555338511
0.33,-0.6365202357830575
0.324,-0.6369354862856914
0.318,-0.6372122306295384
0.312,-0.6373569405042089
0.306,-0.6373720948889331
0.3,-0.6372625676055791
0.294,-0.6370362566289265
0.288,-0.6366980186573851
0.282,-0.6362537988241961
0.276,-0.6357183034989426
0.27,-0.63507588849478
0.264,-0.6343457970047668
0.258,-0.633524554027639
0.252,-0.6326458140165419
0.246,-0.6316797472737988
0.24,-0.6306467388379904
0.234,-0.629549788362951
0.228,-0.628392903356472
0.222,-0.6271799364596616
0.216,-0.6259155394949285
0.21,-0.6246028654743416
0.204,-0.6232444829374306
0.198,-0.6218442297187322
0.192,-0.620404545082204
0.186,-0.6189284823880213
0.18,-0.6174195288493358
0.174,-0.6158795427220772
0.168,-0.6143099132175233
0.162,-0.6127134005962674
0.156,-0.6110915828508319
0.15,-0.6094476054677682
0.144,-0.6077823358965946
0.138,-0.6060971264636443
0.132,-0.6043943561822118
0.126,-0.6026749713782811
0.12,-0.6009394645335041
0.114,-0.5991904818704951
0.108,-0.5974288145070032
0.102,-0.5956549583291457
0.096,-0.5938708656807492
0.09,-0.592077437309538
0.084,-0.5902760363736616
0.078,-0.58846666790871
0.072,-0.5866495972369378
0.066,-0.5848271957093721
0.06,-0.5829992962835682
0.054,-0.5811663405437748
0.048,-0.5793297801148635
0.042,-0.577489635786827
0.036,-0.5756462795710877
