Elongation [mm],Triaxiality
0.0,0.0
0.012,0.8655382695945728
0.024,0.9454079917639324
0.036,0.8015930771417256
0.048,0.9137548329659384
0.06,0.9400621207426657
0.072,0.9448718309380203
0.084,0.9496863559824841
0.096,0.9553253577912774
0.108,0.9617421053344576
0.12,0.9687678969477244
0.132,0.9762706057267113
0.144,0.9841911025978926
0.156,0.9924056065950434
0.168,1.000843056469206
0.18,1.0094701932437775
0.192,1.0182818614254836
0.204,1.0272780911825958
0.216,1.0364568939205345
0.228,1.0458736428466084
0.24,1.0553931464407986
0.252,1.065061569873913
0.264,1.0748613097825424
0.276,1.084780357920714
0.288,1.0948107110141527
0.3,1.1049479709986587
0.312,1.1151940085300849
0.324,1.1254505735074294
0.336,1.13593142404975
0.348,1.1465504752690607
0.36,1.1573285040918009
0.372,1.168288242845299
0.384,1.1794438382911416
0.396,1.1908000449022447
0.408,1.202379269453269
0.42,1.2141990563237115
0.432,1.226277378507334
0.444,1.2386274816244154
0.456,1.2512585811398858
0.468,1.2641770435794888
0.48,1.2773807788874547
0.492,1.290861107966051
0.504,1.3045997876402078
0.516,1.3185723723690372
0.528,1.3327375868457871
0.54,1.3470469993510854
0.552,1.3614373204574468
0.564,1.375831022907815
0.576,1.3901392089008922
0.588,1.4042580129910927
0.6,1.4180727942495968
0.612,1.4314623093146268
0.624,1.4442990972328225
0.636,1.4564558411830943
0.648,1.4678130129275102
0.66,1.4782626959858998
0.672,1.4877202937612237
0.684,1.4961229466107928
0.696,1.503440270005282
0.708,1.509683455101332
0.72,1.5148992760351956
0.732,1.5191757917468909
0.744,1.522632567017634
0.756,1.5254170929392843
0.768,1.5276879658651576
0.78,1.5295848837636417
0.792,1.5312475065144155
0.804,1.5327701203782138
0.816,1.5342318379425377
0.828,1.5356548404397197
0.84,1.537042668626946
0.852,1.5383685124078443
0.864,1.5395981445565279
0.876,1.5406925412006165
0.888,1.541592095912441
0.9,1.5422828652447353
0.912,1.5427205376247164
0.924,1.542878468825081
0.936,1.5427175767432422
0.948,1.5422172154015716
0.96,1.5413785837152776
0.972,1.5401619946858347
0.984,1.5385834932642783
0.996,1.5367763397350431
1.008,1.5346927863021214
1.02,1.5321742601515438
1.032,1.5291861728113478
1.044,1.5256872982838996
1.056,1.5218028565798263
1.068,1.5177571413359041
1.08,1.5138157444715588
1.092,1.5100593530535644
1.104,1.5068133708652667
1.116,1.5041658718253885
1.128,1.502212922658965
1.14,1.501002470436739
1.152,1.5006907625139392
1.164,1.5014088165000266
1.176,1.502806522493166
1.188,1.5052074918225953
1.2,1.508719594557412
1.212,1.5138493182709145
1.224,1.5206501071195226
1.236,1.5289376785652795
1.248,1.5385716416544775
1.26,1.5493713252222618
1.272,1.5609655353948424
1.284,1.5732269624844206
1.296,1.5861434433154766
1.308,1.5998150076469049
1.32,1.614243077111883
1.332,1.629377203765071
1.344,1.645203272744563
1.356,1.66171415112295
1.368,1.678896455797428
1.38,1.696730926947307
1.392,1.715092423943684
1.404,1.7339167545831407
1.416,1.7537016467964057
1.428,1.7728024329514547
1.44,1.790853276125657
1.452,1.8077739508818251
1.464,1.8236020177178127
1.476,1.8383232008308161
1.488,1.8520466239142297
1.5,1.8647765017240494
1.512,1.8767141279673376
1.524,1.8879968712331452
1.536,1.898550479434516
1.548,1.9083428305708894
1.56,1.9173210219126209
1.572,1.9226611659605093
1.584,1.9105887158566464
1.596,1.891762486612956
1.608,1.8687514777082375
1.62,1.8430435300140278
1.632,1.8151351320934423
1.644,1.78556329315681
1.656,1.754842412799777
1.668,1.723016177410199
1.68,1.690203604161858
1.692,1.6566187399953267
1.704,1.6226724378769062
1.716,1.5885541020091256
1.728,1.554554389942176
1.74,1.5209465418559298
1.752,1.4880083981578665
1.764,1.4562427983620787
1.776,1.4267299436233403
1.788,1.4002057113542494
1.8,1.3749469230095774
1.812,1.3505395731629644
1.824,1.327112802616268
1.836,1.3040656468004312
1.848,1.2770808107128642
1.86,1.2568813842856617
1.872,1.2432350170356778
1.884,1.2276535878444566
1.896,1.2108367314107642
1.908,1.1930722815084502
1.92,1.174706777570444
1.932,1.1557838008776407
1.944,1.1366114748256948
1.956,1.1174987640198066
1.968,1.098768390984097
1.98,1.0806642559703101
1.992,1.063352131289535
