Elongation [mm],Triaxiality
0.0,0.0
0.006,0.48648855669407953
0.012,0.48630049743956066
0.018,0.49185969759015036
0.024,0.5792197538535504
0.03,0.6094474780855764
0.036,0.6107361530746054
0.042,0.6085367585119399
0.048,0.6077478289127739
0.054,0.6091621481447667
0.06,0.6125534582298373
0.066,0.6174562299904205
0.072,0.6234019586300175
0.078,0.6299719172138144
0.084,0.6368204306799438
0.09,0.6436646112962308
0.096,0.6502859394508315
0.102,0.6565322756999548
0.108,0.6622456764194932
0.114,0.6673462454073215
0.12,0.6717650083240395
0.126,0.6755230317708396
0.132,0.6787313710433764
0.138,0.6814540912415561
0.144,0.6837033412573054
0.15,0.6855757832396089
0.156,0.687063186493093
0.162,0.6882122137395008
0.168,0.689107598774428
0.174,0.6897406548179669
0.18,0.6901542986610795
0.186,0.6904328207391187
0.192,0.6905516855261805
0.198,0.6905575277851077
0.204,0.6904678273753451
0.21,0.6903086425708237
0.216,0.6900985964006292
0.222,0.6898512864862291
0.228,0.689580529858594
0.234,0.6893025570327163
0.24,0.6890240295734704
0.246,0.6887563583566684
0.252,0.6885061599255917
0.258,0.6882792350664206
0.264,0.6880823657186386
0.27,0.6879208641112081
0.276,0.6877988771347053
0.282,0.6877188613379198
0.288,0.6876843426172943
0.294,0.6876964157502911
0.3,0.687756403534379
0.306,0.6878674479164728
0.312,0.688030546627912
0.318,0.6882458201062776
0.324,0.6885134429622668
0.33,0.688834107056445
0.336,0.6892082585613588
0.342,0.6896352821903019
0.348,0.6901149439969877
0.354,0.6906471552065699
0.36,0.6912312322244325
0.366,0.6918668176180317
0.372,0.6925535565107641
0.378,0.6932907445745847
0.384,0.6940776432507091
0.39,0.6949135401239186
0.396,0.6957975567983701
0.402,0.6967289868714793
0.408,0.6977071793570256
0.414,0.6987312341288008
0.42,0.6998003351858096
0.426,0.7009135323529853
0.432,0.7020698641426847
0.438,0.7032682543557618
0.444,0.7045079590030134
0.45,0.7057882305396437
0.456,0.7071076352199627
0.462,0.7084657114841831
0.468,0.7098609556755744
0.474,0.7112932868571964
0.48,0.7127609169547033
0.486,0.7142633466487986
0.492,0.7157997036275388
0.498,0.7173689825192516
0.504,0.7189705651307062
0.51,0.7206030023204447
0.516,0.7222665477152792
0.522,0.7239593156094589
0.528,0.7256811386797258
0.534,0.7274314123178436
0.54,0.7292088973083202
0.546,0.731013157244535
0.552,0.7328438541882594
0.558,0.7346997339616603
0.564,0.736580671451145
0.57,0.738485691253117
0.576,0.7404148917539662
0.582,0.7423666852126447
0.588,0.7443416678021432
0.594,0.7463382107286363
0.6,0.748356871029065
0.606,0.7503962710421092
0.612,0.752456592199213
0.618,0.7545369065837896
0.624,0.7566375315018553
0.63,0.7587571875283043
0.636,0.7608962143778033
0.642,0.7630537137163645
0.648,0.7652293611078074
0.654,0.7674233250352008
0.66,0.7696346378061042
0.666,0.7718631854062855
0.672,0.7741089677604411
0.678,0.7763711887804511
0.684,0.7786497387155146
0.69,0.780944418607431
0.696,0.7832548535043014
0.702,0.7855810210071066
0.708,0.787922175866262
0.714,0.7902785273083872
0.72,0.7926494839046502
0.726,0.7950349041983868
0.732,0.7974344728122237
0.738,0.7998481362358721
0.744,0.8022756121128671
0.75,0.8047165491505673
0.756,0.8071708378590841
0.762,0.8096382470936058
0.768,0.8121184050148408
0.774,0.8146110572857859
0.78,0.8171166927591915
0.786,0.8196340571713677
0.792,0.8221636869604094
0.798,0.8247049207159349
0.804,0.8272580065368498
0.81,0.8298226287539807
0.816,0.8323978556155356
0.822,0.8349846001515122
0.828,0.8375817164402419
0.834,0.8401898558387466
0.84,0.8428079714325553
0.846,0.8454369723227592
0.852,0.8480753920926872
0.858,0.8507242631170319
0.864,0.8533821493661188
0.87,0.8560502649811204
0.876,0.8587269024860246
0.882,0.8614135805863563
0.888,0.8641085032808075
0.894,0.8668128300590687
0.9,0.8695251952016564
0.906,0.8722467812991724
0.912,0.8749761050105688
0.918,0.8777140981382328
0.924,0.8804597026657791
0.93,0.8832134626394119
0.936,0.8859746715991362
0.942,0.8887438587939348
0.948,0.8915198893555235
0.954,0.8943038684790199
0.96,0.8970943551416529
0.966,0.8998924154236351
0.972,0.9026972728019739
0.978,0.9055087712748954
0.984,0.9083269672162421
0.99,0.9111516766988788
0.996,0.9139827995752399
1.002,0.9168205677884954
1.008,0.9196636012403989
1.014,0.9225139051055883
1.02,0.9253690109914877
1.026,0.9282311038198165
1.032,0.9310977719812167
1.038,0.9339710334735501
1.044,0.9368494801107417
1.05,0.9397336336891455
1.056,0.9426228992698695
1.062,0.9454562015663255
1.068,0.9484188013564298
1.074,0.951321949448517
1.08,0.9542328297740441
1.086,0.9571478952936296
1.092,0.9600681676651819
1.098,0.9629932384765689
1.104,0.9659233440495956
1.11,0.9688576471265381
1.116,0.9717973342451691
1.122,0.9747405577629239
1.128,0.9776899838119676
1.134,0.9806421901370274
1.14,0.9836005888988996
1.146,0.9865622620504767
1.152,0.9895289417828652
1.158,0.9924998080848846
1.164,0.9954753254947916
1.17,0.9984545924296916
1.176,1.0014391668687397
1.182,1.004426793614913
1.188,1.0073417191606322
1.194,1.0104177620278063
1.2,1.0134160770107548
1.206,1.0164221404878995
1.212,1.0194314827500468
