Elongation [mm],Triaxiality
0.0,0.0
0.006,0.4622493115218634
0.012,0.5091797364887145
0.018,0.516725815382339
0.024,0.5131500726468261
0.03,0.5016936860984161
0.036,0.4960886268469128
0.042,0.4936320501335044
0.048,0.49257200440234095
0.054,0.49245281579784
0.06,0.49279008568232224
0.066,0.49315237158930453
0.072,0.49341119287027874
0.078,0.4935416293644323
0.084,0.49355059233045423
0.09,0.49345403063845367
0.096,0.49326711626586633
0.102,0.4930054344616766
0.108,0.49268260802670977
0.114,0.49231094966282757
0.12,0.4918973939686299
0.126,0.49145307772130675
0.132,0.4909829021116791
0.138,0.4904922945463042
0.144,0.48998671599592675
0.15,0.4894748418049054
0.156,0.48895110772358635
0.162,0.488410794016344
0.168,0.4878568306075618
0.174,0.48729388732957196
0.18,0.48672451601103633
0.186,0.48615143123646026
0.192,0.4855763320651561
0.198,0.4850007750059629
0.204,0.48442528832535886
0.21,0.4838515720600985
0.216,0.48328020913990355
0.222,0.48270941783130644
0.228,0.4821456455384116
0.234,0.481580230613457
0.24,0.4810224293848478
0.246,0.4804623475110557
0.252,0.47990769713600445
0.258,0.479355001759603
0.264,0.47880420617954245
0.27,0.47825492171378686
0.276,0.4777070185549691
0.282,0.4771598020881005
0.288,0.4766132403347596
0.294,0.4760665461634157
0.3,0.47551969329150673
0.306,0.4749722187793864
0.312,0.4744235365170477
0.318,0.47387352407245587
0.324,0.4733217353094481
0.33,0.47276783586045396
0.336,0.4722114892493052
0.342,0.4716523721815754
0.348,0.4710900680497078
0.354,0.47052443838687324
0.36,0.4699549526629298
0.366,0.4693815672069545
0.372,0.46880366812437324
0.378,0.468221263816205
0.384,0.46763392813152527
0.39,0.4670414535104784
0.396,0.4664435121096834
0.402,0.4658399433056197
0.408,0.46523037720249116
0.414,0.4646145254485341
0.42,0.463992292681616
0.426,0.4633633460361947
0.432,0.46272746208416216
0.438,0.4620844523256073
0.444,0.46143412336605505
0.45,0.46077603832498115
0.456,0.4601102222822044
0.462,0.4594363737899875
0.468,0.45875429928319145
0.474,0.45806369981428935
0.48,0.45736443441711483
0.486,0.45665631887721836
0.492,0.4559391021652829
0.498,0.4552128617091444
0.504,0.4544778505537448
0.51,0.45373407000601573
0.516,0.4529816184824725
0.522,0.45222055848287873
0.528,0.451450898098531
0.534,0.4506725515611582
0.54,0.44988568665670625
0.546,0.449090240096392
0.552,0.4482856307717516
0.558,0.4474721321400744
0.564,0.4466501326786918
0.57,0.4458188571073681
0.576,0.4449789279695462
0.582,0.44412980873500374
0.588,0.4432717494258263
0.594,0.44240499064651667
0.6,0.4415290106877622
0.594,0.4350904411015672
0.588,0.4175312514127667
0.582,0.21724682468151926
0.576,-0.6228527312248365
0.57,-0.6299195227859229
0.564,-0.6148094476620427
0.558,-0.592414819906123
0.552,-0.5784306181187777
0.546,-0.5643078990008887
0.54,-0.5465228180028742
0.534,-0.5296543474890485
0.528,-0.5179551820820488
0.522,-0.5105506422245968
0.516,-0.5054724620242307
0.51,-0.5017560847660681
0.504,-0.4989229120381916
0.498,-0.4967864272823808
0.492,-0.495732303502568
0.486,-0.4954418879630702
0.48,-0.49525096061407814
0.474,-0.4950434698596106
0.468,-0.494778736035513
0.462,-0.4944155023137619
0.456,-0.4939754185139577
0.45,-0.4934757023684875
0.444,-0.49294172727201074
0.438,-0.4923969313171516
0.432,-0.49184136958882585
0.426,-0.49128862124048844
0.42,-0.4907476626687749
0.414,-0.49022342293516796
0.408,-0.4897218361491139
0.402,-0.48924648434006657
0.396,-0.4888009159245044
0.39,-0.48838670795884537
0.384,-0.48800642705924757
0.378,-0.4876621078227387
0.372,-0.48735121531428466
0.366,-0.48707173825731
0.36,-0.48682258419464125
0.354,-0.4866026070068187
0.348,-0.48640892792339063
0.342,-0.48624340590625126
0.336,-0.4861065392732895
0.33,-0.4859980918894594
0.324,-0.48591768145952857
0.318,-0.48586444288511776
0.312,-0.4858373983815591
0.306,-0.48583590190287856
0.3,-0.48585893468235924
0.294,-0.48590501080726284
0.288,-0.4859730892662169
0.282,-0.48606211825032647
0.276,-0.48616966342377294
0.27,-0.4862974766454675
0.264,-0.48644242244586955
0.258,-0.48660447897449166
0.252,-0.48677891925914685
0.246,-0.486969412691903
0.24,-0.48717291970660037
0.234,-0.4873884301198814
0.228,-0.48761533904375487
0.222,-0.4878526136725902
0.216,-0.48809964084207536
0.21,-0.48835552360226286
0.204,-0.4886195713612067
0.198,-0.4888913011782944
0.192,-0.48917004426309396
0.186,-0.489455055400587
0.18,-0.489745922569456
0.174,-0.4900421486414751
0.168,-0.49034324823601066
0.162,-0.49064878253217364
0.156,-0.49095846212648375
0.15,-0.4912715765420521
0.144,-0.4915880799119471
0.138,-0.491907460491207
0.132,-0.4922294410212255
0.126,-0.49255388618426144
0.12,-0.4928803393099023
0.114,-0.4932087597502931
0.108,-0.4935386468220351
0.102,-0.49386996300120006
0.096,-0.49420244125844104
0.09,-0.49453571960851683
0.084,-0.49486985492327507
0.078,-0.4952045335276422
0.072,-0.49553971782759687
0.066,-0.4958752776505929
0.06,-0.4962108548662742
0.054,-0.49654654673716536
0.048,-0.49688212979033686
0.042,-0.4972176084413965
0.036,-0.4975528492501972
0.03,-0.4978877198126
0.024,-0.49822208428415155
0.018,-0.49855598824226355
0.012,-0.49888925009605817
0.006,-0.499221777875674
0.0,-0.4995537920698537
0.006,-0.5163245736564714
0.012,-0.5629992356146174
0.018,-0.3104591183324899
0.024,0.41041011011520645
0.03,0.533408079940794
0.036,0.5567931857344123
0.042,0.5544798900046992
0.048,0.5463634089216471
0.054,0.5470994265816491
0.06,0.542703826509525
0.066,0.535096273648604
0.072,0.5276684906644098
0.078,0.5211734076154044
0.084,0.5157485973912688
0.09,0.5119105788359299
0.096,0.5091467580837988
0.102,0.5072374043216838
0.108,0.5064796229790697
0.114,0.5059402808450636
0.12,0.5053688097468658
0.126,0.5047245210258127
0.132,0.503990842394501
0.138,0.503165728740091
0.144,0.5022675038027717
0.15,0.5013219328561994
0.156,0.5003600119195408
0.162,0.49938296818863487
0.168,0.4983821673932921
0.174,0.49736675761397464
0.18,0.49634346756557124
0.186,0.49531727366834705
0.192,0.4942917025890411
0.198,0.49326707221213106
0.204,0.4922522673654281
0.21,0.4912428485989082
0.216,0.4902410779617504
0.222,0.48924466773570513
0.228,0.48825986639567476
0.234,0.4872846593699559
0.24,0.4863189742067752
0.246,0.4853626887743857
0.252,0.48441583384860776
0.258,0.48347824536828476
0.264,0.48254955198982186
0.27,0.4816295650390394
0.276,0.48071779461647335
0.282,0.4798144625560657
0.288,0.478918855609697
0.294,0.4780308633923332
0.3,0.4771502075149481
0.306,0.47627650236526264
0.312,0.47540954864038193
0.318,0.47454885480920295
0.324,0.47369418926149426
0.33,0.47284533258792044
0.336,0.47200203707925265
0.342,0.4711636762962905
0.348,0.4703301713159731
0.354,0.4695010845095372
0.36,0.46867607420077717
0.366,0.4678547770122961
0.372,0.4670367440967048
0.378,0.46622171629066705
0.384,0.4654090157326295
0.39,0.464598464999575
0.396,0.46378965917452747
0.402,0.46298205743004195
0.408,0.4621751857574308
0.414,0.4613687015399357
0.42,0.4605620762143116
0.426,0.4597547929474591
0.432,0.45894632195808127
0.438,0.45813642929763143
0.444,0.4573244099353519
0.45,0.456510077862073
0.456,0.4556938201661988
0.462,0.454875529833306
0.468,0.454055274615366
0.474,0.45323240853076285
0.48,0.4524063825524992
0.486,0.4515773231404508
0.492,0.4507445745265294
0.498,0.44990735935393605
0.504,0.44906578961733096
0.51,0.4482189676100751
0.516,0.4473670253960334
0.522,0.4465096158582221
0.528,0.4456458531813229
0.534,0.44478478386263065
0.54,0.4438976035015363
0.546,0.4430173229269743
0.552,0.4421280733909767
0.558,0.4412322120889366
0.564,0.44032916696974184
0.57,0.4394190811225006
0.576,0.43850147512487536
0.582,0.4375768120530115
0.588,0.43664420863049297
0.594,0.43570504997034015
0.6,0.43475769245111295
0.594,0.4226336015917397
0.588,0.3844979393249819
0.582,0.0
0.576,-0.639895874514454
0.57,-0.6331862474620876
0.564,-0.6142131271687487
0.558,-0.5916261809753358
0.552,-0.5751829149895951
0.546,-0.5608873128724102
0.54,-0.5438602934919021
0.534,-0.5280354213442339
0.528,-0.5165123901107666
0.522,-0.5088885919301898
0.516,-0.5033159826514587
0.51,-0.4989296140176603
0.504,-0.49529138773462594
0.498,-0.4921588769312565
0.492,-0.48940107293175666
0.486,-0.4869415152925122
0.48,-0.48475511325482207
0.474,-0.48285567552695347
0.468,-0.48140337453614784
0.462,-0.4806535959492681
0.456,-0.4802785810929534
0.45,-0.4800726878908756
0.444,-0.47995681732949336
0.438,-0.4798109710230493
0.432,-0.47965884042575363
0.426,-0.47951309861152774
0.42,-0.479393054079118
0.414,-0.47930362445664276
0.408,-0.4792450283460086
0.402,-0.47922105144904203
0.396,-0.4792311937147039
0.39,-0.4792739981460729
