Elongation [mm],Triaxiality
0.0,0.0
0.004,0.0
0.008,0.9212392906230825
0.012,0.9536848440996509
0.016,0.9993536973636802
0.02,0.9682524575094527
0.024,0.8875242371605948
0.028,0.804244309824199
0.032,0.8644316952171486
0.036,0.9075285873318162
0.04,0.9377070258371613
0.044,0.9579143809588572
0.048,0.9699520300249987
0.052,0.9725085952624427
0.056,0.9678157249075139
0.06,0.961864412605137
0.064,0.9562800944314589
0.068,0.9512777512744041
0.072,0.9469280416461068
0.076,0.9432358709514296
0.08,0.9401724604025761
0.084,0.9376722060598642
0.088,0.9357060564049948
0.092,0.9341978505112688
0.096,0.9331136994407698
0.1,0.9323984783868551
0.104,0.9320089509074426
0.108,0.9319086799258769
0.112,0.9320604393450321
0.116,0.9324358916618471
0.12,0.9330066854506189
0.124,0.9337488791506408
0.128,0.9346422554019643
0.132,0.9356677303774102
0.136,0.9368097217724377
0.14,0.9380526741240752
0.144,0.9393835998876752
0.148,0.9407856391118277
0.152,0.9422542948538875
0.156,0.9437868301798523
0.16,0.9453800834511015
0.164,0.9470268045028729
0.168,0.9487181800523596
0.172,0.9504462562624825
0.176,0.9522055420055896
0.18,0.9539894350652497
0.184,0.9557927622075036
0.188,0.9576138651574347
0.192,0.9594422827897405
0.196,0.9612807357313503
0.2,0.9631273084104653
0.204,0.9649730990785199
0.208,0.9668226117914868
0.212,0.9686736072106212
0.216,0.9705217100419308
0.22,0.972367582360105
0.224,0.9742109224647163
0.228,0.976051472297787
0.232,0.9778887295834986
0.236,0.979722724140493
0.24,0.9815535607802487
0.244,0.9833813941574743
0.248,0.9852063150238475
0.252,0.9870283870924226
0.256,0.9888480946379558
0.26,0.990665492250451
0.264,0.9924811682633056
0.268,0.9942955589990383
0.272,0.9961085533495843
0.276,0.997920902718876
0.28,0.9997326085547915
0.284,1.0015439977394989
0.288,1.003355517838752
0.292,1.0051674057760724
0.296,1.0069797575441468
0.3,1.0087929240235018
0.304,1.0106068504823849
0.308,1.0124222623074433
0.312,1.0142391502517067
0.316,1.0160574968723655
0.32,1.0178779358024697
0.324,1.0197001675196853
0.328,1.021524487254173
0.332,1.0233513028776011
0.336,1.0251804935322266
0.34,1.0270120591883907
0.344,1.0288463154572578
0.348,1.0306835874429814
0.352,1.0325236600951635
0.356,1.0343668262032493
0.36,1.0362133872294916
0.364,1.0380631728098197
0.368,1.039916448107319
0.372,1.0417734942393986
0.376,1.0436339519670894
0.38,1.04549856682776
0.384,1.04736716027947
0.388,1.049239900391159
0.392,1.0511167920531992
0.396,1.052998303815178
0.4,1.0548844865306486
0.404,1.0567753669784132
0.408,1.0586709093341182
0.412,1.0605718362900431
0.416,1.0624781559754282
0.42,1.0643898860997933
0.424,1.0663073494331305
0.428,1.0682303558224897
0.432,1.070159841730845
0.436,1.0720953690190704
0.44,1.0740373475088738
0.444,1.075986349657577
0.448,1.0779417817665304
0.452,1.079904792066576
0.456,1.0818746690225542
0.46,1.083852556987789
0.464,1.0858380077683774
0.468,1.087831631829611
0.472,1.0898334758762203
0.476,1.0918439188348912
0.48,1.0938630620139569
0.484,1.0958912017236648
0.488,1.0979284300559904
0.492,1.0999751729507727
0.496,1.1020312411952988
0.5,1.1040973269477043
0.504,1.1061733036476258
0.508,1.10825917890443
0.512,1.1103549830777846
0.516,1.1124613296264556
0.52,1.1145777484743289
0.524,1.1167051222067232
0.528,1.118843103408507
0.532,1.12099208865374
0.536,1.1231519509323031
0.54,1.1253231939655328
0.544,1.1275057708985181
0.548,1.1296997860340268
0.552,1.1319055732123866
0.556,1.1341232230571126
0.56,1.1363524158131717
0.564,1.138593576665909
0.568,1.1408467839577288
0.572,1.1431120729185027
0.576,1.1453895712363649
0.58,1.1476788538867857
0.584,1.1499802632531657
0.588,1.1522938580458604
0.592,1.1546197941535559
0.596,1.156957561903107
0.6,1.1593075368137071
0.604,1.16166916006548
0.608,1.1640431273706255
0.612,1.1664287647847564
0.616,1.1688258568201106
0.62,1.1712346629973407
0.624,1.1736553234545206
0.628,1.1760872618925498
0.632,1.1785306065216707
0.636,1.1809846528634436
0.64,1.1834498482248976
0.644,1.185925580093365
0.648,1.1884119337525725
0.652,1.190908195620549
0.656,1.1934144405005642
0.66,1.1959308636009882
0.664,1.1984562839142476
0.668,1.2009911104980706
0.672,1.2035349439951104
0.676,1.206086659914636
0.68,1.2086471694320584
0.684,1.2112149931216787
0.688,1.213790792952616
0.692,1.216373160232878
0.696,1.218962469614683
0.7,1.2215583320469736
0.704,1.2241592215934423
0.708,1.2267662535879174
0.712,1.229378095120554
0.716,1.2319944837708754
0.72,1.234614881306992
0.724,1.237239031244641
0.728,1.2398655980111242
0.732,1.2424954697682966
0.736,1.245127004407102
0.74,1.2477607156975414
0.744,1.2503947855250277
0.748,1.2530296186448164
0.752,1.25566499600581
0.756,1.2582991493936457
0.76,1.2609324349631477
0.764,1.2635640008797522
0.768,1.2661933936689194
0.772,1.2688200468814583
0.776,1.2714432809034204
0.78,1.2740628324296814
0.784,1.276677993998871
0.788,1.2792880838658163
0.792,1.2818923444925094
0.796,1.2844903416790214
0.8,1.2870823610461304
0.804,1.2896664942490397
0.808,1.292243029820652
0.812,1.2948113074539496
0.816,1.2973708511230602
0.82,1.299920282638239
0.824,1.3024602053100884
0.828,1.3049895235467035
0.832,1.3075074358420182
0.836,1.310014775332962
0.84,1.3125093171555133
0.844,1.3149911200125768
0.848,1.3174602998384337
0.852,1.31991638123871
0.856,1.3223577981991734
0.86,1.3247846679258872
0.864,1.3271974600496168
0.868,1.3295946435328134
0.872,1.3319764216896786
0.876,1.3343420324012125
0.88,1.3366909582575937
0.884,1.339023687636458
0.888,1.3413393177142823
0.892,1.3436379099758609
0.896,1.3459182628434272
0.9,1.348181865491412
0.904,1.3504262129086284
0.908,1.3526531354009166
0.912,1.3548615505941082
0.916,1.357052246666428
0.92,1.3592233044683488
0.924,1.3613755363156173
0.928,1.3635099757504932
0.932,1.3656255397069108
0.936,1.3677221896395353
0.94,1.369800284154498
0.944,1.3718599568699
0.948,1.3739014704914692
0.952,1.3759239817366127
0.956,1.3779297559792358
0.96,1.379917005979003
0.964,1.3818869416905972
0.968,1.3838403181653507
0.972,1.3857763397665976
0.976,1.3876962020641517
0.98,1.3896001465834105
0.984,1.3914885714378078
0.988,1.393361754217766
0.992,1.3952212327473241
0.996,1.3970660461256792
1.0,1.3988980312114523
1.004,1.400717101053454
1.008,1.4025239376849385
1.012,1.4043188302308758
1.016,1.4061029455966632
1.02,1.4078767214714911
1.024,1.409640677064815
1.028,1.411395557238561
1.032,1.4131418758260534
1.036,1.414880100843283
1.04,1.4166108397365182
1.044,1.4183352650114032
1.048,1.4200525389458154
1.052,1.4217651546342123
1.056,1.4234717176775453
1.06,1.4251734599709809
1.064,1.4268707060433743
1.068,1.4285641841161691
1.072,1.4302536388075773
1.076,1.4319400302454577
1.08,1.4336232082759526
1.084,1.4353033179744399
1.088,1.436980826686847
1.092,1.4386556513920516
1.096,1.4403278038892895
1.1,1.4419977060720277
