Elongation [mm],Triaxiality
0.0,0.0
0.012,0.42931479812392004
0.024,0.5370204153275215
0.036,0.5199252272874993
0.048,0.5010187748119495
0.06,0.4900951541264279
0.072,0.4854620740393353
0.084,0.48497323849037904
0.096,0.4870202683455189
0.108,0.49051317952998813
0.12,0.4947376629635676
0.132,0.49922796437977585
0.144,0.5036864771855092
0.156,0.5079310561254553
0.168,0.5118521674962044
0.18,0.5153969495111469
0.192,0.5185485482353388
0.204,0.5213135483489743
0.216,0.523716728647416
0.228,0.5257770077170811
0.24,0.527525512250221
0.252,0.5289997241741118
0.264,0.5302694520610841
0.276,0.5313922379395871
0.288,0.5324028783379268
0.3,0.5333311877184749
0.312,0.5342036475349977
0.324,0.5350422278673013
0.336,0.5358691282173572
0.348,0.5367001307566903
0.36,0.537553989680643
0.372,0.5384429801458742
0.384,0.5393764757987488
0.396,0.5403641111334161
0.408,0.5414130613072244
0.42,0.5425284249152069
0.432,0.5437425007482205
0.444,0.5450014388955058
0.456,0.546339528089963
0.468,0.5477575016809262
0.48,0.549256321288973
0.492,0.5508373088467134
0.504,0.5525002793827508
0.516,0.5542451891061403
0.528,0.5560716707423689
0.54,0.5579792370265271
0.552,0.5599671906793255
0.564,0.5620343102969263
0.576,0.5641798191399988
0.588,0.5664025270245099
0.6,0.5687010858066579
0.612,0.5710745421971976
0.624,0.5735213312714765
0.636,0.5760400258341969
0.648,0.5786293630248545
0.66,0.5812879771237053
0.672,0.5840145776377088
0.684,0.5868074249952705
0.696,0.5896651365994541
0.708,0.5925860010894362
0.72,0.5955666069060547
0.732,0.5986051016767743
0.744,0.6016989670446249
0.756,0.6048462597394704
0.768,0.6080448090613912
0.78,0.6112926678902201
0.792,0.6145882734073754
0.804,0.6179292817714171
0.816,0.6213145043066329
0.828,0.6247422533572586
0.84,0.6282114109764316
0.852,0.6317197545105181
0.864,0.6352664836665174
0.876,0.6388506927905502
0.888,0.642470277728215
0.9,0.6461248221249781
0.912,0.6498128910630858
0.924,0.6535335802070247
0.936,0.6572858844022541
0.948,0.6610686248720009
0.96,0.6648808356110232
0.972,0.6687220928547133
0.984,0.6725903017229283
0.996,0.6764859078871537
1.008,0.6804076838019883
1.02,0.6843540672804437
1.032,0.6883254498799599
1.044,0.6923196020717665
1.056,0.6963373701890015
1.068,0.7003764219381733
1.08,0.7044370420810647
1.092,0.7085186226147041
1.104,0.7126195319226246
1.116,0.7167406111836164
1.128,0.7208027989415838
1.14,0.724960790042133
1.152,0.7292144285288421
1.164,0.733402918040397
1.176,0.7376108330341034
1.188,0.7418343528489547
1.2,0.7460725463664442
1.188,0.8429205552679706
1.176,1.0430501512287547
1.164,1.6811076687460091
1.152,1.7435392524481657
1.14,0.24915015788283615
1.128,-0.026546975065429874
1.116,-0.14781181943870492
1.104,-0.22458173903513962
1.092,-0.2810169543121455
1.08,-0.32577896013610574
1.068,-0.3628196488671803
1.056,-0.3942288407595263
1.044,-0.42120986915247277
1.032,-0.44454668715011725
1.02,-0.46462669962120645
1.008,-0.4818431514813241
0.996,-0.49646325855000567
0.984,-0.5086961442834051
0.972,-0.5188594478992438
0.96,-0.5270502654363967
0.948,-0.5335805837779762
0.936,-0.5386298655455313
0.924,-0.5424013630795038
0.912,-0.5450822794506767
0.9,-0.5468467348299331
0.888,-0.547849032471939
0.876,-0.5482228538842919
0.864,-0.5480883226036666
0.852,-0.5475473510041964
0.84,-0.5467093408120739
0.828,-0.545570248557264
0.816,-0.5442733316812796
0.804,-0.5428407885551528
0.792,-0.5413375796476394
0.78,-0.5397231836946427
0.768,-0.5381282445022554
0.756,-0.5364981430336578
0.744,-0.5348543502602768
0.732,-0.5332613665168284
0.72,-0.531727809391533
0.708,-0.5301873389759385
0.696,-0.5287249407718991
0.684,-0.5273132016503284
0.672,-0.5259584495409958
0.66,-0.5246839601528227
0.648,-0.5234185066079294
0.636,-0.5222430355121435
0.624,-0.5211375169775045
0.612,-0.5201263523693801
0.6,-0.519159111058384
0.588,-0.518240436720387
0.576,-0.5174174430487836
0.564,-0.5166577037511456
0.552,-0.5159833639724986
0.54,-0.5153446035005305
0.528,-0.5147404156242922
0.516,-0.514240750469275
0.504,-0.5137459914983368
0.492,-0.5133270799423797
0.48,-0.5129562043245417
0.468,-0.5126535334450373
0.456,-0.5123469749024564
0.444,-0.5121320328814757
0.432,-0.5119353042778042
0.42,-0.5117569041286133
0.408,-0.511641347343661
0.396,-0.5115607302685108
0.384,-0.5115348799150917
0.372,-0.5114963968323636
0.36,-0.5115143061584148
0.348,-0.5115842566094406
0.336,-0.5116375149511406
0.324,-0.5117650057531344
0.312,-0.5118738662451895
0.3,-0.5120336544785717
0.288,-0.512216338169305
0.276,-0.5124200135303453
0.264,-0.5126477745103661
0.252,-0.512898549191216
0.24,-0.5131725789266701
0.228,-0.5134665765558255
0.216,-0.5137801111845288
0.204,-0.5141322217010407
0.192,-0.5144558713853389
0.18,-0.5148395792252067
0.168,-0.5152135263610497
0.156,-0.5155792857932783
0.144,-0.5159814270838349
0.132,-0.5163939662067178
0.12,-0.516837243827204
0.108,-0.5172668268896101
0.096,-0.5176843343761615
0.084,-0.5181554412992122
0.072,-0.5186108585744069
0.06,-0.519073647665176
0.048,-0.5195437157396257
0.036,-0.5200204222116639
0.024,-0.520503261499837
0.012,-0.5209916505134907
0.0,-0.5214854965054018
0.012,-0.5423610429000404
0.024,-0.5848960081809754
0.036,-0.7171237790376873
0.048,0.0
0.06,0.5755464236949207
0.072,0.5782112264314386
0.084,0.5637220863190776
0.096,0.5586090513059075
0.108,0.5603168391772418
0.12,0.5663693049579571
0.132,0.5751194607667633
0.144,0.5854447188072872
0.156,0.5965380876251648
0.168,0.6077968518686783
0.18,0.6187518561937551
0.192,0.6290433569893727
0.204,0.6384004007268935
0.216,0.6466419351225927
0.228,0.6536675508916727
0.24,0.659482307068593
0.252,0.6640086245909537
0.264,0.6674274322318093
0.276,0.6698429306462457
0.288,0.6712684851489067
0.3,0.6719386351352147
0.312,0.6719458528300135
0.324,0.6714144819625139
0.336,0.6705009305807906
0.348,0.6692379425236181
0.36,0.667746537339796
0.372,0.6660589911200036
0.384,0.664308612992633
0.396,0.6625097072049329
0.408,0.6607465034011492
0.42,0.658975321600083
0.432,0.657266881762788
0.444,0.6556442500085735
0.456,0.6540863411084992
0.468,0.6526891200590548
0.48,0.6514604396345544
0.492,0.6503280237432094
0.504,0.6493433319114669
0.516,0.6485087743398773
0.528,0.6478290205007495
0.54,0.6473052433549024
0.552,0.6469381617880293
0.564,0.6467274142304651
0.576,0.6466722179978254
0.588,0.6467721144741064
0.6,0.647025038614314
0.612,0.6474290349839098
0.624,0.6479821480181731
0.636,0.6486815595543552
0.648,0.6495247791301905
0.66,0.6505095693695446
0.672,0.6516327563205462
0.684,0.6528922691685252
0.696,0.6542849927016412
0.708,0.6558086243840032
0.72,0.6574602900689129
0.732,0.6592364806995996
0.744,0.6611342597261474
0.756,0.6631502551726194
0.768,0.6652813772607307
0.78,0.6675244704948788
0.792,0.6698760310901611
0.804,0.6723334774713319
0.816,0.6748936484626475
0.828,0.6775533340962129
0.84,0.6803102982765188
0.852,0.6831613776924125
0.864,0.6861042800468179
0.876,0.6891366124089102
0.888,0.6922557944096707
0.9,0.6954596238640579
0.912,0.6987460524588212
0.924,0.7021129416999377
0.936,0.7055578140689047
0.948,0.709079362323113
0.96,0.7126753696829781
0.972,0.7163442821363146
0.984,0.7200842847523264
0.996,0.7238934575005529
1.008,0.7277703084704347
1.02,0.7317131171484371
1.032,0.7357213156621557
1.044,0.7397915957011277
1.056,0.7439241646417448
1.068,0.7481164429006336
1.08,0.7523676510575804
1.092,0.7566766625824038
1.104,0.7610411627438352
1.116,0.7654610959851672
1.128,0.769934124631624
1.14,0.7744596065571402
1.152,0.77903639109988
1.164,0.7836621254055003
1.176,0.7882427672129474
1.188,0.7930637934229512
1.2,0.7978271742877867
1.188,0.8961031414051627
1.176,1.0995476512167317
1.164,1.687973276458568
1.152,1.3396575888614317
1.14,0.038740756371625204
1.128,-0.22831314102738912
1.116,-0.3330756892529347
1.104,-0.3934269379006903
1.092,-0.43713107275763524
1.08,-0.4726017587014975
1.068,-0.5027405526236259
1.056,-0.528637817778738
1.044,-0.5507670194303845
1.032,-0.569407491143958
1.02,-0.5848168532229738
1.008,-0.5972774513364557
0.996,-0.6071406579969566
0.984,-0.6146084405492571
0.972,-0.6201819671137845
0.96,-0.6240007163895199
0.948,-0.6264789121445653
0.936,-0.6278229589286227
0.924,-0.628287774202369
0.912,-0.6279852786322344
0.9,-0.6270820101460847
0.888,-0.6257824350773981
0.876,-0.6241855025986528
0.864,-0.6223088902718428
0.852,-0.6202275471952764
0.84,-0.6180729923119778
0.828,-0.6158500175218845
0.816,-0.61359448997445
0.804,-0.61133739065753
0.792,-0.6090991577313435
0.78,-0.6069312202978806
0.768,-0.6047444810729952
0.756,-0.6026553206203911
0.744,-0.6006329776341673
0.732,-0.5986833397640046
0.72,-0.5968088654016591
0.708,-0.595011708073762
0.696,-0.5932934787267024
0.684,-0.59165234157824
0.672,-0.5900874562102437
0.66,-0.5885934140460201
0.648,-0.5871681975591735
0.636,-0.585807858698601
0.624,-0.5845112200105225
0.612,-0.5832736999773641
0.6,-0.5820971328192542
0.588,-0.5810073324286371
0.576,-0.579907140527576
0.564,-0.5788953412352014
0.552,-0.577933107760324
0.54,-0.5770198069603107
0.528,-0.5761532498665954
0.516,-0.5753613824376824
0.504,-0.5745480213521169
0.492,-0.5738112629177857
0.48,-0.5731129422032172
0.468,-0.572453370770901
0.456,-0.5718571117119143
0.444,-0.5712642262476957
0.432,-0.5707042966233751
0.42,-0.5701474794539987
0.408,-0.5696813209209992
0.396,-0.569212394482484
0.384,-0.5687416569398412
0.372,-0.5683299686547418
0.36,-0.5679396790477849
0.348,-0.5675933600381922
0.336,-0.567202141242763
0.324,-0.566855444769235
0.312,-0.5665132872283879
0.3,-0.5661759865092792
0.288,-0.5658601273551088
0.276,-0.5655927873171404
0.264,-0.5652850404126721
0.252,-0.5650263542371137
0.24,-0.5647914473261408
0.228,-0.5646035159419095
0.216,-0.5643788405087667
0.204,-0.5642003172613466
0.192,-0.5640407000287077
0.18,-0.5638970361733785
0.168,-0.5637671311998282
0.156,-0.5636526598598186
0.144,-0.5635499326629223
0.132,-0.5634617739084975
0.12,-0.5633858477217003
0.108,-0.5633203785313247
0.096,-0.5632651961385362
0.084,-0.5632230946012374
0.072,-0.563192835113675
0.06,-0.5631689310401271
0.048,-0.563137596572859
0.036,-0.5631257817321806
0.024,-0.5631449449693042
0.012,-0.5632240754667612
0.0,-0.5633052920687132
0.012,-0.5876123345823772
0.024,-0.635167931233554
0.036,-0.7610941775346457
0.048,0.0
0.06,0.5141369085676053
0.072,0.5765794134490874
0.084,0.5743395202686278
0.096,0.5706570823326097
0.108,0.5727515597082247
0.12,0.5799686071358543
0.132,0.590452728049882
0.144,0.6025468377806665
0.156,0.6151390247419547
0.168,0.6274913439919102
0.18,0.6391025846028591
0.192,0.649633997144712
0.204,0.6588808525727642
0.216,0.6667421813371028
0.228,0.6732038628938641
0.24,0.6783178887653747
0.252,0.6821816136783193
0.264,0.6849195173488134
0.276,0.6867097356201542
0.288,0.6876246844251241
0.3,0.6878447976148168
0.312,0.6874998555261219
0.324,0.686710482233833
0.336,0.6855810694882374
0.348,0.6842057315242338
0.36,0.6826634370750487
0.372,0.6810201701626635
0.384,0.6793330565773139
0.396,0.6776486613181233
0.408,0.6760029950271299
0.42,0.6744287019255034
0.432,0.672949134784293
