Elongation [mm],Triaxiality
0.0,0.0
0.004,0.638593476502124
0.008,0.638324905234761
0.012,0.6426969283224077
0.016,0.6773533241945727
0.02,0.6913895418292064
0.024,0.7541301634119345
0.028,0.7767631890266642
0.032,0.7833422220154288
0.036,0.7830077635236592
0.04,0.7797843429957593
0.044,0.7755585959403194
0.048,0.7712701552380095
0.052,0.7673666951057028
0.056,0.7640442338902017
0.06,0.7613668460755821
0.064,0.7593181933707941
0.068,0.7578428164855838
0.072,0.7567351124428604
0.076,0.755460773540683
0.08,0.7538297220320921
0.084,0.7523517428513105
0.088,0.7512285342780214
0.092,0.750593334125695
0.096,0.7504182196550594
0.1,0.7506460350345937
0.104,0.7512184228450622
0.108,0.7520804007771825
0.112,0.7531834936089812
0.116,0.7544860601934554
0.12,0.7559487098722119
0.124,0.7575401983732292
0.128,0.7592268921839528
0.132,0.7609882365046631
0.136,0.7628006997727605
0.14,0.7646452407016794
0.144,0.76650680391995
0.148,0.7683722321850972
0.152,0.7702290698023105
0.156,0.7720678365248732
0.16,0.7738816700364358
0.164,0.7756614862007115
0.168,0.7774041797278566
0.172,0.7791037219419839
0.176,0.7807578916372849
0.18,0.7823636018311466
0.184,0.7839183808482861
0.188,0.7854216875247243
0.192,0.7868763903107349
0.196,0.7882709461955026
0.2,0.7896208120151754
0.204,0.790910222779677
0.208,0.7921574322044406
0.212,0.7933459160062944
0.216,0.7944946802872713
0.22,0.795587863202388
0.224,0.7966440084392736
0.228,0.7976514713061196
0.232,0.7986170798205026
0.236,0.7995424419877588
0.24,0.8004304314549913
0.244,0.8012822404693887
0.248,0.8021000896538838
0.252,0.8028863857883506
0.256,0.8036433295072833
0.26,0.8043724627865918
0.264,0.8050758638430681
0.268,0.8057556855858184
0.272,0.8064138240934122
0.276,0.8070517343055768
0.28,0.8076719694361985
0.284,0.8082761199657741
0.288,0.8088663836908075
0.292,0.809443738695797
0.296,0.8100103087636759
0.3,0.8105674114631151
0.304,0.8111166889351904
0.308,0.8116596620371552
0.312,0.8121977019042441
0.316,0.8127320121702035
0.32,0.8132643216066008
0.324,0.8137954183196819
0.328,0.8143266786319826
0.332,0.814859422948203
0.336,0.815394365094925
0.34,0.8159326566281145
0.344,0.8164755055817542
0.348,0.8170233213826512
0.352,0.8175772218050154
0.356,0.8181379465202527
0.36,0.818706448240291
0.364,0.8192830199900056
0.368,0.8198686243988095
0.372,0.8204636343091747
0.376,0.8210688984493026
0.38,0.8216849275489303
0.384,0.8223118242510653
0.388,0.822950655590664
0.392,0.8236012766223023
0.396,0.8242645910516121
0.4,0.8249406376149582
0.404,0.8256298897134501
0.408,0.8263326161568602
0.412,0.8270491706402578
0.416,0.8277796975721142
0.42,0.8285247336493077
0.424,0.8292842231642075
0.428,0.8300585438075514
0.432,0.8308476413440788
0.436,0.8316519606850883
0.44,0.832471396072781
0.444,0.8333062425223644
0.448,0.8341564952508731
0.452,0.8350220839954073
0.456,0.8359034711577236
0.46,0.8368002402328087
0.464,0.8377129206840129
0.468,0.8386412145409676
0.472,0.8395853866233084
0.476,0.8405450793885423
0.48,0.8415205603155559
0.484,0.8425118692434916
0.488,0.8435188462482429
0.492,0.8445412109625542
0.496,0.8455793325671248
0.5,0.8466328832317171
0.504,0.8477018303270211
0.508,0.8487863367725345
0.512,0.8498857393560092
0.516,0.8510004660962958
0.52,0.8521299417123795
0.524,0.8532744867129829
0.528,0.8544337381224894
0.532,0.8556073218432547
0.536,0.8567954543271963
0.54,0.8579976847906966
0.544,0.8592140838738842
0.548,0.8604443827681625
0.552,0.8616881804455628
0.556,0.8629454169350229
0.56,0.8642161191017994
0.564,0.8654996752950995
0.568,0.8667957477645328
0.572,0.8681045859340182
0.576,0.8694257937710117
0.58,0.870759134598477
0.584,0.8721039155856734
0.588,0.873460383101736
0.592,0.8748284694649968
0.596,0.8762073835625607
0.6,0.8775972029131383
0.604,0.8789977952835945
0.608,0.8804085188490829
0.612,0.8818293492879925
0.616,0.8832600214605977
0.62,0.8847006224436111
0.624,0.8861502149697391
0.628,0.8876089429491986
0.632,0.8890770622569745
0.636,0.8905530878098651
0.64,0.8920378946498779
0.644,0.8935308624356195
0.648,0.8950321197423409
0.652,0.8965407954101525
0.656,0.8980571410558311
0.66,0.8995808384555697
0.664,0.9011111137527515
0.668,0.9026485222396349
0.672,0.9041928771104671
0.676,0.9057436824094484
0.68,0.9073006095543314
0.684,0.9088636632934145
0.688,0.9104323180201376
0.692,0.9120073150053284
0.696,0.9135872385378979
0.7,0.9151724907404235
0.704,0.9167632770959434
0.708,0.9183588470974916
0.712,0.9199596407537187
0.716,0.9215647200682524
0.72,0.9231745577956689
0.724,0.9247886283513748
0.728,0.9264071207394033
0.732,0.9280294123998447
0.736,0.9296559063023702
0.74,0.9312860425929161
0.744,0.9329200326237801
0.748,0.9345574972419676
0.752,0.9361985883435133
0.756,0.9378425733047566
0.76,0.9394901006993795
0.764,0.9411406123362027
0.768,0.942794006503855
0.772,0.9444503226804626
0.776,0.9461090911680873
0.78,0.9477709759286645
0.784,0.9494352487627351
0.788,0.9511017812285796
0.792,0.9527709698871507
0.796,0.954442263584211
0.8,0.9561155494375297
0.804,0.9577910297391059
0.808,0.959468680113591
0.812,0.9611477728203222
0.816,0.9628291312560817
0.82,0.9645120331634208
0.824,0.9661967717561916
0.828,0.9678829794291129
0.832,0.9695704284710908
0.836,0.9712596091554506
0.84,0.9729504741669763
0.844,0.9746422975397401
0.848,0.976335552902242
0.852,0.9780299433884174
0.856,0.9797254283211377
0.86,0.9814221286855798
0.864,0.9831196655510626
0.868,0.9848182507566028
0.872,0.9865174080025266
0.876,0.9882178748616743
0.88,0.989919172102657
0.884,0.9916209908042616
0.888,0.9933235486782102
0.892,0.9950267943205413
0.896,0.9967308607590576
0.9,0.9984352599186742
0.904,1.0001403816213208
0.908,1.0018455642843442
0.912,1.0035515456200572
0.916,1.0052577491307932
0.92,1.0069643878260013
0.924,1.0086715840769416
0.928,1.010378762579907
0.932,1.0120862178213303
0.936,1.013794077409294
0.94,1.0155019276171784
0.944,1.0172099881640266
0.948,1.0189176676572866
0.952,1.0206257044194755
0.956,1.022333697122604
0.96,1.0240414849007589
0.964,1.02574963890294
0.968,1.0274575744950987
0.972,1.0291651447367411
0.976,1.0308724621291243
0.98,1.0325797274526682
0.984,1.0342860876035824
0.988,1.0359929152294893
0.992,1.0376989704499382
0.996,1.0394043932582127
1.0,1.0411094587554697
1.004,1.0428134900978085
1.008,1.0445177649196298
1.012,1.0462212220774219
1.016,1.0479241711475
1.02,1.0496263541270554
1.024,1.051327358903584
1.028,1.0530275837198149
1.032,1.0547269407680417
1.036,1.0564252815968411
1.04,1.058122524205896
1.044,1.0598189816279422
1.048,1.0615141288151426
1.052,1.063208258667416
1.056,1.0649008541681833
1.06,1.0665922021337917
1.064,1.0682824052583597
1.068,1.0699712203517169
1.072,1.071658773660122
1.076,1.073344612204854
1.08,1.0750287018872673
1.084,1.0767111178106525
1.088,1.0783918137174524
1.092,1.0800703174928423
1.096,1.0817474854324272
1.1,1.0834229863646305
1.104,1.0850961001698038
1.108,1.0867673050874238
1.112,1.0884365821597428
1.116,1.0901037287882736
1.12,1.0917687948974375
1.124,1.0934319228356977
1.128,1.0950925118831403
1.132,1.096750718310387
1.136,1.0984060415244086
1.14,1.1000588586580347
1.144,1.101709573957084
1.148,1.1033574111022053
1.152,1.1050027637016737
1.156,1.106645416357115
1.16,1.1082849856813923
1.164,1.1099221156097199
1.168,1.1115563721084187
1.172,1.1131879703718903
1.176,1.1148160241143843
1.18,1.116441724452528
1.184,1.1180639753229613
1.188,1.1196828857947319
1.192,1.1212985549831116
1.196,1.122910675074816
1.2,1.1245196857771897
1.204,1.126125482582555
1.208,1.1277278405772315
1.212,1.1293264598280028
1.216,1.1309216429503404
1.22,1.1325134541480453
1.224,1.1341018303113781
1.228,1.135686541557151
1.232,1.1372675701263188
1.236,1.1388449152609916
1.24,1.1404184536879787
1.244,1.1419874224719944
1.248,1.143553117814018
1.252,1.1451144710691634
1.256,1.146671860178684
1.26,1.1482256867045757
1.264,1.1497752829701706
1.268,1.1513202276005068
1.272,1.152861760438463
1.276,1.1543989554330745
1.28,1.155932520122399
1.284,1.157461367056251
1.288,1.158985575144917
1.292,1.1605058745092272
1.296,1.1620219483528038
1.3,1.1635333339509766
1.304,1.1650403091814037
1.308,1.16654270964817
1.312,1.1680407136724105
1.316,1.1695343281487913
1.32,1.1710229162842247
1.324,1.1725071278523527
1.328,1.1739867275543523
1.332,1.17546156174657
1.336,1.1769316963013834
1.34,1.1783963305021687
1.344,1.179856307347899
1.348,1.1813111674362293
1.352,1.1827617255090122
1.356,1.184206873335458
1.36,1.1856470141746442
1.364,1.187082299312583
1.368,1.1885126905393528
1.372,1.189937502065813
1.376,1.1913570226494952
1.38,1.1927712411261429
1.384,1.1941802147928609
1.388,1.1955837766124537
1.392,1.1969811084292605
1.396,1.1983727464695202
1.4,1.1997588139569622
1.404,1.201138681372989
1.408,1.2025132264939478
1.412,1.2038820425745609
1.416,1.2052447210083452
1.42,1.2065999806226655
1.424,1.2079501061346396
1.428,1.20929367578038
1.432,1.2106306426265439
1.436,1.2119609243596523
1.44,1.2132840963365739
1.444,1.2146010175417834
1.448,1.215910456170959
1.452,1.2172128128033823
1.456,1.218508243374406
1.46,1.2197964378772057
1.464,1.221077607394032
1.468,1.2223511747581393
1.472,1.2236174661573442
1.476,1.2248758747374497
1.48,1.2261262997090816
1.484,1.2273685813585402
1.488,1.228602294269203
1.492,1.2298281714497523
1.496,1.2310439441971892
1.5,1.2322512403533614
1.504,1.2334500621858544
1.508,1.2346406336962648
1.512,1.2358212798426542
1.516,1.2369936846237573
1.52,1.238156218749635
1.524,1.2393100356348898
1.528,1.2404549824560152
1.532,1.241589846269658
1.536,1.2427155017198552
1.54,1.2438306055261714
1.544,1.2449380238634264
1.548,1.2460345320744373
1.552,1.2471214334511156
1.556,1.2481984728327862
1.56,1.2492684740131859
1.564,1.2503285310719345
1.568,1.2513800348004576
1.572,1.2524215958889473
1.576,1.253455033629538
