,strain_eng,Stress_eng
0,-3.94e-05,0.006481834
1,-3.8e-05,0.034188867
708,-0.0001318,-20.6069882
709,-0.0001305,-20.56952095
829,7.65e-05,22.34921539
851,0.0001864,44.60476265
873,0.0002946,66.89777716
896,0.0004071,90.0900057
918,0.0005158,112.3642866
938,0.0006246,134.413764
946,0.0007365,157.23132
954,0.0008451,179.3557319
962,0.0009525,201.068004
971,0.001072,225.1781802
979,0.001175,246.2160418
988,0.001289,269.4644712
997,0.001402,292.1696255
1006,0.001517,313.9568321
1016,0.001649,336.1187112
1071,0.002603,401.4803311
1072,0.002638,401.5177983
1098,0.003761,396.7219902
1125,0.005174,395.5043045
1153,0.00645,395.42937
1205,0.008074,390.9520335
1226,0.008533,391.626444
1247,0.008805,391.1206361
1263,0.009008,392.8628633
1282,0.009302,392.6380598
1312,0.0099,394.1929507
1351,0.01076,391.0831689
1386,0.01127,393.5185402
1399,0.01143,390.427492
1438,0.01227,398.4642174
1632,0.01649,413.8819913
1810,0.02052,426.2274506
1969,0.02394,435.6317306
2261,0.03012,450.375094
2618,0.03781,465.3057937
2934,0.04465,475.7216895
2940,0.0449378,481.0396038
3139,0.0592705,496.3751371
3223,0.0657075,501.4982217
3342,0.0748924,507.5122775
3510,0.0880501,513.4116836
3513,0.0877281,513.6479146
3570,0.0928124,515.2408348
3572,0.0924989,515.3354396
3687,0.102233,517.7990987
3688,0.1018389,517.9070044
3842,0.1146941,520.1074561
4109,0.1390322,521.5621221
4359,0.1629589,520.5935937
4513,0.1787308,518.7912315
4823,0.1790626,486.4495002
4830,0.1791164,493.1048081
4972,0.1791588,489.8447825
4978,0.1788618,489.8616428
4989,0.1792764,489.6928528
4995,0.1789488,489.5916913
5000,0.1790069,490.641149
5345,0.1791778,486.6621269
5375,0.1788185,486.4495002
5395,0.1791402,486.5778256
5757,0.1790773,485.8082482
5765,0.1793597,518.3762817
5770,0.1798314,521.6700278
5771,0.1799455,521.4811928
5797,0.1827692,519.8206443
5951,0.1996656,514.9843715
5995,0.2044951,512.5308285
6053,0.2109995,507.3875116
6109,0.2174489,500.1482766
6151,0.2220103,493.0946919
6191,0.2265548,485.0590905
6247,0.2329411,471.5931731
6269,0.2354924,465.3631185
6329,0.242224,446.4367239
6350,0.2446799,438.4584474
6398,0.2501272,417.7634112
6450,0.2563428,388.6515443
6468,0.2583538,376.0395055
6469,0.2584754,375.307208
6470,0.2612619,374.4162368
6473,0.2615036,35.36739918
6477,0.2617903,57.57761107
6483,0.2630537,21.13546378
6492,0.2644665,-0.099475552
6493,0.2645446,0.211127961
6494,0.264637,-0.021731006
6498,0.2651645,0.17066333
6499,0.2652888,-0.008242795
6500,0.2654323,0.025477731
6501,0.265555,-0.028475111
6503,0.2655623,0.130011362
6504,0.2657534,-0.00149869
6505,0.2658756,0.15361573
6508,0.2662122,-0.025103058
6511,0.2665296,0.157175119
6512,0.266639,-0.004870743
6513,0.2667935,0.174035382
6517,0.2672253,-0.06556769
6518,0.2671912,0.035593889
6519,0.2671651,-0.011614848
6521,0.26724,0.126639309
6523,0.2672337,-0.069127079
6524,0.2672215,0.065942362
6525,0.2672052,-0.082615289
6526,0.2671984,0.157175119
6529,0.2671986,-0.085987342
6530,0.2672117,0.045710047
6534,0.2672082,-0.041963321
6535,0.2672077,0.086174678
6536,0.2672032,-0.079243236
6538,0.2672004,0.069314415
6540,0.2671741,-0.055451532
6542,0.2671993,0.022105678
6544,0.2672127,-0.025103058
6545,0.2672051,0.072686467
6547,0.2672133,-0.011614848
6553,0.2672236,0.150243678
6560,0.2672006,-0.014986901
6564,0.2672,0.103034941
6565,0.2672085,-0.041963321
6566,0.2672031,0.028849783
6569,0.2672052,-0.102847605
6570,0.2672119,0.038965941
6572,0.2672194,-0.038591269
6573,0.2671977,0.022105678
6574,0.2672077,-0.170288657
6578,0.2672185,0.042337994
6580,0.2672131,-0.106219657
