,e_true,Sigma_true
0,1.45e-05,-0.351974958
36,4.49e-05,4.348584797
37,4.37e-05,4.326183846
344,-2.34e-05,-18.96800606
345,-2.3e-05,-18.92320416
403,0.0001807,30.10127918
434,0.0003212,59.50252862
466,0.0004678,90.10782922
524,0.0006009,118.7530465
533,0.0007408,148.3223031
543,0.0008899,179.8796442
553,0.001036,210.960965
562,0.001166,238.5701383
572,0.001308,268.8394246
583,0.001463,301.6008168
593,0.001605,331.0300675
603,0.001744,359.8992943
614,0.001896,390.6446008
625,0.002053,419.9898479
640,0.002269,450.4831437
726,0.002151,416.8817158
811,0.002169,419.4018229
893,0.002184,417.5817456
904,0.00221,418.6177896
929,0.00259,417.9177598
942,0.00314,418.7017932
982,0.005726,417.9177598
1007,0.007408,418.8698003
1060,0.01105,417.5537444
1107,0.01422,418.9818051
1120,0.01511,417.6937503
1170,0.01848,417.9177598
1183,0.01933,418.9538039
1198,0.02035,417.9177598
1201,0.02055,418.085767
1221,0.02186,418.8137979
1236,0.0227,417.8617575
1276,0.02372,419.0658086
1329,0.02369,417.9737622
1421,0.02362,419.3178193
1433,0.02359,416.4056956
1508,0.02376,427.7741787
1548,0.02426,433.122406
1813,0.03062,448.8310735
2078,0.03633,460.7875816
2530,0.04579,477.0282718
2537,0.0460429,482.1272885
2549,0.0470508,482.7074731
2731,0.0601523,497.6441479
2868,0.0703267,506.683772
2950,0.0766605,511.0169562
3090,0.0876339,516.6617161
3210,0.0970717,520.28367
3351,0.1084939,523.461805
3591,0.1289881,526.4380515
3844,0.1516422,527.3410899
4159,0.1824823,525.1819181
4663,0.1829398,491.7823788
4670,0.1829087,496.1964864
4800,0.1830106,495.0159562
5004,0.18276,494.8294683
5088,0.1829256,492.3827243
5108,0.1826733,492.140794
5255,0.1829485,491.4141631
5294,0.1830158,513.5342632
5302,0.1837698,527.648823
5303,0.1839131,527.9109141
5329,0.1862754,526.2764846
5499,0.204892,522.3621983
5595,0.2154433,517.484111
5644,0.2209975,512.8230329
5676,0.2245596,508.4142456
5740,0.2317835,495.8081099
5788,0.2373141,483.010166
5824,0.2413969,470.7369644
5856,0.2450648,457.6920501
5901,0.2501744,433.0902046
5937,0.2542887,404.1196135
5939,0.2545073,401.8800783
5940,0.257452,23.53528016
5942,0.2577731,42.00794517
5944,0.2580371,53.95829301
5976,0.258828,19.55519102
