,strain_eng,Stress_eng
0,-2.3e-05,0.004181178
5,-2.95e-05,-2.630542227
419,5.83e-05,19.92289613
439,0.0001531,39.88732714
459,0.0002465,59.83791319
478,0.0003372,78.8193521
498,0.0004341,98.74224823
518,0.0005294,118.6651444
533,0.0006168,137.4250639
540,0.0007112,157.3894949
547,0.0008057,177.1600965
554,0.0009014,196.7784035
562,0.001008,218.958028
569,0.001099,238.0640716
576,0.001191,256.8239911
584,0.001296,277.6468096
592,0.001406,296.7390082
625,0.001952,347.3423337
649,0.002374,367.542129
650,0.00239,367.6113538
658,0.002676,352.298829
662,0.0032,340.9182726
677,0.004028,344.9056209
698,0.004747,346.193202
719,0.005299,346.193202
736,0.00556,344.1441481
762,0.005819,344.6841015
782,0.005916,342.8011871
812,0.006157,345.542489
838,0.006555,345.528644
884,0.007407,346.3316516
902,0.00776,346.1239773
926,0.008376,347.6607677
941,0.009187,346.1378222
944,0.009383,346.2485819
987,0.01084,356.1338827
1100,0.01336,369.0373845
1276,0.01703,385.8728548
1442,0.0205,400.3131471
1743,0.02674,422.8527405
2028,0.0327,440.629668
2318,0.03876,455.6376037
2536,0.04332,465.2044704
2538,0.04336,465.2875401
2539,0.0445103,471.0356903
2541,0.0446744,471.3175736
2653,0.0525365,484.2151222
2711,0.0565312,489.9293521
2731,0.058237,491.8922904
2744,0.0587392,493.0520827
2751,0.0594047,493.6407703
2756,0.0594839,494.0822861
2773,0.0610824,495.84558
2787,0.0617531,496.7311036
2954,0.0739001,508.4215102
3071,0.0825214,514.8889059
3181,0.0908916,519.453312
3255,0.0966988,521.9026238
3409,0.1087998,525.7362929
3576,0.1225471,528.9364168
3768,0.1390531,530.5825824
3936,0.1542893,530.9741178
3971,0.157548,530.5925508
4117,0.171862,529.7495312
4210,0.1811753,528.9090037
4213,0.1814671,524.4069
4232,0.1814949,511.6214956
4249,0.1813305,508.6957788
4271,0.1815232,506.4535877
4282,0.1813074,505.5880009
4289,0.1815059,505.1415009
4312,0.1813597,504.0242127
4353,0.1815318,502.455302
4375,0.1813946,501.8616301
4398,0.1815223,501.0061501
4432,0.1807309,397.6611452
4444,0.1808064,398.0576648
4451,0.1805955,397.9528585
4459,0.180808,397.3043606
4516,0.1807401,385.7038078
4523,0.1805429,384.8234069
4536,0.1806986,384.0227529
4542,0.1804127,384.0601343
4545,0.1805565,383.9405139
4602,0.180553,385.2549543
4610,0.1807093,385.3222408
4671,0.180549,385.125227
4679,0.1806969,385.0928298
4693,0.1804418,384.9132607
4815,0.1807436,385.3670984
4844,0.180702,385.4743969
4845,0.1814722,486.9787144
4846,0.1818439,519.9821895
4848,0.1816933,498.8486901
4882,0.1816042,488.9316844
4889,0.1814505,488.8493069
4914,0.1815677,487.9315245
4928,0.1814098,487.6222281
4952,0.1816532,487.2979792
4970,0.1814163,487.0860129
4983,0.1816628,486.9861907
5072,0.1813657,486.5347066
5093,0.1816514,486.6046237
5114,0.1813886,486.4873568
5331,0.1816465,486.0483332
5343,0.1819385,524.0502538
5345,0.182172,528.5322824
5349,0.182525,530.0937169
5352,0.1828422,530.6598373
5361,0.1837016,530.3555251
5388,0.1863786,529.5599937
5473,0.1954057,527.9037213
5542,0.2028143,525.833623
5597,0.2089352,522.1745387
5630,0.2125846,519.0742371
5681,0.2183241,512.4146733
5723,0.2230601,505.5331748
5780,0.2294871,494.0472583
5831,0.2352779,482.257168
5876,0.2404725,469.8061194
5918,0.2451346,456.8386539
5974,0.2515085,436.9024666
6017,0.2565331,418.5001623
6055,0.260895,399.8111289
6069,0.2624108,391.9219943
6071,0.2626871,390.1135658
6072,0.2671165,347.0312374
6073,0.2666264,0.547568132
