,strain_eng,Stress_eng
0,-1.87e-05,0.979773215
60,-1.38e-05,3.39551401
165,-2.04e-05,0.101519504
196,9.97e-05,28.46198989
224,0.0002322,56.25982056
251,0.0003605,83.17210561
279,0.0004932,111.0667928
378,0.0006281,139.3904162
387,0.0007459,164.3517336
398,0.0008908,194.3495916
408,0.00102,221.2618767
418,0.001148,247.6206957
429,0.001293,275.3908531
440,0.00144,302.0125685
452,0.001596,330.529905
464,0.001753,358.2862257
476,0.001906,384.5758615
496,0.002105,412.6227518
584,0.001934,385.1431641
633,0.001946,386.5129925
659,0.002015,385.82116
694,0.003222,383.7733357
722,0.004592,385.2953673
760,0.0067,384.9217777
775,0.007576,385.8903433
796,0.008898,385.0047976
806,0.009515,385.2953673
822,0.01056,384.5481882
831,0.01113,384.949451
852,0.0125,383.6488059
861,0.01309,383.7733357
873,0.01389,383.1506865
883,0.01453,383.289053
897,0.01538,384.6035348
922,0.01652,384.4928416
959,0.01734,382.5280372
1002,0.01789,384.1884353
1028,0.01798,383.0676666
1072,0.01812,385.5721003
1105,0.01817,379.8298904
1143,0.01841,391.3834935
1167,0.01884,396.3923609
1243,0.02051,403.8779888
1369,0.02321,414.7259227
1603,0.02797,431.4267597
1863,0.03288,446.1904657
2112,0.0377,458.9340208
2377,0.043,470.681337
2379,0.04304,470.7920302
2380,0.0433946,476.2220852
2382,0.0435028,476.2743878
2411,0.045521,479.2581231
2510,0.0516049,489.9145578
2600,0.057359,498.6640253
2670,0.0620929,504.7088427
2778,0.0694339,512.62313
2867,0.0757692,518.1594506
2933,0.0806341,521.7489545
3038,0.0885117,526.4103836
3184,0.0996362,531.4357167
3352,0.1129374,535.5436798
3550,0.1294068,538.1560394
3767,0.1484903,539.2155117
3791,0.1505739,539.315274
3964,0.1669759,538.629668
4150,0.1854244,536.3488345
4153,0.1857078,534.8382874
4165,0.1858316,521.5221718
4172,0.1858255,519.5678833
4177,0.185584,518.5309647
4188,0.1858116,516.7461751
4217,0.1857071,513.934291
4257,0.1858908,511.758201
4266,0.1856881,511.2721195
4270,0.1858596,511.2247982
4329,0.1857402,509.3800959
4391,0.1859764,508.1064323
4420,0.1857314,507.5629286
4458,0.1858723,506.8824422
4462,0.1856981,506.8351208
4467,0.1857668,495.400928
4583,0.1849649,393.8404675
4615,0.1850797,394.314096
4635,0.1848163,394.3913045
4655,0.1850315,394.3589268
4658,0.1852383,410.9927944
4659,0.186211,531.9965161
4661,0.1861233,509.2829626
4716,0.1860665,496.4678721
4800,0.1858792,494.6382518
4813,0.1861742,530.0347558
4815,0.186327,535.2670852
4818,0.1866437,537.1440268
4822,0.1870441,537.5479186
4828,0.1877023,537.5178931
4915,0.1969498,535.0277111
4967,0.2025888,533.0335731
5012,0.2075288,530.6255808
5065,0.2133646,526.2682812
5094,0.2166399,522.9903787
5124,0.2200321,518.8350942
5184,0.2267462,508.7918999
5227,0.2316101,499.9951111
5279,0.2373917,487.6436867
5332,0.2435625,472.9441828
5396,0.2507286,451.6737919
5432,0.2549287,437.6796804
5476,0.2599848,418.0421527
5513,0.2642518,398.5965393
5516,0.2645867,396.6198354
5518,0.2648075,393.159981
5520,0.2689395,0.270506515
