,strain_eng,Stress_eng
0,-3.02e-05,-0.391024534
2,-3.57e-05,-2.100738934
3,-3.6e-05,-1.870237356
198,0.0001142,28.47453628
227,0.0002502,57.25272733
256,0.0003836,86.0033134
286,0.0005255,115.8028887
334,0.0006562,143.8495478
345,0.0007971,173.4834932
356,0.000934,202.3168942
367,0.00107,230.7914305
379,0.001217,261.2949327
390,0.001348,288.8723072
402,0.00149,318.5062526
414,0.001631,347.6433084
426,0.001771,376.1040422
439,0.001928,405.3791229
455,0.002153,433.7846467
456,0.002172,434.1297089
462,0.001968,395.8139975
529,0.001974,399.5544722
541,0.002008,398.9195577
565,0.002917,398.3536556
587,0.003954,399.1542
612,0.005245,399.0575826
622,0.005779,399.775312
662,0.008131,398.7401253
691,0.009899,398.9471626
701,0.0105,398.1190133
715,0.01099,399.0023726
725,0.01123,398.477878
752,0.01178,398.7953353
761,0.01193,398.2294332
773,0.01208,398.7263228
791,0.01222,398.1190133
809,0.01232,399.0851875
850,0.01251,397.4702962
882,0.01284,405.4757403
899,0.01321,408.9539677
1079,0.01729,427.0352292
1236,0.02051,439.7473222
1352,0.02295,448.6223231
1679,0.02945,469.0776129
1862,0.03298,478.7807631
2021,0.03619,486.7033922
2162,0.03902,493.0801425
2334,0.04255,499.9675849
2336,0.04259,500.0227948
2337,0.0430443,504.3578808
2340,0.0433114,505.1883766
2377,0.0459326,508.4258886
2438,0.0498258,514.7790366
2527,0.055541,523.1687419
2628,0.0624251,531.1954418
2728,0.0693722,537.7599059
2788,0.0738461,541.1565606
2878,0.0805269,545.5726672
3011,0.0905292,550.51106
3167,0.1026788,554.6486323
3294,0.1130081,556.7373631
3429,0.1244289,558.1075362
3565,0.1362986,558.6744045
3700,0.1486065,558.1298963
3821,0.1602239,556.6504074
3824,0.1604344,552.318772
3836,0.1604299,541.862696
3917,0.1607977,532.6699618
3960,0.1606585,531.0362991
3972,0.1607986,530.6408577
4025,0.1605834,529.0643374
4047,0.1607188,528.6615807
4054,0.1606017,522.3481839
4057,0.1599941,450.7525994
4061,0.1597772,412.3876131
4071,0.1595787,404.2191616
4074,0.1596019,403.6821067
4088,0.1598139,404.5250248
4126,0.1595554,397.7143243
4134,0.1597453,395.6257315
4160,0.1595877,392.7984295
4175,0.1597403,392.6169268
4197,0.1595056,392.9277589
4214,0.159812,393.1291372
4230,0.1594929,393.2013242
4251,0.1597238,393.0546037
4261,0.1595244,392.9203055
4277,0.1595387,392.4254863
4396,0.1598104,401.8570035
4397,0.1607123,529.5940769
4399,0.1607702,533.1099851
4408,0.1606573,519.5781622
4441,0.1608429,518.7576042
4507,0.1606972,517.126426
4529,0.1608963,516.7036557
4541,0.1606888,516.6017934
4625,0.1608921,515.8532843
4663,0.1606435,515.6369993
4667,0.1609087,515.6593594
4705,0.160612,515.6045635
4801,0.1609024,515.4031851
4816,0.1606683,515.4455588
4850,0.160831,515.2291358
4857,0.1609463,548.4496581
4859,0.1611004,554.6237878
4865,0.1615716,558.2542567
4975,0.1730582,554.7630549
5014,0.1772666,552.7738401
5058,0.1821733,549.5388126
5114,0.1883931,543.3024337
5140,0.1913261,539.5204134
5183,0.1961399,532.3417385
5227,0.2011502,523.5567299
5297,0.209085,507.0111334
5339,0.2139322,495.2222889
5388,0.2192446,479.5121571
5402,0.2211542,474.588809
5434,0.2247801,462.5290216
5465,0.2283087,449.5566137
5483,0.2304259,441.2912687
5501,0.2325667,431.8324225
5505,0.2330422,422.753973
5507,0.2334446,407.1036059
5508,0.2379324,41.55888245
5509,0.2377391,-7.410970801
5511,0.237887,0.913862844
5512,0.2380155,1.85878129
5513,0.2381583,1.846359049
5517,0.2386535,-0.20745142
5518,0.2388155,-0.192544731
5522,0.2392507,0.063491453
5524,0.2395188,-0.113042391
5525,0.2396488,0.016286938
5533,0.2404946,-0.142855769
5534,0.240565,0.011318042
5535,0.2406403,-0.103104598
5536,0.2407409,0.008833593
5572,0.241247,-0.247340616
5588,0.2412043,-0.150309113
