,e_true,Sigma_true
0,-1.78e-05,0.003934436
1,-1.84e-05,-0.028507402
252,0.0001254,29.19765354
281,0.0002591,58.00876605
309,0.0003914,85.85352595
338,0.0005271,114.6508334
363,0.0006606,143.1582351
374,0.0008026,172.9495052
385,0.0009416,202.1747689
396,0.001077,230.9720763
407,0.00121,259.3690377
418,0.001345,287.4346782
430,0.001489,317.5710743
441,0.001619,344.7117773
453,0.001761,373.5643049
466,0.001917,403.2589398
483,0.002134,431.5592659
484,0.002145,431.6420961
541,0.002058,398.7446926
558,0.002074,400.000951
583,0.00208,398.7446926
598,0.002125,399.7386553
619,0.002681,399.269284
651,0.004446,400.1113913
679,0.006293,399.5177747
707,0.008088,400.0423661
724,0.009248,399.5315798
737,0.01007,400.1113913
744,0.01056,399.5591898
777,0.01252,399.3245042
784,0.01275,398.7999128
802,0.01311,400.2218316
875,0.01316,389.5229278
922,0.01331,407.3314257
959,0.01389,412.5635348
1114,0.01739,427.7490757
1266,0.02051,439.8837033
1308,0.02134,443.2107172
1613,0.02744,463.4627067
1746,0.03011,471.3453829
1981,0.03472,483.4524005
2194,0.03899,493.0192912
2362,0.04232,499.631904
2365,0.04238,499.8803947
2366,0.0428807,504.6349875
2368,0.0430582,504.7245822
2415,0.0462026,509.1539284
2436,0.0473562,511.2852881
2439,0.0478436,511.583753
2444,0.0478992,512.1035126
2489,0.0509616,516.6547573
2494,0.0510417,517.1049395
2504,0.0519087,517.9306188
2510,0.0521132,518.7389037
2556,0.0552118,522.8349963
2657,0.0619892,531.0148949
2779,0.0708016,539.1101687
2849,0.0757893,542.6939564
2923,0.0812115,546.0440247
3064,0.091845,551.0603611
3208,0.1032241,554.8356246
3336,0.1137155,556.9620144
3456,0.1237551,558.210542
3646,0.1402864,558.936687
3665,0.1419609,558.9118379
3857,0.1599915,557.6583405
3949,0.1688668,556.5018926
3999,0.1740781,555.5046167
4002,0.1743133,555.3852031
4004,0.1745446,553.7985902
4033,0.1747454,537.0434166
4166,0.1746006,528.9332334
4174,0.1747458,528.701999
4308,0.1740394,450.3234865
4413,0.173635,396.2582674
4444,0.1735783,396.6561286
4451,0.1736965,396.564187
4461,0.173493,396.6662062
4467,0.1737302,398.9766173
4468,0.1747404,524.0561899
4469,0.1749061,544.7034176
4470,0.1748235,532.0171406
4487,0.174695,518.3484973
4492,0.1748646,518.1196098
4513,0.1746785,517.5029387
4607,0.1747392,515.6077832
4639,0.1749119,515.1899048
4877,0.1747539,514.2772538
4883,0.1748717,542.8158548
4887,0.1753361,554.905202
4890,0.1755196,556.4994076
4893,0.1758903,556.7258103
4962,0.1831254,554.2759684
5009,0.1881639,551.9879215
5072,0.1951687,546.601058
5102,0.1987274,543.1043801
5146,0.2035795,536.6604649
5202,0.2098488,526.3616311
5239,0.2140629,518.490275
5271,0.2177896,510.6635092
5303,0.2213568,502.3096671
5310,0.2218932,500.3672984
5332,0.2247015,494.0055231
5365,0.2284142,483.6246874
5402,0.2326731,470.6821889
5439,0.2369545,456.1331984
5455,0.2386553,449.1943725
5463,0.2397759,445.5956755
5482,0.2419387,435.9560322
5489,0.2427452,429.7882177
5490,0.2428447,427.656858
5491,0.2429438,422.9911696
5493,0.2477351,-15.77115052
5495,0.2479272,-3.206910127
5498,0.2480684,8.792842303
5501,0.2483817,12.74481028
5506,0.2489423,9.434500429
5515,0.2500749,-0.205004801
5517,0.2503797,-0.127972694
5532,0.2512742,-0.38667909
5621,0.2514441,-0.264780612
5645,0.2512546,-0.254840986
