column_name,description,symbol,unit,type,example_value,nullable,group
experimental_program,Name of the research program/investigators,,-,String,"Wen, Skiadopoulos, Ashida & Lignos",False,Experimental program details
standard,Testing standard referenced,,-,String,ASTM E8M-25,False,Specimen details
specimen_type,Selected specimen cross-section type,,-,String,Rectangular,False,Specimen details
id,Unique specimen identifier (primary key),`id`,-,String,batch1-bfl-A3,False,Experimental program details
profile_type,Type of steel section,,-,String,wide flange,False,Specimen details
profile,Profile designation,,-,String,IPE400,False,Specimen details
specimen_source,Source of the coupon within the parent profile,,-,String,Flange,True,Specimen details
steel_grade,Steel grade designation,,-,String,S355J2+AR,False,Material properties
avg_init_reduced_width__mm_,Averaged initial measured width of reduced section,`b_0`,mm,DecimalFloat,40.09,False,Geometric properties
avg_init_reduced_thickness__mm_,Averaged initial measured thickness of reduced section,`t_0`,mm,DecimalFloat,13.293,False,Geometric properties
avg_init_marked_gauge_length__mm_,Averaged initial distance between gauge marks,`L_0`,mm,DecimalFloat,200.68,False,Geometric properties
eff_fractured_width__mm_,"Effective final measured width at fracture (see report A-30007_REP_01, section 7.12)",`b_f`,mm,DecimalFloat,27.76,False,Geometric properties
eff_fractured_thickness__mm_,"Effective final measured thickness at fracture (see report A-30007_REP_01, section 7.12)",`t_f`,mm,DecimalFloat,7.483,False,Geometric properties
avg_fractured_marked_gauge_length__mm_,Averaged final distance between gauge marks at fracture,`L_f`,mm,DecimalFloat,250.18,False,Geometric properties
fy_n__mpa_,Nominal yield stress,"`f_{y,n}`",MPa,DecimalFloat,355,False,Material properties
fu_n__mpa_,Nominal tensile strength,"`f_{u,n}`",MPa,DecimalFloat,490,False,Material properties
t_a__deg_c_,Ambient temperature at which the test was conducted,`T_a`,°C,DecimalFloat,20.6,False,Material properties
date,Test date (format: DD.MM.YYYY),,-,String,25.02.2026,False,Experimental program details
year,Year of test,,-,SmallInteger,2026,False,Experimental program details
investigator,Person who conducted the test,,-,String,Yosuke Ashida,False,Experimental program details
location,Test location,,-,String,EPFL_GIS,False,Experimental program details
machine,Test machine identifier,,-,String,LFV-1500,False,Test equipment details
pid_force_p,PID proportional gain for force control,`K_p`,-,DecimalFloat,0.007,True,Test equipment details
pid_force_i,PID integral gain for force control,`K_i`,-,DecimalFloat,1,True,Test equipment details
pid_force_d,PID derivative gain for force control,`K_d`,-,DecimalFloat,0,True,Test equipment details
pid_disp_p,PID proportional gain for crosshead displacement control,`K_p`,-,DecimalFloat,4,True,Test equipment details
pid_disp_i,PID integral gain for crosshead displacement control,`K_i`,-,DecimalFloat,0.2,True,Test equipment details
pid_disp_d,PID derivative gain for crosshead displacement control,`K_d`,-,DecimalFloat,0,True,Test equipment details
pid_ext_p,PID proportional gain for extensometer control,`K_p`,-,DecimalFloat,0.8,True,Test equipment details
pid_ext_i,PID integral gain for extensometer control,`K_i`,-,DecimalFloat,0.8,True,Test equipment details
pid_ext_d,PID derivative gain for extensometer control,`K_d`,-,DecimalFloat,0,True,Test equipment details
yield_stress_02__mpa_,"Engineering stress at yield, 0.2% offset rule","`f_{y,m}`",MPa,DecimalFloat,395,True,Measured response
yield_strain_02,"Engineering strain at yield, 0.2% offset rule",`\varepsilon_y`,-,DecimalFloat,0.00394,True,Measured response
bin_discont_yield,"Presence of discontinuous yielding (0 = no, 1 = yes)",,-,Boolean,1,False,Measured response
yield_stress_uyp__mpa_,Engineering stress at upper yield point,"`f_{y,uyp}`",MPa,DecimalFloat,400,True,Measured response
yield_stress_lyp__mpa_,Engineering stress at lower yield point,"`f_{y,lyp}`",MPa,DecimalFloat,389,True,Measured response
yield_point_elongation,Yield point elongation,`\varepsilon_{yp}`,-,DecimalFloat,0.01045,True,Measured response
tensile_strength__mpa_,Engineering stress at maximum strength (measured tensile strength),"`f_{u,m}`",MPa,DecimalFloat,523,True,Measured response
uniform_elongation,Engineering strain at maximum strength,`\varepsilon_u`,-,DecimalFloat,0.13913,True,Measured response
elongation_at_fracture,Elongation at fracture,`\varepsilon_f`,%,DecimalFloat,21.5,True,Measured response
elongation_after_fracture,Elongation after fracture,`\varepsilon_{af}`,%,DecimalFloat,24.7,True,Measured response
reduction_of_area,Reduction of area,`Z`,%,DecimalFloat,61,True,Measured response
elastic_modulus__mpa_,Young's modulus,`E`,MPa,DecimalFloat,202901,True,Measured response
c,Carbon content,,wt%,DecimalFloat,0.09,True,Chemical composition
si,Silicon content,,wt%,DecimalFloat,0.19,True,Chemical composition
mn,Manganese content,,wt%,DecimalFloat,1.46,True,Chemical composition
p,Phosphorus content,,wt%,DecimalFloat,0.024,True,Chemical composition
s,Sulfur content,,wt%,DecimalFloat,0.023,True,Chemical composition
n,Nitrogen content,,wt%,DecimalFloat,0.011,True,Chemical composition
cu,Copper content,,wt%,DecimalFloat,0.32,True,Chemical composition
mo,Molybdenum content,,wt%,DecimalFloat,0.02,True,Chemical composition
ni,Nickel content,,wt%,DecimalFloat,0.15,True,Chemical composition
cr,Chromium content,,wt%,DecimalFloat,0.13,True,Chemical composition
v,Vanadium content,,wt%,DecimalFloat,0.008,True,Chemical composition
nb,Niobium content,,wt%,DecimalFloat,0.04,True,Chemical composition
ti,Titanium content,,wt%,DecimalFloat,0.023,True,Chemical composition
al,Aluminum content,,wt%,DecimalFloat,0.018,True,Chemical composition
b,Boron content,,wt%,DecimalFloat,0.001,True,Chemical composition
zr,Zirconium content,,wt%,DecimalFloat,0.001,True,Chemical composition
sn,Tin content,,wt%,DecimalFloat,0.001,True,Chemical composition
ca,Calcium content,,wt%,DecimalFloat,0.001,True,Chemical composition
h,Hydrogen content,,wt%,DecimalFloat,0.001,True,Chemical composition
fe,Iron content,,wt%,DecimalFloat,98.5,True,Chemical composition
file_path,Relative path to the stress-strain time-series file for this specimen,,-,String,tensile_coupons/stress_strain/batch1-bfl-A3.csv,True,Experimental program details
reference,Publication reference (human-readable),,-,String,Wen et al. (2026),True,Experimental program details
link,URL to the publication,,-,String,https://doi.org/...,True,Experimental program details
latitude,Latitude of the test location,,degrees,DecimalFloat,46.5191,False,Experimental program details
longitude,Longitude of the test location,,degrees,DecimalFloat,6.5668,False,Experimental program details
publication_key,BibTeX citation key for the publication,,-,String,AshidaCompositeEffect2025,True,Experimental program details
datacol_version,Version of the data collection system,,-,SmallInteger,1,False,Experimental program details
