id,experimental_program,date,profile_type,profile,spec_var,steel,fy_n,fy_e,fy_mf,fy_mw,h,b,tw,tf,r,flange_nr_data,plot_sf,reference,link,latitude,longitude
Ketter_1958_W4x13_1,Ketter,1958,Hot-rolled wide flange,W4x13,NA,ASTM A7,250,375,NR,NR,106,103,7.1,8.8,6.4,1,2.8,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W8x24_2,Ketter,1958,Hot-rolled wide flange,W8x24,NA,ASTM A7,250,375,NR,NR,201,165,6.2,10.2,10,1,1.6,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W8x31_3,Ketter,1958,Hot-rolled wide flange,W8x31,NA,ASTM A7,250,375,NR,NR,203,203,7.2,11,10,1,1.5,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W8x67_4,Ketter,1958,Hot-rolled wide flange,W8x67,NA,ASTM A7,250,375,NR,NR,229,210,14.5,23.7,10,1,1.3,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W12x50_5,Ketter,1958,Hot-rolled wide flange,W12x50,NA,ASTM A7,250,375,NR,NR,310,205,9.4,16.3,12.7,1,1.2,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W12x65_6,Ketter,1958,Hot-rolled wide flange,W12x65,NA,ASTM A7,250,375,NR,NR,307,305,9.9,15.4,15.1,1,1,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W14x426_7,Ketter,1958,Hot-rolled wide flange,W14x426,NA,ASTM A7,250,375,NR,NR,475,424,47.8,77.2,15,1,0.7,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W12x14_8,Ketter,1958,Hot-rolled wide flange,W12x14,NA,ASTM A7,250,375,NR,NR,302,101,5.1,5.7,7.6,2,1.3,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W6x15_9,Ketter,1958,Hot-rolled wide flange,W6x15,NA,ASTM A7,250,375,NR,NR,152,152,5.84,6.6,11.4,2,1.9,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
Ketter_1958_W36x150_10,Ketter,1958,Hot-rolled wide flange,W36x150,NA, ASTM A7,250,375,NR,NR,912,305,15.9,23.9,19.1,1,0.45,"Ketter, R. L. (1958). “The influence of residual stress on the strength of structural members.” Welding Research Council Bulletin Series, 44(1), 1–11.",https://www.semanticscholar.org/paper/The-influence-of-residual-stress-on-the-strength-of-Ketter/b98cfde71837b2e17a5bdc82f2600b93d734a5ed,40.608028,-75.376194
