,e_true,Sigma_true
0,-2.13e-05,-1.36828545
18,-2.46e-05,-3.630872663
1605,-2.2e-06,-18.87678501
1619,-2.3e-06,-18.85802081
1661,0.0001908,21.27860258
1683,0.0002986,43.58923615
1705,0.0004076,65.93739813
1728,0.0005198,89.18624169
1750,0.0006308,111.4968753
1772,0.0007423,134.5956052
1780,0.0008533,157.1877018
1788,0.0009608,179.2356366
1796,0.001069,200.9645799
1805,0.001187,224.8514063
1813,0.00129,245.8485459
1822,0.001404,269.0410969
1831,0.00152,291.6707218
1841,0.001649,315.632605
1851,0.001783,337.3615484
1878,0.002239,380.8569635
1904,0.002813,399.9589189
1905,0.002836,399.9776831
1970,0.004289,394.2546022
1982,0.004418,390.952103
1998,0.004669,395.1177554
2022,0.005251,395.080227
2056,0.006453,393.48527
2095,0.008091,392.9598724
2110,0.008951,388.5502854
2130,0.009952,394.986406
2152,0.01097,397.1067605
2202,0.01323,395.8683234
2212,0.01325,390.9145746
2237,0.01345,400.1653251
2254,0.01367,401.7602821
2285,0.01378,397.3882235
2314,0.01392,403.7680515
2352,0.01459,407.6522408
2606,0.0205,426.4914974
2680,0.02214,431.23884
3091,0.03069,452.5737352
3382,0.037,464.9956354
3768,0.04509,477.9429333
3774,0.0453641,483.0991478
3939,0.0574421,496.3808237
4029,0.0641013,502.3031804
4124,0.0712899,507.3940955
4280,0.083565,513.8337812
4513,0.102309,519.8002338
4672,0.1159805,521.9907665
4814,0.1287583,523.0421246
4979,0.1436583,523.2888739
5182,0.1634277,521.9468583
5188,0.1637822,512.1335571
5284,0.1635499,497.3137797
5294,0.1638407,496.897965
6370,0.1638138,488.4233018
6420,0.1642197,518.9449616
6423,0.1644791,523.9784582
6427,0.1648363,524.6781752
6428,0.1649538,524.7220834
6458,0.1679665,522.8426612
6587,0.1815518,519.3438885
6661,0.1896512,514.6755432
6703,0.1942663,510.1863961
6747,0.1991607,503.8919452
6823,0.2076326,489.0554677
6859,0.2120064,480.3271125
6924,0.2189863,461.3698291
6984,0.2257481,439.1267467
7047,0.2329115,408.0303395
7084,0.2370853,383.8671164
7087,0.2374288,381.6157877
7088,0.2411488,380.2703946
7091,0.2414657,44.75505589
7095,0.2419693,64.98323857
7110,0.243331,5.934365831
7117,0.2441129,0.306044099
7138,0.2453193,-0.038654252
7141,0.2452808,0.181074528
7150,0.2452963,-0.018388916
7164,0.245296,0.194584752
7166,0.2453383,-0.035276696
7169,0.2453361,0.174319416
7170,0.2453317,-0.021766472
7171,0.2453068,0.143733771
7173,0.2452772,-0.103015457
7174,0.245281,0.042407092
7175,0.2452557,-0.018388916
7177,0.2451757,0.123468435
7180,0.2451931,-0.042031808
7184,0.2452439,0.055917315
7186,0.2452394,-0.058919587
7187,0.2452636,0.005253976
7189,0.2453088,-0.055542031
7191,0.2453801,0.089692875
7192,0.2453611,-0.062297143
7195,0.2451075,0.059294871
7198,0.2451999,-0.109770569
7205,0.2452099,0.184452084
7207,0.2451817,-0.072617453
7208,0.2452026,0.157431636
7223,0.2453706,-0.038654252
7229,0.245334,0.106580655
7237,0.2453536,-0.035276696
7241,0.2453439,0.113335767
7244,0.2453414,-0.062297143
7245,0.2453351,0.194584752
7248,0.2453599,-0.035276696
7249,0.2453775,0.109958211
7253,0.2453623,-0.042031808
7255,0.2453596,0.120090879
7256,0.245348,-0.01501136
7260,0.2453107,0.136978659
7263,0.2453063,-0.01501136
7264,0.2453142,0.113335767
7266,0.2453301,-0.055542031
7267,0.2453199,0.045784648
7268,0.2453274,-0.055542031
7269,0.2453192,0.167564304
7272,0.245302,-0.055542031
7276,0.2452722,0.140356215
7279,0.2452644,-0.045409364
7289,0.2453304,0.160809192
7292,0.2453173,-0.099637901
7294,0.2453281,0.177696972
7296,0.2453377,-0.028521584
7303,0.2453536,0.150488882
7305,0.2453436,-0.008256248
7306,0.2453272,0.03565198
7309,0.2453348,-0.042031808
7310,0.2453439,0.008631532
7311,0.2453341,-0.03189914
7318,0.2453205,0.143733771
7322,0.245328,-0.160433908
7324,0.2453398,0.015386644
7325,0.2453419,-0.136791017
7326,0.2453176,0.012009088
7327,0.2453065,-0.065674699
7328,0.2453037,0.106580655
7330,0.2452968,-0.065674699
7331,0.2452765,0.076182651
7333,0.2452822,-0.055542031
