,e_true,Sigma_true
0,-1.04e-05,-0.186563733
258,-6.21e-05,-24.53871038
260,-6.16e-05,-24.49945741
261,-6.27e-05,-24.52469146
320,8.15e-05,29.60795036
351,0.0002215,59.13178723
383,0.0003662,89.60891038
419,0.0005052,119.3570499
428,0.0006467,149.3575299
437,0.0007855,178.4047236
447,0.000936,210.3117762
456,0.001071,238.7140998
466,0.001218,269.8641309
475,0.001349,297.4253196
485,0.001494,327.3977617
496,0.001653,359.2487386
506,0.001798,386.8660029
518,0.001973,418.2964124
532,0.002123,447.8482871
533,0.002116,447.6239844
646,0.001976,415.2122509
766,0.002014,417.5674287
799,0.00226,416.361802
810,0.002544,417.5954666
832,0.003833,416.4459155
893,0.007857,417.3992018
919,0.009628,416.3898398
942,0.01115,417.5393909
979,0.01362,417.7636936
995,0.01472,416.6421803
1008,0.01557,417.3992018
1041,0.01781,416.2496506
1054,0.01866,417.2029369
1070,0.01974,415.9412345
1078,0.02024,417.1188234
1082,0.02051,416.8664829
1091,0.02107,417.2870504
1103,0.02171,416.1655372
1126,0.02232,416.6421803
1135,0.02238,417.6515422
1281,0.02228,414.5673807
1350,0.02246,425.6142865
1390,0.023,430.7732475
1723,0.03079,450.1473893
2099,0.03875,466.1289534
2424,0.04597,477.7646536
2430,0.0466087,482.8644548
2480,0.0505108,486.3747913
2623,0.0605433,497.830769
2729,0.0686344,504.892097
2825,0.0759865,510.0137677
3026,0.0917712,517.8178178
3248,0.1101027,523.2678115
3523,0.1337586,526.2731867
3839,0.1634242,526.1015952
4073,0.1872663,523.4346366
4121,0.187634,502.4424316
4291,0.1873599,495.3808233
4364,0.1876553,493.2493873
4373,0.18757,496.9669234
4486,0.1877848,495.5072739
4722,0.1873954,494.1283733
4832,0.1875255,494.7090368
5339,0.1875661,490.2843866
5518,0.1880678,525.6672892
5521,0.1884166,526.5762757
5522,0.1884994,526.6418842
5562,0.1926913,524.384278
5675,0.2051604,521.4596518
5761,0.2150297,516.2771389
5816,0.2213346,509.9077847
5863,0.2261456,501.906909
5902,0.2304984,492.9614388
5963,0.2374752,475.1717149
6014,0.2431668,454.558301
6042,0.2463793,439.7837655
6075,0.2502586,416.8821841
6085,0.2512957,408.1691475
6086,0.2514208,407.0428678
6087,0.2538176,403.6533743
6090,0.2540961,103.5344603
6092,0.25446,95.70517614
6100,0.2554789,28.43512786
6105,0.2562672,0.507765134
