experimental_program,standard,specimen_type,id,profile_type,profile,specimen_source,steel_grade,avg_init_reduced_width__mm_,avg_init_reduced_thickness__mm_,avg_init_marked_gauge_length__mm_,eff_fractured_width__mm_,eff_fractured_thickness__mm_,avg_fractured_marked_gauge_length__mm_,fy_n__mpa_,fu_n__mpa_,t_a__deg_c_,date,year,investigator,location,machine,pid_force_p,pid_force_i,pid_force_d,pid_disp_p,pid_disp_i,pid_disp_d,pid_ext_p,pid_ext_i,pid_ext_d,yield_stress_02__mpa_,yield_strain_02,bin_discont_yield,yield_stress_uyp__mpa_,yield_stress_lyp__mpa_,yield_point_elongation,tensile_strength__mpa_,uniform_elongation,elongation_at_fracture,elongation_after_fracture,reduction_of_area,elastic_modulus__mpa_,c,si,mn,p,s,n,cu,mo,ni,cr,v,nb,ti,al,b,zr,sn,ca,h,fe,file_path,reference,link,latitude,longitude,publication_key,datacol_version
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-bfl-A3,wide flange,IPE400,Flange,S355J2+AR,40.09,13.293,200.68,27.76,7.483,250.18,355,490,20.6,25.02.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,395,0.00394,1,400,389,0.01045,523,0.13913,21.5,24.7,61,202901,0.09,0.19,1.46,0.024,0.023,0.011,0.32,0.02,0.15,0.13,0.008,0.04,0.023,0.018,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-bfl-A4,wide flange,IPE400,Flange,S355J2+AR,40.16,13.36,200.48,27.83,7.666,252.175,355,490,20.5,24.02.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,400,0.0039,1,410,395,0.0117,526,0.1413,23,25.8,60.2,206213,0.09,0.19,1.46,0.024,0.023,0.011,0.32,0.02,0.15,0.13,0.008,0.04,0.023,0.018,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-bfl-A5,wide flange,IPE400,Flange,S355J2+AR,40.06,13.325,200.91,27.29,7.663,254.415,355,490,20.5,24.02.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,396,0.00391,1,401,390,0.00888,522,0.14099,23.4,26.6,60.8,203179,0.09,0.19,1.46,0.024,0.023,0.011,0.32,0.02,0.15,0.13,0.008,0.04,0.023,0.018,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-bweb-B5,wide flange,IPE400,Web,S355J2+AR,40.32,8.857,200.13,30.17,4.922,251.79,355,490,20.3,24.02.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,418,0.00393,1,450,416,0.02122,528,0.14883,24,25.8,58.4,212424,0.09,0.19,1.46,0.024,0.023,0.011,0.32,0.02,0.15,0.13,0.008,0.04,0.023,0.018,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-bweb-B6,wide flange,IPE400,Web,S355J2+AR,40.19,8.822,200.39,30.1,5.287,251.16,355,490,20.2,24.02.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,430,0.00414,1,462,428,0.02124,537,0.14761,23.1,25.3,55.1,200472,0.09,0.19,1.46,0.024,0.023,0.011,0.32,0.02,0.15,0.13,0.008,0.04,0.023,0.018,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-bweb-B8,wide flange,IPE400,Web,S355J2+AR,40.16,8.881,199.97,30,5.448,251.235,355,490,19.7,24.02.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,417,0.00396,1,448,415,0.02014,527,0.14708,23.8,25.6,54.2,211711,0.09,0.19,1.46,0.024,0.023,0.011,0.32,0.02,0.15,0.13,0.008,0.04,0.023,0.018,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-cfl-A5,wide flange,HEM340,Flange,S355J2+AR,39.97,18.071,200.4,27.16,10.538,254.16,355,490,20.1,06.03.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,343,0.00362,1,368,341,0.00702,531,0.15038,23.7,26.8,60.4,208456,0.15,0.19,1.15,0.012,0.008,0.008,0.27,0.05,0.11,0.11,0.03,0,0,0.011,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-cfl-A6,wide flange,HEM340,Flange,S355J2+AR,39.96,18.057,200.03,27.59,10.617,254.24,355,490,20.2,06.03.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,358,0.0037,1,372,355,0.00717,538,0.14773,24.1,27.1,59.4,208908,0.15,0.19,1.15,0.012,0.008,0.008,0.27,0.05,0.11,0.11,0.03,0,0,0.011,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-cfl-A7,wide flange,HEM340,Flange,S355J2+AR,40.04,17.987,200.66,27.48,10.662,252.285,355,490,20.1,06.03.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,347,0.0037,1,366,342,0.00828,530,0.14819,22.6,25.7,59.3,202977,0.15,0.19,1.15,0.012,0.008,0.008,0.27,0.05,0.11,0.11,0.03,0,0,0.011,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
"Wen, Skiadopoulos, Ashida & Lignos",ASTM E8M-25,Rectangular,batch1-cweb-B1,wide flange,HEM340,Web,S355J2+AR,40.1,18.01,199.52,28.39,10.881,253.91,355,490,19.8,17.02.2026,2026,Yosuke Ashida,EPFL_GIS,LFV-1500,0.007,1,0,4,0.2,0,0.8,0.8,0,392,0.00387,0,NA,NA,NA,544,0.13731,23.8,27.3,57.2,208227,0.15,0.19,1.15,0.012,0.008,0.008,0.27,0.05,0.11,0.11,0.03,0,0,0.011,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,46.5191,6.5668,TBA,1
